;Tarih;TP_BEK_S01_A_U
0;2013-1;0.85
1;2013-2;0.53
2;2013-3;0.48
3;2013-4;0.65
4;2013-5;0.46
5;2013-6;-0.02
6;2013-7;0.13
7;2013-8;0.32
8;2013-9;0.69
9;2013-10;1.12
10;2013-11;0.59
11;2013-12;0.42
12;2014-1;1.06
13;2014-2;0.69
14;2014-3;0.65
15;2014-4;0.76
16;2014-5;0.63
17;2014-6;0.22
18;2014-7;0.06
19;2014-8;0.15
20;2014-9;0.53
21;2014-10;1.38
22;2014-11;0.46
23;2014-12;0.31
24;2015-1;0.72
25;2015-2;0.49
26;2015-3;0.69
27;2015-4;0.85
28;2015-5;0.52
29;2015-6;0.17
30;2015-7;0.12
31;2015-8;0.15
32;2015-9;0.59
33;2015-10;1.26
34;2015-11;0.43
35;2015-12;0.07
36;2016-1;1.21
37;2016-2;0.68
38;2016-3;0.77
39;2016-4;0.92
40;2016-5;0.65
41;2016-6;0.11
42;2016-7;0.26
43;2016-8;0.33
44;2016-9;0.72
45;2016-10;1.32
46;2016-11;0.83
47;2016-12;0.79
48;2017-1;1.44
49;2017-2;0.62
50;2017-3;0.68
51;2017-4;0.95
52;2017-5;0.59
53;2017-6;0.14
54;2017-7;0.18
55;2017-8;0.21
56;2017-9;0.57
57;2017-10;1.31
58;2017-11;0.75
59;2017-12;0.55
60;2018-1;1.32
61;2018-2;0.64
62;2018-3;0.82
63;2018-4;1.23
64;2018-5;0.99
65;2018-6;0.82
66;2018-7;0.83
67;2018-8;1.15
68;2018-9;2.13
69;2018-10;1.99
70;2018-11;0.88
71;2018-12;0.45
72;2019-1;1.16
73;2019-2;0.76
74;2019-3;0.94
75;2019-4;1.61
76;2019-5;1.48
77;2019-6;0.91
78;2019-7;1.25
79;2019-8;1.26
80;2019-9;1.49
81;2019-10;1.9
82;2019-11;0.82
83;2019-12;0.59
84;2020-1;1.1
85;2020-2;0.69
86;2020-3;0.82
87;2020-4;0.93
88;2020-5;0.76
89;2020-6;0.5
90;2020-7;0.61
91;2020-8;0.68
92;2020-9;1.07
93;2020-10;1.62
94;2020-11;0.99
95;2020-12;0.9
96;2021-1;1.35
97;2021-2;0.78
98;2021-3;0.94
99;2021-4;1.51
100;2021-5;1.27
101;2021-6;1.21
102;2021-7;1.17
103;2021-8;0.99
104;2021-9;1.11
105;2021-10;1.94
106;2021-11;1.77
107;2021-12;3.37
108;2022-1;6.45
109;2022-2;4.22
110;2022-3;4.13
111;2022-4;4.23
112;2022-5;3.97
113;2022-6;3.77
114;2022-7;3.4
115;2022-8;2.57
116;2022-9;2.98
117;2022-10;3.39
118;2022-11;3.14
119;2022-12;2.69
120;2023-1;2.65
121;2023-2;3.01
122;2023-3;2.88
123;2023-4;2.65
124;2023-5;2.41
125;2023-6;2.81
126;2023-7;3.76
127;2023-8;5.54
128;2023-9;5.14
129;2023-10;4.3
130;2023-11;4.07
131;2023-12;3.26
132;2024-1;5.41
