;Tarih;TP_BEK_S07_B_S
0;2013-1;0.54
1;2013-2;0.58
2;2013-3;0.56
3;2013-4;0.51
4;2013-5;0.59
5;2013-6;0.56
6;2013-7;0.69
7;2013-8;0.56
8;2013-9;0.56
9;2013-10;0.44
10;2013-11;0.46
11;2013-12;0.45
12;2014-1;0.58
13;2014-2;0.58
14;2014-3;0.62
15;2014-4;0.59
16;2014-5;0.51
17;2014-6;0.59
18;2014-7;0.58
19;2014-8;0.52
20;2014-9;0.56
21;2014-10;0.48
22;2014-11;0.44
23;2014-12;0.5
24;2015-1;0.57
25;2015-2;0.45
26;2015-3;0.52
27;2015-4;0.52
28;2015-5;0.46
29;2015-6;0.45
30;2015-7;0.45
31;2015-8;0.43
32;2015-9;0.49
33;2015-10;0.53
34;2015-11;0.49
35;2015-12;0.44
36;2016-1;0.51
37;2016-2;0.52
38;2016-3;0.49
39;2016-4;0.51
40;2016-5;0.44
41;2016-6;0.5
42;2016-7;0.48
43;2016-8;0.47
44;2016-9;0.46
45;2016-10;0.47
46;2016-11;0.59
47;2016-12;0.54
48;2017-1;0.62
49;2017-2;0.6
50;2017-3;0.55
51;2017-4;0.56
52;2017-5;0.55
53;2017-6;0.59
54;2017-7;0.61
55;2017-8;0.57
56;2017-9;0.63
57;2017-10;0.6
58;2017-11;0.7
59;2017-12;0.76
60;2018-1;0.6
61;2018-2;0.56
62;2018-3;0.59
63;2018-4;0.57
64;2018-5;0.57
65;2018-6;0.73
66;2018-7;0.66
67;2018-8;0.99
68;2018-9;1.42
69;2018-10;1.21
70;2018-11;1.22
71;2018-12;1.02
72;2019-1;0.8
73;2019-2;0.61
74;2019-3;0.78
75;2019-4;0.61
76;2019-5;0.61
77;2019-6;0.67
78;2019-7;0.61
79;2019-8;0.68
80;2019-9;0.77
81;2019-10;0.76
82;2019-11;0.79
83;2019-12;0.75
84;2020-1;0.7
85;2020-2;0.7
86;2020-3;0.68
87;2020-4;1.43
88;2020-5;1.34
89;2020-6;1.02
90;2020-7;0.93
91;2020-8;1.12
92;2020-9;0.83
93;2020-10;0.88
94;2020-11;0.8
95;2020-12;0.81
96;2021-1;0.7
97;2021-2;0.59
98;2021-3;0.62
99;2021-4;0.68
100;2021-5;0.71
101;2021-6;0.76
102;2021-7;0.73
103;2021-8;0.85
104;2021-9;0.66
105;2021-10;0.71
106;2021-11;0.85
107;2021-12;1.12
108;2022-1;0.76
109;2022-2;0.59
110;2022-3;0.58
111;2022-4;0.67
112;2022-5;1.02
113;2022-6;0.9
114;2022-7;0.9
115;2022-8;1.03
116;2022-9;1.45
117;2022-10;1.48
118;2022-11;1.5
119;2022-12;1.03
120;2023-1;1.63
121;2023-2;1.69
122;2023-3;0.97
123;2023-4;1.01
124;2023-5;0.74
125;2023-6;1.05
126;2023-7;0.93
127;2023-8;0.94
128;2023-9;0.79
129;2023-10;0.89
130;2023-11;0.85
131;2023-12;0.89
132;2024-1;0.53
