;Tarih;TP_BEK_S07_B_K
0;2013-1;3.5
1;2013-2;2.8
2;2013-3;3.0
3;2013-4;3.5
4;2013-5;2.5
5;2013-6;3.5
6;2013-7;2.7
7;2013-8;3.0
8;2013-9;2.5
9;2013-10;3.0
10;2013-11;2.7
11;2013-12;2.5
12;2014-1;2.5
13;2014-2;2.0
14;2014-3;2.0
15;2014-4;2.5
16;2014-5;2.5
17;2014-6;2.7
18;2014-7;2.7
19;2014-8;2.7
20;2014-9;2.0
21;2014-10;2.0
22;2014-11;2.5
23;2014-12;2.2
24;2015-1;2.0
25;2015-2;2.5
26;2015-3;2.2
27;2015-4;2.5
28;2015-5;2.5
29;2015-6;2.0
30;2015-7;2.5
31;2015-8;2.5
32;2015-9;2.0
33;2015-10;2.0
34;2015-11;2.0
35;2015-12;2.0
36;2016-1;2.5
37;2016-2;2.5
38;2016-3;2.5
39;2016-4;2.5
40;2016-5;2.3
41;2016-6;2.2
42;2016-7;2.3
43;2016-8;2.5
44;2016-9;2.3
45;2016-10;2.3
46;2016-11;1.5
47;2016-12;1.3
48;2017-1;1.5
49;2017-2;1.6
50;2017-3;1.7
51;2017-4;1.6
52;2017-5;1.8
53;2017-6;2.0
54;2017-7;2.3
55;2017-8;2.0
56;2017-9;2.5
57;2017-10;2.9
58;2017-11;2.0
59;2017-12;1.9
60;2018-1;3.0
61;2018-2;3.0
62;2018-3;3.0
63;2018-4;3.0
64;2018-5;3.5
65;2018-6;1.85
66;2018-7;2.0
67;2018-8;0.0
68;2018-9;-3.0
69;2018-10;-2.5
70;2018-11;-2.5
71;2018-12;-2.0
72;2019-1;0.4
73;2019-2;1.7
74;2019-3;0.0
75;2019-4;1.5
76;2019-5;1.0
77;2019-6;0.0
78;2019-7;1.5
79;2019-8;1.0
80;2019-9;1.0
81;2019-10;1.0
82;2019-11;1.0
83;2019-12;1.6
84;2020-1;2.1
85;2020-2;2.1
86;2020-3;2.5
87;2020-4;2.0
88;2020-5;2.5
89;2020-6;3.0
90;2020-7;3.0
91;2020-8;2.75
92;2020-9;2.75
93;2020-10;2.0
94;2020-11;2.75
95;2020-12;2.0
96;2021-1;3.0
97;2021-2;3.0
98;2021-3;2.9
99;2021-4;1.5
100;2021-5;1.5
101;2021-6;1.0
102;2021-7;1.0
103;2021-8;1.0
104;2021-9;1.5
105;2021-10;1.5
106;2021-11;1.3
107;2021-12;0.0
108;2022-1;3.0
109;2022-2;3.0
110;2022-3;3.0
111;2022-4;3.0
112;2022-5;0.0
113;2022-6;1.1
114;2022-7;1.1
115;2022-8;0.5
116;2022-9;2.8
117;2022-10;2.0
118;2022-11;2.0
119;2022-12;2.1
120;2023-1;-1.5
121;2023-2;-1.5
122;2023-3;1.5
123;2023-4;1.5
124;2023-5;3.0
125;2023-6;2.0
126;2023-7;2.0
127;2023-8;2.0
128;2023-9;2.0
129;2023-10;0.4
130;2023-11;0.4
131;2023-12;0.4
132;2024-1;2.9
