;Tarih;TP_FG_J07
0;2003-1;94.61
1;2003-2;97.8
2;2003-3;99.02
3;2003-4;100.27
4;2003-5;100.88
5;2003-6;100.78
6;2003-7;101.47
7;2003-8;101.19
8;2003-9;101.4
9;2003-10;100.62
10;2003-11;100.86
11;2003-12;101.11
12;2004-1;102.29
13;2004-2;102.61
14;2004-3;103.37
15;2004-4;103.43
16;2004-5;104.52
17;2004-6;105.96
18;2004-7;107.77
19;2004-8;107.48
20;2004-9;108.42
21;2004-10;111.88
22;2004-11;115.28
23;2004-12;114.72
24;2005-1;117.99
25;2005-2;118.58
26;2005-3;119.42
27;2005-4;121.91
28;2005-5;122.12
29;2005-6;122.99
30;2005-7;124.14
31;2005-8;125.9
32;2005-9;128.12
33;2005-10;128.64
34;2005-11;127.58
35;2005-12;127.35
36;2006-1;129.29
37;2006-2;129.49
38;2006-3;129.67
39;2006-4;131.49
40;2006-5;133.5
41;2006-6;138.53
42;2006-7;142.5
43;2006-8;142.56
44;2006-9;140.05
45;2006-10;140.16
46;2006-11;139.77
47;2006-12;140.27
48;2007-1;140.23
49;2007-2;141.17
50;2007-3;142.88
51;2007-4;144.15
52;2007-5;144.31
53;2007-6;144.07
54;2007-7;144.03
55;2007-8;143.89
56;2007-9;144.77
57;2007-10;144.17
58;2007-11;147.77
59;2007-12;147.65
60;2008-1;149.62
61;2008-2;150.43
62;2008-3;152.21
63;2008-4;155.83
64;2008-5;158.27
65;2008-6;160.84
66;2008-7;160.33
67;2008-8;157.84
68;2008-9;158.11
69;2008-10;157.17
70;2008-11;155.04
71;2008-12;151.15
72;2009-1;152.46
73;2009-2;154.59
74;2009-3;151.52
75;2009-4;148.94
76;2009-5;150.12
77;2009-6;154.35
78;2009-7;155.25
79;2009-8;157.84
80;2009-9;158.15
81;2009-10;161.48
82;2009-11;163.5
83;2009-12;163.08
84;2010-1;168.84
85;2010-2;169.55
86;2010-3;170.79
87;2010-4;170.87
88;2010-5;170.82
89;2010-6;170.11
90;2010-7;170.95
91;2010-8;170.66
92;2010-9;170.86
93;2010-10;171.52
94;2010-11;172.3
95;2010-12;174.14
96;2011-1;176.65
97;2011-2;179.78
98;2011-3;182.6
99;2011-4;184.5
100;2011-5;185.67
101;2011-6;186.27
102;2011-7;187.72
103;2011-8;191.28
104;2011-9;194.95
105;2011-10;196.14
106;2011-11;195.07
107;2011-12;195.42
108;2012-1;199.44
109;2012-2;200.1
110;2012-3;202.4
111;2012-4;202.94
112;2012-5;200.18
113;2012-6;197.4
114;2012-7;198.13
115;2012-8;201.29
116;2012-9;204.61
117;2012-10;208.82
118;2012-11;206.79
119;2012-12;206.24
120;2013-1;207.28
121;2013-2;210.65
122;2013-3;210.55
123;2013-4;209.22
124;2013-5;209.5
125;2013-6;212.63
126;2013-7;217.48
127;2013-8;219.01
128;2013-9;223.36
129;2013-10;224.11
130;2013-11;223.92
131;2013-12;226.39
132;2014-1;232.06
133;2014-2;237.37
134;2014-3;239.47
135;2014-4;238.17
136;2014-5;236.97
137;2014-6;238.16
138;2014-7;239.85
139;2014-8;239.7
140;2014-9;239.97
141;2014-10;239.53
142;2014-11;235.25
143;2014-12;231.07
144;2015-1;229.77
145;2015-2;233.84
146;2015-3;235.96
147;2015-4;236.94
148;2015-5;241.11
149;2015-6;241.08
150;2015-7;242.06
151;2015-8;241.13
152;2015-9;245.78
153;2015-10;249.21
154;2015-11;247.27
155;2015-12;245.87
156;2016-1;246.71
157;2016-2;248.61
158;2016-3;250.57
159;2016-4;252.13
160;2016-5;254.9
161;2016-6;256.62
162;2016-7;256.9
163;2016-8;257.38
164;2016-9;264.32
165;2016-10;269.61
166;2016-11;270.94
167;2016-12;276.27
168;2017-1;285.22
169;2017-2;293.25
170;2017-3;294.89
171;2017-4;297.37
172;2017-5;295.21
173;2017-6;292.73
174;2017-7;296.04
175;2017-8;302.11
176;2017-9;306.87
177;2017-10;314.89
178;2017-11;321.23
179;2017-12;326.65
180;2018-1;330.9
181;2018-2;331.92
182;2018-3;334.43
183;2018-4;346.28
184;2018-5;354.31
185;2018-6;363.74
186;2018-7;367.71
187;2018-8;384.08
188;2018-9;419.21
189;2018-10;415.66
190;2018-11;388.79
191;2018-12;378.82
192;2019-1;379.59
193;2019-2;382.29
194;2019-3;385.14
