;Tarih;TP_FG_F20
0;1982-1;395.8
1;1982-2;403.8
2;1982-3;419.2
3;1982-4;421.8
4;1982-5;426.9
5;1982-6;433.3
6;1982-7;437.8
7;1982-8;443.8
8;1982-9;460.5
9;1982-10;473.0
10;1982-11;480.6
11;1982-12;507.4
12;1983-1;520.3
13;1983-2;530.4
14;1983-3;541.1
15;1983-4;548.8
16;1983-5;550.6
17;1983-6;558.6
18;1983-7;570.8
19;1983-8;583.7
20;1983-9;608.9
21;1983-10;642.7
22;1983-11;674.9
23;1983-12;700.7
24;1984-1;721.4
25;1984-2;723.6
26;1984-3;747.7
27;1984-4;801.7
28;1984-5;840.2
29;1984-6;888.1
30;1984-7;909.7
31;1984-8;933.5
32;1984-9;953.4
33;1984-10;994.9
34;1984-11;1024.9
35;1984-12;1053.4
36;1985-1;1129.7
37;1985-2;1164.0
38;1985-3;1214.0
39;1985-4;1221.6
40;1985-5;1246.1
41;1985-6;1246.4
42;1985-7;1261.5
43;1985-8;1307.3
44;1985-9;1372.3
45;1985-10;1463.3
46;1985-11;1533.1
47;1985-12;1552.2
48;1986-1;1583.3
49;1986-2;1602.5
50;1986-3;1634.7
51;1986-4;1643.3
52;1986-5;1678.9
53;1986-6;1706.9
54;1986-7;1754.9
55;1986-8;1768.0
56;1986-9;1815.4
57;1986-10;1951.7
58;1986-11;2006.9
59;1986-12;2041.4
60;1987-1;2096.8
61;1987-2;2148.2
62;1987-3;2239.0
63;1987-4;2275.7
64;1987-5;2402.1
65;1987-6;2397.7
66;1987-7;2450.4
67;1987-8;2447.7
68;1987-9;2584.7
69;1987-10;2707.1
70;1987-11;2880.4
71;1987-12;3193.8
72;1988-1;3371.8
73;1988-2;3555.8
74;1988-3;3745.7
75;1988-4;3915.1
76;1988-5;4068.6
77;1988-6;4177.5
78;1988-7;4298.5
79;1988-8;4420.3
80;1988-9;4643.0
81;1988-10;5017.9
82;1988-11;5318.4
83;1988-12;5630.8
84;1989-1;5914.3
85;1989-2;6127.9
86;1989-3;6261.3
87;1989-4;6469.7
88;1989-5;6736.0
89;1989-6;6960.8
90;1989-7;7349.8
91;1989-8;7646.7
92;1989-9;8103.3
93;1989-10;8861.1
94;1989-11;9057.0
95;1989-12;9373.8
96;1990-1;9734.8
97;1990-2;10179.5
98;1990-3;10501.9
99;1990-4;10994.9
100;1990-5;11273.2
101;1990-6;11473.0
102;1990-7;11841.9
103;1990-8;12005.7
104;1990-9;13160.8
105;1990-10;14157.3
106;1990-11;14742.7
107;1990-12;15031.0
