;Tarih;TP_DB_B29
0;1989-Q4;3439.0
1;1990-Q1;3665.0
2;1990-Q2;3663.0
3;1990-Q3;3853.0
4;1990-Q4;3893.0
5;1991-Q1;3636.0
6;1991-Q2;3437.0
7;1991-Q3;3614.0
8;1991-Q4;3793.0
9;1992-Q1;3534.0
10;1992-Q2;3704.0
11;1992-Q3;3790.0
12;1992-Q4;3444.0
13;1993-Q1;3423.0
14;1993-Q2;3453.0
15;1993-Q3;3810.0
16;1993-Q4;3667.0
17;1994-Q1;3662.0
18;1994-Q2;3619.0
19;1994-Q3;3611.0
20;1994-Q4;3463.0
21;1995-Q1;3493.0
22;1995-Q2;3326.0
23;1995-Q3;3034.0
24;1995-Q4;2886.0
25;1996-Q1;2780.0
26;1996-Q2;2852.0
27;1996-Q3;2901.0
28;1996-Q4;2832.0
29;1997-Q1;2734.0
30;1997-Q2;2715.0
31;1997-Q3;2946.0
32;1997-Q4;2918.0
33;1998-Q1;2829.0
34;1998-Q2;2772.0
35;1998-Q3;2696.0
36;1998-Q4;2943.0
37;1999-Q1;2821.0
38;1999-Q2;3088.0
39;1999-Q3;3244.0
40;1999-Q4;3356.0
41;2000-Q1;3377.0
42;2000-Q2;3813.0
43;2000-Q3;3672.0
44;2000-Q4;3725.0
45;2001-Q1;3839.0
46;2001-Q2;3758.0
47;2001-Q3;3755.0
48;2001-Q4;3654.0
49;2002-Q1;3752.0
50;2002-Q2;3828.0
51;2002-Q3;3757.0
52;2002-Q4;3780.0
53;2003-Q1;3766.0
54;2003-Q2;3703.0
55;2003-Q3;3646.0
56;2003-Q4;3576.0
57;2004-Q1;3571.0
58;2004-Q2;3310.0
59;2004-Q3;3217.0
60;2004-Q4;3057.0
61;2005-Q1;2925.0
62;2005-Q2;2733.0
63;2005-Q3;2648.0
64;2005-Q4;2038.0
65;2006-Q1;1805.0
66;2006-Q2;1279.0
67;2006-Q3;1269.0
68;2006-Q4;1496.0
69;2007-Q1;1468.0
70;2007-Q2;1526.0
71;2007-Q3;1545.0
72;2007-Q4;1928.0
73;2008-Q1;1768.0
74;2008-Q2;1868.0
75;2008-Q3;2044.0
76;2008-Q4;2104.0
77;2009-Q1;1780.0
78;2009-Q2;1633.0
79;2009-Q3;1623.0
80;2009-Q4;1626.0
81;2010-Q1;1365.0
82;2010-Q2;1257.0
83;2010-Q3;1374.0
84;2010-Q4;1324.0
85;2011-Q1;1387.0
86;2011-Q2;1295.0
87;2011-Q3;1226.0
88;2011-Q4;1225.0
89;2012-Q1;1226.0
90;2012-Q2;1142.0
91;2012-Q3;1167.0
92;2012-Q4;1257.0
93;2013-Q1;1222.0
94;2013-Q2;1228.0
95;2013-Q3;1244.0
96;2013-Q4;1180.0
97;2014-Q1;1142.0
98;2014-Q2;1058.0
99;2014-Q3;974.0
100;2014-Q4;989.0
101;2015-Q1;925.0
102;2015-Q2;886.0
103;2015-Q3;887.0
104;2015-Q4;857.0
105;2016-Q1;846.0
106;2016-Q2;833.0
107;2016-Q3;923.0
108;2016-Q4;966.0
109;2017-Q1;1087.0
110;2017-Q2;1186.0
111;2017-Q3;1293.0
112;2017-Q4;1385.0
113;2018-Q1;1465.0
114;2018-Q2;1482.0
115;2018-Q3;1484.0
116;2018-Q4;1467.0
117;2019-Q1;1566.0
118;2019-Q2;1767.0
119;2019-Q3;1790.0
120;2019-Q4;2233.0
121;2020-Q1;11251.0
122;2020-Q2;11446.0
123;2020-Q3;11745.0
124;2020-Q4;12527.0
125;2021-Q1;12223.0
126;2021-Q2;12418.0
127;2021-Q3;12636.0
128;2021-Q4;12614.0
129;2022-Q1;12351.0
130;2022-Q2;12622.0
131;2022-Q3;12056.0
132;2022-Q4;13114.0
133;2023-Q1;13224.0
134;2023-Q2;12925.0
135;2023-Q3;12785.0
