;Tarih;TP_PFVPBI01_K15
0;2012-1;17427.2
1;2012-2;17270.5
2;2012-3;17447.3
3;2012-4;17127.9
4;2012-5;17350.4
5;2012-6;808.1
6;2012-7;779.5
7;2012-8;861.1
8;2012-9;836.1
9;2012-10;677.4
10;2012-11;722.8
11;2012-12;673.3
12;2013-1;837.0
13;2013-2;678.0
14;2013-3;681.0
15;2013-4;674.0
16;2013-5;701.0
17;2013-6;724.0
18;2013-7;722.0
19;2013-8;772.0
20;2013-9;764.0
21;2013-10;747.0
22;2013-11;755.0
23;2013-12;799.0
24;2014-1;853.0
25;2014-2;836.0
26;2014-3;819.0
27;2014-4;792.0
28;2014-5;783.0
29;2014-6;794.0
30;2014-7;783.0
31;2014-8;809.0
32;2014-9;853.0
33;2014-10;830.0
34;2014-11;829.0
35;2014-12;868.0
36;2015-1;898.0
37;2015-2;927.0
38;2015-3;977.0
39;2015-4;997.0
40;2015-5;993.0
41;2015-6;1005.0
42;2015-7;1038.0
43;2015-8;1091.0
44;2015-9;1139.0
45;2015-10;1083.0
46;2015-11;1093.0
47;2015-12;1088.0
48;2016-1;1115.0
49;2016-2;1096.0
50;2016-3;1061.0
51;2016-4;1054.0
52;2016-5;1107.0
53;2016-6;1083.0
54;2016-7;1129.0
55;2016-8;1106.0
56;2016-9;1122.0
57;2016-10;1161.0
58;2016-11;1281.0
59;2016-12;1318.0
60;2017-1;1436.0
61;2017-2;1345.0
62;2017-3;1364.0
63;2017-4;1334.0
64;2017-5;1337.0
65;2017-6;1316.0
66;2017-7;1324.0
67;2017-8;1292.0
68;2017-9;1341.0
69;2017-10;1416.0
70;2017-11;1484.0
71;2017-12;1432.0
72;2018-1;1421.0
73;2018-2;1423.0
74;2018-3;1503.0
75;2018-4;1526.0
76;2018-5;1689.0
77;2018-6;1737.0
78;2018-7;1842.0
79;2018-8;6409636.0
80;2018-9;12173231.0
81;2018-10;11086914.0
82;2018-11;10396336.0
83;2018-12;10614052.0
84;2019-1;10673369.0
85;2019-2;10651264.0
86;2019-3;11106480.0
87;2019-4;11907454.0
88;2019-5;11885156.0
89;2019-6;11555771.0
90;2019-7;11190650.0
91;2019-8;11636823.0
92;2019-9;11339962.0
93;2019-10;11519351.0
94;2019-11;11550683.0
95;2019-12;11967963.0
96;2020-1;11992894.0
97;2020-2;12357358.0
98;2020-3;13055401.0
99;2020-4;13995904.0
100;2020-5;13618864.0
101;2020-6;13719291.0
102;2020-7;17966124.0
103;2020-8;21835486.0
104;2020-9;25864318.0
105;2020-10;27493674.0
106;2020-11;27422110.0
107;2020-12;26148080.0
108;2021-1;36267668.0
109;2021-2;35475040.0
110;2021-3;40627030.0
111;2021-4;40259661.0
112;2021-5;41648854.0
113;2021-6;42659666.0
114;2021-7;40904879.0
115;2021-8;40919118.0
116;2021-9;43108494.0
117;2021-10;46153181.0
