;Tarih;TP_TUFE1YI_T72
0;2014-1;101.27
1;2014-2;105.15
2;2014-3;108.12
3;2014-4;108.96
4;2014-5;108.4
5;2014-6;108.97
6;2014-7;108.5
7;2014-8;108.08
8;2014-9;107.55
9;2014-10;107.76
10;2014-11;103.75
11;2014-12;100.68
12;2015-1;96.83
13;2015-2;100.5
14;2015-3;103.44
15;2015-4;104.57
16;2015-5;103.83
17;2015-6;104.98
18;2015-7;103.66
19;2015-8;99.97
20;2015-9;99.39
21;2015-10;98.68
22;2015-11;96.69
23;2015-12;90.16
24;2016-1;90.81
25;2016-2;86.11
26;2016-3;85.9
27;2016-4;87.18
28;2016-5;91.23
29;2016-6;91.28
30;2016-7;92.09
31;2016-8;93.75
32;2016-9;95.8
33;2016-10;95.43
34;2016-11;98.61
35;2016-12;102.54
36;2017-1;105.43
37;2017-2;108.29
38;2017-3;107.61
39;2017-4;109.88
40;2017-5;108.11
41;2017-6;108.96
42;2017-7;108.66
43;2017-8;109.02
44;2017-9;112.49
45;2017-10;114.29
46;2017-11;118.48
47;2017-12;119.32
48;2018-1;121.13
49;2018-2;122.39
50;2018-3;121.84
51;2018-4;127.59
52;2018-5;133.57
53;2018-6;140.23
54;2018-7;144.55
55;2018-8;150.63
56;2018-9;171.14
57;2018-10;176.62
58;2018-11;166.49
59;2018-12;161.65
60;2019-1;161.9
61;2019-2;165.66
62;2019-3;176.23
63;2019-4;179.21
64;2019-5;185.2
65;2019-6;182.17
66;2019-7;182.62
67;2019-8;179.41
68;2019-9;177.68
69;2019-10;177.65
70;2019-11;175.95
71;2019-12;178.22
72;2020-1;179.79
73;2020-2;180.95
74;2020-3;182.41
75;2020-4;177.59
76;2020-5;178.76
77;2020-6;186.12
78;2020-7;188.43
79;2020-8;194.76
80;2020-9;198.64
81;2020-10;200.66
82;2020-11;205.23
83;2020-12;207.51
84;2021-1;216.38
85;2021-2;216.99
86;2021-3;224.99
87;2021-4;232.92
88;2021-5;240.42
89;2021-6;248.08
90;2021-7;252.2
91;2021-8;258.69
92;2021-9;263.45
93;2021-10;278.71
94;2021-11;303.66
95;2021-12;343.85
96;2022-1;412.31
97;2022-2;453.56
98;2022-3;502.06
99;2022-4;542.12
100;2022-5;564.42
101;2022-6;595.42
102;2022-7;610.26
103;2022-8;624.31
104;2022-9;659.25
105;2022-10;686.76
106;2022-11;707.69
107;2022-12;715.3
108;2023-1;754.6
109;2023-2;778.31
110;2023-3;791.19
111;2023-4;810.72
112;2023-5;811.49
113;2023-6;826.34
114;2023-7;897.51
115;2023-8;963.83
116;2023-9;1008.27
117;2023-10;1048.26
118;2023-11;1067.22
119;2023-12;1082.5
120;2024-1;1155.43
