;Tarih;TP_13TR62
0;2010-1;94.8
1;2010-2;95.67
2;2010-3;96.97
3;2010-4;97.66
4;2010-5;98.43
5;2010-6;98.72
6;2010-7;99.42
7;2010-8;101.51
8;2010-9;102.4
9;2010-10;103.38
10;2010-11;105.11
11;2010-12;105.89
12;2011-1;107.14
13;2011-2;107.94
14;2011-3;108.67
15;2011-4;109.73
16;2011-5;111.37
17;2011-6;112.7
18;2011-7;113.86
19;2011-8;114.99
20;2011-9;116.79
21;2011-10;117.69
22;2011-11;119.1
23;2011-12;121.33
24;2012-1;122.15
25;2012-2;124.12
26;2012-3;125.0
27;2012-4;126.4
28;2012-5;127.8
29;2012-6;129.13
30;2012-7;131.35
31;2012-8;132.46
32;2012-9;132.63
33;2012-10;132.86
34;2012-11;134.29
35;2012-12;135.76
36;2013-1;136.72
37;2013-2;138.34
38;2013-3;139.68
39;2013-4;140.27
40;2013-5;142.73
41;2013-6;143.7
42;2013-7;145.29
43;2013-8;144.66
44;2013-9;147.46
45;2013-10;148.26
46;2013-11;150.4
47;2013-12;151.32
48;2014-1;153.0
49;2014-2;154.69
50;2014-3;156.33
51;2014-4;157.15
52;2014-5;158.62
53;2014-6;160.24
54;2014-7;163.27
55;2014-8;165.78
56;2014-9;167.21
57;2014-10;170.16
58;2014-11;171.91
59;2014-12;174.62
60;2015-1;173.47
61;2015-2;177.79
62;2015-3;182.92
63;2015-4;185.53
64;2015-5;186.89
65;2015-6;188.29
66;2015-7;190.8
67;2015-8;194.8
68;2015-9;195.89
69;2015-10;197.96
70;2015-11;202.29
71;2015-12;207.1
72;2016-1;206.61
73;2016-2;207.39
74;2016-3;208.88
75;2016-4;211.34
76;2016-5;216.54
77;2016-6;220.51
78;2016-7;226.99
79;2016-8;228.42
80;2016-9;229.67
81;2016-10;230.85
82;2016-11;233.54
83;2016-12;236.55
84;2017-1;241.01
85;2017-2;245.43
86;2017-3;248.1
87;2017-4;247.93
88;2017-5;249.81
89;2017-6;252.77
90;2017-7;256.35
91;2017-8;258.98
92;2017-9;262.52
93;2017-10;264.96
94;2017-11;265.64
95;2017-12;268.73
96;2018-1;270.26
97;2018-2;273.46
98;2018-3;273.31
99;2018-4;276.57
100;2018-5;282.04
101;2018-6;284.93
102;2018-7;287.78
103;2018-8;285.43
104;2018-9;284.03
105;2018-10;284.63
106;2018-11;287.47
107;2018-12;282.52
108;2019-1;280.72
