;Tarih;YEARWEEK;TP_BS06_NOMINAL
0;30-12-2011;2011-52;1331.1
1;06-01-2012;2012-1;1291.3
2;13-01-2012;2012-2;1333.5
3;20-01-2012;2012-3;1394.8
4;27-01-2012;2012-4;1280.0
5;03-02-2012;2012-5;1366.3
6;10-02-2012;2012-6;1388.2
7;17-02-2012;2012-7;1494.8
8;24-02-2012;2012-8;1519.8
9;02-03-2012;2012-9;1528.6
10;09-03-2012;2012-10;1520.3
11;16-03-2012;2012-11;1512.2
12;23-03-2012;2012-12;1515.8
13;30-03-2012;2012-13;1532.4
14;06-04-2012;2012-14;1513.2
15;13-04-2012;2012-15;1661.6
16;20-04-2012;2012-16;1674.3
17;27-04-2012;2012-17;1588.2
18;04-05-2012;2012-18;1582.7
19;11-05-2012;2012-19;1664.4
20;18-05-2012;2012-20;1651.5
21;25-05-2012;2012-21;1648.3
22;01-06-2012;2012-22;1651.4
23;08-06-2012;2012-23;1649.7
24;15-06-2012;2012-24;1644.7
25;22-06-2012;2012-25;1619.7
26;29-06-2012;2012-26;1678.4
27;06-07-2012;2012-27;1696.0
28;13-07-2012;2012-28;1608.9
29;20-07-2012;2012-29;1749.5
30;27-07-2012;2012-30;1463.9
31;03-08-2012;2012-31;1500.3
32;10-08-2012;2012-32;1594.9
33;17-08-2012;2012-33;1501.7
34;24-08-2012;2012-34;1509.2
35;31-08-2012;2012-35;1505.1
36;07-09-2012;2012-36;1495.2
37;14-09-2012;2012-37;1510.7
38;21-09-2012;2012-38;1526.2
39;28-09-2012;2012-39;1729.1
40;05-10-2012;2012-40;1577.9
41;12-10-2012;2012-41;1574.7
42;19-10-2012;2012-42;1580.5
43;26-10-2012;2012-43;1568.5
44;02-11-2012;2012-44;1575.7
45;09-11-2012;2012-45;1564.6
46;16-11-2012;2012-46;1561.9
47;23-11-2012;2012-47;1582.3
48;30-11-2012;2012-48;1587.4
49;07-12-2012;2012-49;1588.6
50;14-12-2012;2012-50;1769.8
51;21-12-2012;2012-51;1785.9
52;28-12-2012;2012-52;1629.5
53;04-01-2013;2013-1;1627.7
54;11-01-2013;2013-2;1629.7
55;18-01-2013;2013-3;1608.6
56;25-01-2013;2013-4;1615.55
57;01-02-2013;2013-5;1616.07
