;Tarih;TP_18TR82
0;2010-1;99.33
1;2010-2;99.33
2;2010-3;99.33
3;2010-4;98.66
4;2010-5;97.39
5;2010-6;97.39
6;2010-7;99.33
7;2010-8;102.46
8;2010-9;102.46
9;2010-10;100.97
10;2010-11;100.82
11;2010-12;102.46
12;2011-1;103.27
13;2011-2;104.99
14;2011-3;107.52
15;2011-4;111.69
16;2011-5;112.73
17;2011-6;113.92
18;2011-7;114.52
19;2011-8;115.71
20;2011-9;114.52
21;2011-10;116.98
22;2011-11;119.13
23;2011-12;120.33
24;2012-1;119.13
25;2012-2;120.92
26;2012-3;126.51
27;2012-4;128.89
28;2012-5;128.66
29;2012-6;132.39
30;2012-7;132.39
31;2012-8;134.77
32;2012-9;134.1
33;2012-10;137.23
34;2012-11;135.22
35;2012-12;137.9
36;2013-1;136.85
37;2013-2;138.64
38;2013-3;140.43
39;2013-4;146.23
40;2013-5;148.92
41;2013-6;148.92
42;2013-7;148.92
43;2013-8;144.6
44;2013-9;147.43
45;2013-10;145.86
46;2013-11;148.92
47;2013-12;151.22
48;2014-1;151.38
49;2014-2;151.01
50;2014-3;148.69
51;2014-4;149.28
52;2014-5;150.41
53;2014-6;153.88
54;2014-7;157.68
55;2014-8;158.69
56;2014-9;159.88
57;2014-10;158.46
58;2014-11;159.99
59;2014-12;160.76
60;2015-1;162.32
61;2015-2;163.14
62;2015-3;170.83
63;2015-4;171.62
64;2015-5;173.17
65;2015-6;169.8
66;2015-7;167.97
67;2015-8;172.54
68;2015-9;170.59
69;2015-10;175.34
70;2015-11;171.76
71;2015-12;177.11
72;2016-1;177.56
73;2016-2;178.3
74;2016-3;176.67
75;2016-4;177.7
76;2016-5;183.84
77;2016-6;184.56
78;2016-7;185.96
79;2016-8;187.71
80;2016-9;188.98
81;2016-10;191.41
82;2016-11;196.33
83;2016-12;199.49
84;2017-1;203.2
85;2017-2;203.27
86;2017-3;203.61
87;2017-4;200.7
88;2017-5;201.59
89;2017-6;205.03
90;2017-7;209.02
91;2017-8;210.82
92;2017-9;212.72
93;2017-10;214.9
94;2017-11;220.59
95;2017-12;225.99
96;2018-1;232.38
97;2018-2;236.19
98;2018-3;236.11
99;2018-4;238.34
100;2018-5;244.54
101;2018-6;247.4
102;2018-7;249.27
103;2018-8;242.17
104;2018-9;244.16
105;2018-10;243.88
106;2018-11;250.04
107;2018-12;252.56
108;2019-1;252.3
