;Tarih;TP_26TRC2
0;2010-1;98.08
1;2010-2;96.37
2;2010-3;96.74
3;2010-4;97.18
4;2010-5;99.43
5;2010-6;101.0
6;2010-7;101.18
7;2010-8;101.83
8;2010-9;101.95
9;2010-10;101.63
10;2010-11;101.64
11;2010-12;102.92
12;2011-1;104.28
13;2011-2;106.16
14;2011-3;106.78
15;2011-4;108.62
16;2011-5;112.66
17;2011-6;113.71
18;2011-7;115.96
19;2011-8;116.86
20;2011-9;120.63
21;2011-10;121.74
22;2011-11;123.89
23;2011-12;126.68
24;2012-1;131.73
25;2012-2;136.15
26;2012-3;137.41
27;2012-4;138.59
28;2012-5;140.94
29;2012-6;142.56
30;2012-7;143.94
31;2012-8;143.72
32;2012-9;144.89
33;2012-10;146.07
34;2012-11;146.34
35;2012-12;147.08
36;2013-1;148.83
37;2013-2;151.02
38;2013-3;151.09
39;2013-4;151.52
40;2013-5;152.79
41;2013-6;153.65
42;2013-7;153.44
43;2013-8;153.51
44;2013-9;151.42
45;2013-10;152.42
46;2013-11;155.12
47;2013-12;158.12
48;2014-1;158.65
49;2014-2;156.68
50;2014-3;155.3
51;2014-4;155.84
52;2014-5;156.5
53;2014-6;159.66
54;2014-7;159.1
55;2014-8;158.15
56;2014-9;157.07
57;2014-10;157.88
58;2014-11;160.75
59;2014-12;161.29
60;2015-1;166.09
61;2015-2;167.09
62;2015-3;167.77
63;2015-4;167.29
64;2015-5;168.54
65;2015-6;169.58
66;2015-7;170.96
67;2015-8;172.51
68;2015-9;172.18
69;2015-10;172.66
70;2015-11;173.54
71;2015-12;177.22
72;2016-1;177.26
73;2016-2;174.93
74;2016-3;174.28
75;2016-4;173.28
76;2016-5;174.22
77;2016-6;174.17
78;2016-7;176.11
79;2016-8;175.75
80;2016-9;177.06
81;2016-10;177.6
82;2016-11;181.73
83;2016-12;182.32
84;2017-1;183.12
85;2017-2;181.86
86;2017-3;181.97
87;2017-4;182.58
88;2017-5;182.1
89;2017-6;182.2
90;2017-7;180.94
91;2017-8;181.1
92;2017-9;181.41
93;2017-10;183.47
94;2017-11;188.48
95;2017-12;190.4
96;2018-1;190.2
97;2018-2;189.63
98;2018-3;189.73
99;2018-4;193.05
100;2018-5;195.28
101;2018-6;197.03
102;2018-7;197.5
103;2018-8;196.2
104;2018-9;195.79
105;2018-10;194.92
106;2018-11;204.32
107;2018-12;202.7
108;2019-1;199.06
