;Tarih;YEARWEEK;TP_BS06_CARI
0;30-12-2011;2011-52;1437.8
1;06-01-2012;2012-1;1375.9
2;13-01-2012;2012-2;1417.8
3;20-01-2012;2012-3;1484.5
4;27-01-2012;2012-4;1379.1
5;03-02-2012;2012-5;1492.2
6;10-02-2012;2012-6;1511.3
7;17-02-2012;2012-7;1644.2
8;24-02-2012;2012-8;1682.8
9;02-03-2012;2012-9;1700.9
10;09-03-2012;2012-10;1701.2
11;16-03-2012;2012-11;1686.6
12;23-03-2012;2012-12;1677.4
13;30-03-2012;2012-13;1705.1
14;06-04-2012;2012-14;1680.7
15;13-04-2012;2012-15;1883.5
16;20-04-2012;2012-16;1903.6
17;27-04-2012;2012-17;1826.3
18;04-05-2012;2012-18;1824.8
19;11-05-2012;2012-19;1897.9
20;18-05-2012;2012-20;1861.3
21;25-05-2012;2012-21;1860.0
22;01-06-2012;2012-22;1853.0
23;08-06-2012;2012-23;1879.3
24;15-06-2012;2012-24;1898.2
25;22-06-2012;2012-25;1892.6
26;29-06-2012;2012-26;1953.1
27;06-07-2012;2012-27;1950.7
28;13-07-2012;2012-28;1881.2
29;20-07-2012;2012-29;2107.9
30;27-07-2012;2012-30;1734.8
31;03-08-2012;2012-31;1796.0
32;10-08-2012;2012-32;1915.6
33;17-08-2012;2012-33;1788.0
34;24-08-2012;2012-34;1809.4
35;31-08-2012;2012-35;1814.7
36;07-09-2012;2012-36;1812.3
37;14-09-2012;2012-37;1821.7
38;21-09-2012;2012-38;1825.6
39;28-09-2012;2012-39;2090.3
40;05-10-2012;2012-40;1890.7
41;12-10-2012;2012-41;1891.0
42;19-10-2012;2012-42;1893.2
43;26-10-2012;2012-43;1871.8
44;02-11-2012;2012-44;1885.0
45;09-11-2012;2012-45;1907.7
46;16-11-2012;2012-46;1905.6
47;23-11-2012;2012-47;1932.2
48;30-11-2012;2012-48;1961.5
49;07-12-2012;2012-49;1953.8
50;14-12-2012;2012-50;2193.0
51;21-12-2012;2012-51;2211.7
52;28-12-2012;2012-52;1984.3
53;04-01-2013;2013-1;1977.1
54;11-01-2013;2013-2;1967.0
55;18-01-2013;2013-3;1948.5
56;25-01-2013;2013-4;1966.19
57;01-02-2013;2013-5;1927.11
58;08-02-2013;2013-6;1910.62
59;15-02-2013;2013-7;1920.58
60;22-02-2013;2013-8;1910.98
61;01-03-2013;2013-9;1902.68
62;08-03-2013;2013-10;1910.96
63;15-03-2013;2013-11;1888.85
64;22-03-2013;2013-12;1949.2
65;29-03-2013;2013-13;1920.89
66;05-04-2013;2013-14;1963.9
67;12-04-2013;2013-15;1982.99
68;19-04-2013;2013-16;2049.9
69;26-04-2013;2013-17;2052.0
70;03-05-2013;2013-18;2072.5
71;10-05-2013;2013-19;2071.47
72;17-05-2013;2013-20;2064.1
73;24-05-2013;2013-21;2044.0
74;31-05-2013;2013-22;2035.6
75;07-06-2013;2013-23;1963.8
76;14-06-2013;2013-24;1963.2
77;21-06-2013;2013-25;1872.1
78;28-06-2013;2013-26;1886.5
79;05-07-2013;2013-27;1903.4
80;12-07-2013;2013-28;1833.5
81;19-07-2013;2013-29;1987.3
