;Tarih;TP_BEKODTUFE_BT54
0;2017-11;2.3
1;2017-12;3.4
2;2018-1;2.85
3;2018-2;1.52
4;2018-3;1.28
5;2018-4;3.45
6;2018-5;8.77
7;2018-6;11.79
8;2018-7;10.55
9;2018-8;13.48
10;2018-9;13.28
11;2018-10;9.63
12;2018-11;5.41
13;2018-12;7.19
14;2019-1;6.04
15;2019-2;9.21
16;2019-3;9.93
17;2019-4;12.41
18;2019-5;8.27
19;2019-6;13.25
20;2019-7;10.75
21;2019-8;18.28
22;2019-9;14.09
23;2019-10;13.67
24;2019-11;10.75
25;2019-12;8.62
26;2020-1;4.88
27;2020-2;7.78
28;2020-3;5.91
29;2020-4;7.01
30;2020-5;6.24
31;2020-6;4.16
32;2020-7;7.4
33;2020-8;8.25
34;2020-9;9.95
35;2020-10;8.6848
36;2020-11;10.331
37;2020-12;8.2823
38;2021-1;11.5636
39;2021-2;10.6312
40;2021-3;13.6
41;2021-4;17.1548
42;2021-5;15.7575
43;2021-6;16.7354
44;2021-7;20.2437
45;2021-8;23.7034
46;2021-9;13.1562
47;2021-10;10.2709
48;2021-11;9.984
49;2021-12;3.4133
50;2022-1;5.4814
51;2022-2;0.5103
52;2022-3;0.0
53;2022-4;0.0
54;2022-5;1.7846
55;2022-6;3.3629
56;2022-7;1.3857
57;2022-8;0.0
58;2022-9;0.0
59;2022-10;0.0
60;2022-11;0.0
61;2022-12;1.74
62;2023-1;5.34
63;2023-2;1.8737
64;2023-3;0.8167
65;2023-4;0.0
66;2023-5;0.0
67;2023-6;2.4571
68;2023-7;2.15
69;2023-8;0.0
70;2023-9;0.0
71;2023-10;0.0
72;2023-11;0.0
