;Tarih;TP_12TR61
0;2010-1;97.24
1;2010-2;98.16
2;2010-3;99.1
3;2010-4;99.5
4;2010-5;99.15
5;2010-6;100.32
6;2010-7;100.44
7;2010-8;101.31
8;2010-9;101.48
9;2010-10;101.38
10;2010-11;100.64
11;2010-12;101.22
12;2011-1;102.12
13;2011-2;104.9
14;2011-3;106.33
15;2011-4;108.23
16;2011-5;109.57
17;2011-6;110.17
18;2011-7;110.12
19;2011-8;109.96
20;2011-9;111.09
21;2011-10;111.71
22;2011-11;112.77
23;2011-12;113.84
24;2012-1;115.08
25;2012-2;116.24
26;2012-3;116.71
27;2012-4;117.42
28;2012-5;119.41
29;2012-6;121.64
30;2012-7;122.41
31;2012-8;123.17
32;2012-9;123.03
33;2012-10;124.27
34;2012-11;125.45
35;2012-12;127.54
36;2013-1;127.9
37;2013-2;129.25
38;2013-3;130.16
39;2013-4;131.75
40;2013-5;133.4
41;2013-6;135.99
42;2013-7;138.12
43;2013-8;139.63
44;2013-9;140.6
45;2013-10;140.46
46;2013-11;141.66
47;2013-12;143.05
48;2014-1;144.71
49;2014-2;146.55
50;2014-3;148.69
51;2014-4;153.13
52;2014-5;155.16
53;2014-6;157.33
54;2014-7;158.83
55;2014-8;160.76
56;2014-9;161.55
57;2014-10;163.94
58;2014-11;165.7
59;2014-12;166.94
60;2015-1;170.17
61;2015-2;173.9
62;2015-3;177.79
63;2015-4;181.38
64;2015-5;184.19
65;2015-6;188.34
66;2015-7;190.5
67;2015-8;194.55
68;2015-9;196.88
69;2015-10;199.87
70;2015-11;201.36
71;2015-12;202.78
72;2016-1;204.64
73;2016-2;205.58
74;2016-3;208.14
75;2016-4;208.25
76;2016-5;212.4
77;2016-6;213.48
78;2016-7;217.11
79;2016-8;218.15
80;2016-9;220.35
81;2016-10;221.7
82;2016-11;222.75
83;2016-12;223.22
84;2017-1;224.19
85;2017-2;224.97
86;2017-3;227.96
87;2017-4;231.37
88;2017-5;235.65
89;2017-6;238.15
90;2017-7;238.36
91;2017-8;241.76
92;2017-9;242.74
93;2017-10;243.9
94;2017-11;244.59
95;2017-12;245.45
96;2018-1;246.5
97;2018-2;249.56
98;2018-3;253.1
99;2018-4;257.12
100;2018-5;260.02
101;2018-6;262.44
102;2018-7;266.84
103;2018-8;267.49
104;2018-9;271.17
105;2018-10;270.95
106;2018-11;277.86
107;2018-12;278.72
108;2019-1;276.37
