;Tarih;TP_DB_D05
0;1983-Q4;12330.0
1;1984-Q1;
2;1984-Q2;
3;1984-Q3;
4;1984-Q4;12431.0
5;1985-Q1;
6;1985-Q2;
7;1985-Q3;
8;1985-Q4;14971.0
9;1986-Q1;
10;1986-Q2;
11;1986-Q3;
12;1986-Q4;19046.0
13;1987-Q1;
14;1987-Q2;
15;1987-Q3;
16;1987-Q4;24340.0
17;1988-Q1;
18;1988-Q2;
19;1988-Q3;
20;1988-Q4;26234.0
21;1989-Q1;
22;1989-Q2;
23;1989-Q3;
24;1989-Q4;27425.0
25;1990-Q1;
26;1990-Q2;
27;1990-Q3;
28;1990-Q4;30416.0
29;1991-Q1;28871.0
30;1991-Q2;27660.0
31;1991-Q3;29386.0
32;1991-Q4;32590.0
33;1992-Q1;32088.0
34;1992-Q2;29795.0
35;1992-Q3;35175.0
36;1992-Q4;33598.0
37;1993-Q1;34801.0
38;1993-Q2;35144.0
39;1993-Q3;36584.0
40;1993-Q4;36237.0
41;1994-Q1;37774.0
42;1994-Q2;39235.0
43;1994-Q3;39064.0
44;1994-Q4;39550.0
45;1995-Q1;41789.0
46;1995-Q2;42467.0
47;1995-Q3;39948.0
48;1995-Q4;39472.0
49;1996-Q1;38711.0
50;1996-Q2;38878.0
51;1996-Q3;38945.0
52;1996-Q4;38087.0
