;Tarih;TP_BEKODTUFE_BT50
0;2017-11;25.92
1;2017-12;23.71
2;2018-1;22.33
3;2018-2;23.0
4;2018-3;24.54
5;2018-4;23.34
6;2018-5;13.01
7;2018-6;11.65
8;2018-7;5.49
9;2018-8;4.6
10;2018-9;2.32
11;2018-10;0.35
12;2018-11;0.68
13;2018-12;1.11
14;2019-1;2.74
15;2019-2;2.7
16;2019-3;2.19
17;2019-4;0.94
18;2019-5;0.48
19;2019-6;1.08
20;2019-7;2.58
21;2019-8;3.22
22;2019-9;4.43
23;2019-10;6.91
24;2019-11;10.49
25;2019-12;10.63
26;2020-1;18.32
27;2020-2;19.1
28;2020-3;19.08
29;2020-4;17.27
30;2020-5;14.72
31;2020-6;20.82
32;2020-7;17.65
33;2020-8;10.76
34;2020-9;13.05
35;2020-10;11.5575
36;2020-11;8.7379
37;2020-12;8.9235
38;2021-1;8.7333
39;2021-2;9.5
40;2021-3;8.7352
41;2021-4;1.6258
42;2021-5;1.9878
43;2021-6;1.3419
44;2021-7;1.575
45;2021-8;0.8137
46;2021-9;5.6125
47;2021-10;4.5806
48;2021-11;0.928
49;2021-12;0.16
50;2022-1;0.0
51;2022-2;1.6137
52;2022-3;0.0
53;2022-4;0.0
54;2022-5;0.0
55;2022-6;0.0
56;2022-7;0.0
57;2022-8;0.0
58;2022-9;0.0
59;2022-10;0.0
60;2022-11;0.0
61;2022-12;0.0
62;2023-1;0.5
63;2023-2;5.1789
64;2023-3;5.6333
65;2023-4;2.4364
66;2023-5;4.2783
67;2023-6;2.4762
68;2023-7;2.1667
69;2023-8;0.0
70;2023-9;0.0
71;2023-10;0.0
72;2023-11;0.0
