;Tarih;TP_FG_F02
262;2003-11;8610989.1
263;2003-12;8709258.7
264;2004-1;8812078.3
265;2004-2;8905396.1
266;2004-3;9183455.2
267;2004-4;9213741.0
268;2004-5;8873544.5
269;2004-6;8537049.2
270;2004-7;8508217.5
271;2004-8;8531247.9
272;2004-9;8530550.0
273;2004-10;8847869.8
274;2004-11;9064125.5
275;2004-12;9172716.5
