;Tarih;TP_DB_B34
0;1989-Q4;853.0
1;1990-Q1;758.0
2;1990-Q2;777.0
3;1990-Q3;936.0
4;1990-Q4;939.0
5;1991-Q1;885.0
6;1991-Q2;913.0
7;1991-Q3;1061.0
8;1991-Q4;1167.0
9;1992-Q1;1230.0
10;1992-Q2;1252.0
11;1992-Q3;1183.0
12;1992-Q4;1137.0
13;1993-Q1;1179.0
14;1993-Q2;1441.0
15;1993-Q3;1761.0
16;1993-Q4;1758.0
17;1994-Q1;1792.0
18;1994-Q2;1798.0
19;1994-Q3;1696.0
20;1994-Q4;1657.0
21;1995-Q1;1693.0
22;1995-Q2;1654.0
23;1995-Q3;1663.0
24;1995-Q4;1889.0
25;1996-Q1;1825.0
26;1996-Q2;1833.0
27;1996-Q3;2456.0
28;1996-Q4;3354.0
29;1997-Q1;3619.0
30;1997-Q2;4099.0
31;1997-Q3;4682.0
32;1997-Q4;5530.0
33;1998-Q1;5624.0
34;1998-Q2;6316.0
35;1998-Q3;7028.0
36;1998-Q4;6819.0
37;1999-Q1;6560.0
38;1999-Q2;6366.0
39;1999-Q3;6433.0
40;1999-Q4;7344.0
41;2000-Q1;6703.0
42;2000-Q2;7398.0
43;2000-Q3;7492.0
44;2000-Q4;7581.0
45;2001-Q1;6847.0
46;2001-Q2;6453.0
47;2001-Q3;5881.0
48;2001-Q4;4789.0
49;2002-Q1;7264.0
50;2002-Q2;7798.0
51;2002-Q3;6767.0
52;2002-Q4;6930.0
53;2003-Q1;6682.0
54;2003-Q2;6729.0
55;2003-Q3;6859.0
56;2003-Q4;7465.0
57;2004-Q1;7789.0
58;2004-Q2;8633.0
59;2004-Q3;9141.0
60;2004-Q4;10981.0
61;2005-Q1;11022.0
62;2005-Q2;15191.0
63;2005-Q3;17055.0
64;2005-Q4;21580.0
65;2006-Q1;27162.0
66;2006-Q2;30705.0
67;2006-Q3;32308.0
68;2006-Q4;38176.0
69;2007-Q1;40752.0
70;2007-Q2;44709.0
71;2007-Q3;49452.0
72;2007-Q4;52706.0
73;2008-Q1;55685.0
74;2008-Q2;57566.0
75;2008-Q3;57762.0
76;2008-Q4;52541.0
77;2009-Q1;48963.0
78;2009-Q2;48365.0
79;2009-Q3;47361.0
80;2009-Q4;46080.0
81;2010-Q1;43114.0
82;2010-Q2;41387.0
83;2010-Q3;43288.0
84;2010-Q4;42178.0
85;2011-Q1;44914.0
86;2011-Q2;47294.0
87;2011-Q3;48508.0
88;2011-Q4;49610.0
89;2012-Q1;51373.0
90;2012-Q2;52755.0
91;2012-Q3;54901.0
92;2012-Q4;59948.0
93;2013-Q1;61088.0
94;2013-Q2;66989.0
95;2013-Q3;70044.0
96;2013-Q4;76315.0
97;2014-Q1;78052.0
98;2014-Q2;84088.0
99;2014-Q3;84355.0
100;2014-Q4;88202.0
101;2015-Q1;90236.0
102;2015-Q2;98117.0
103;2015-Q3;104821.0
104;2015-Q4;109065.0
105;2016-Q1;111900.0
106;2016-Q2;113971.0
107;2016-Q3;112014.0
108;2016-Q4;112572.0
109;2017-Q1;110026.0
110;2017-Q2;114579.0
111;2017-Q3;114669.0
112;2017-Q4;118582.0
113;2018-Q1;120452.0
114;2018-Q2;116576.0
115;2018-Q3;110242.0
116;2018-Q4;105938.0
117;2019-Q1;106289.0
118;2019-Q2;98964.0
119;2019-Q3;93631.0
120;2019-Q4;79424.0
121;2020-Q1;77214.0
122;2020-Q2;73267.0
123;2020-Q3;73812.0
124;2020-Q4;73283.0
125;2021-Q1;71861.0
126;2021-Q2;69485.0
127;2021-Q3;67791.0
128;2021-Q4;66542.0
129;2022-Q1;64130.0
130;2022-Q2;60956.0
131;2022-Q3;58873.0
132;2022-Q4;55692.0
133;2023-Q1;52401.0
134;2023-Q2;52423.0
135;2023-Q3;55353.0
