;Tarih;YEARWEEK;TP_BS08_NOMINAL
0;30-12-2011;2011-52;6948.4
1;06-01-2012;2012-1;7056.6
2;13-01-2012;2012-2;7059.5
3;20-01-2012;2012-3;6970.3
4;27-01-2012;2012-4;6873.6
5;03-02-2012;2012-5;6487.9
6;10-02-2012;2012-6;6898.0
7;17-02-2012;2012-7;6783.7
8;24-02-2012;2012-8;6812.5
9;02-03-2012;2012-9;6912.8
10;09-03-2012;2012-10;6898.1
11;16-03-2012;2012-11;6726.6
12;23-03-2012;2012-12;6751.9
13;30-03-2012;2012-13;6848.9
14;06-04-2012;2012-14;6729.5
15;13-04-2012;2012-15;6694.8
16;20-04-2012;2012-16;6734.9
17;27-04-2012;2012-17;6639.1
18;04-05-2012;2012-18;6732.6
19;11-05-2012;2012-19;6973.9
20;18-05-2012;2012-20;6741.3
21;25-05-2012;2012-21;6738.5
22;01-06-2012;2012-22;6646.5
23;08-06-2012;2012-23;6614.1
24;15-06-2012;2012-24;6588.4
25;22-06-2012;2012-25;6605.6
26;29-06-2012;2012-26;6451.2
27;06-07-2012;2012-27;6577.7
28;13-07-2012;2012-28;6443.8
29;20-07-2012;2012-29;6450.6
30;27-07-2012;2012-30;6850.2
31;03-08-2012;2012-31;7107.4
32;10-08-2012;2012-32;6764.3
33;17-08-2012;2012-33;6661.2
34;24-08-2012;2012-34;6782.4
35;31-08-2012;2012-35;6701.3
36;07-09-2012;2012-36;6749.4
37;14-09-2012;2012-37;6682.0
38;21-09-2012;2012-38;6632.9
39;28-09-2012;2012-39;6378.8
40;05-10-2012;2012-40;6486.3
41;12-10-2012;2012-41;7051.9
42;19-10-2012;2012-42;7202.5
43;26-10-2012;2012-43;7079.2
44;02-11-2012;2012-44;7088.8
45;09-11-2012;2012-45;6928.7
46;16-11-2012;2012-46;6911.8
47;23-11-2012;2012-47;6814.5
48;30-11-2012;2012-48;6911.0
49;07-12-2012;2012-49;6534.2
50;14-12-2012;2012-50;6313.6
51;21-12-2012;2012-51;6538.9
52;28-12-2012;2012-52;6596.5
53;04-01-2013;2013-1;6499.3
54;11-01-2013;2013-2;6427.5
55;18-01-2013;2013-3;6327.0
56;25-01-2013;2013-4;5982.78
57;01-02-2013;2013-5;5981.81
58;08-02-2013;2013-6;5926.06
59;15-02-2013;2013-7;5909.43
60;22-02-2013;2013-8;5907.88
61;01-03-2013;2013-9;5915.01
62;08-03-2013;2013-10;5992.47
63;15-03-2013;2013-11;6172.22
64;22-03-2013;2013-12;6149.55
65;29-03-2013;2013-13;6085.19
66;05-04-2013;2013-14;5944.23
67;12-04-2013;2013-15;6071.33
68;19-04-2013;2013-16;5987.74
69;26-04-2013;2013-17;5930.25
70;03-05-2013;2013-18;6058.2
71;10-05-2013;2013-19;6341.2
72;17-05-2013;2013-20;6628.4
73;24-05-2013;2013-21;6603.4
74;31-05-2013;2013-22;6841.1
75;07-06-2013;2013-23;6955.7
76;14-06-2013;2013-24;6938.0
77;21-06-2013;2013-25;7100.1
78;28-06-2013;2013-26;7032.1
79;05-07-2013;2013-27;7125.4
80;12-07-2013;2013-28;7081.7
81;19-07-2013;2013-29;7143.2
82;26-07-2013;2013-30;7180.2
83;02-08-2013;2013-31;7171.8
84;09-08-2013;2013-32;7063.9
85;16-08-2013;2013-33;7138.7
86;23-08-2013;2013-34;7194.2
87;30-08-2013;2013-35;7104.9
88;06-09-2013;2013-36;7014.8
89;13-09-2013;2013-37;7158.5
90;20-09-2013;2013-38;7165.8
91;27-09-2013;2013-39;7134.4
92;04-10-2013;2013-40;7061.7
93;11-10-2013;2013-41;7115.9
94;18-10-2013;2013-42;7084.3
95;25-10-2013;2013-43;7116.3
96;01-11-2013;2013-44;7137.8
97;08-11-2013;2013-45;6975.9
98;15-11-2013;2013-46;6943.2
99;22-11-2013;2013-47;6900.6
100;29-11-2013;2013-48;6938.4
101;06-12-2013;2013-49;6889.8
102;13-12-2013;2013-50;6954.6
103;20-12-2013;2013-51;7070.7
104;27-12-2013;2013-52;7216.3
105;03-01-2014;2014-1;6907.9
106;10-01-2014;2014-2;6934.1
107;17-01-2014;2014-3;7035.3
108;24-01-2014;2014-4;7209.6
109;31-01-2014;2014-5;7104.7
110;07-02-2014;2014-6;7097.4
111;14-02-2014;2014-7;7345.8
112;21-02-2014;2014-8;7557.5
113;28-02-2014;2014-9;7728.7
114;07-03-2014;2014-10;7754.2
115;14-03-2014;2014-11;7821.7
116;21-03-2014;2014-12;7797.1
117;28-03-2014;2014-13;7909.8
118;04-04-2014;2014-14;7875.8
119;11-04-2014;2014-15;7990.4
120;18-04-2014;2014-16;7928.5
121;25-04-2014;2014-17;7924.7
122;02-05-2014;2014-18;8034.2
123;09-05-2014;2014-19;8072.7
124;16-05-2014;2014-20;8119.3
125;23-05-2014;2014-21;7824.7
126;30-05-2014;2014-22;7883.7
127;06-06-2014;2014-23;7773.9
128;13-06-2014;2014-24;8064.24
129;20-06-2014;2014-25;8061.9
130;27-06-2014;2014-26;8075.4
131;04-07-2014;2014-27;8313.1
132;11-07-2014;2014-28;8315.8
133;18-07-2014;2014-29;8293.1
134;25-07-2014;2014-30;8235.8
135;01-08-2014;2014-31;8287.0
136;08-08-2014;2014-32;8302.1
137;15-08-2014;2014-33;8360.8
138;22-08-2014;2014-34;8313.4
139;29-08-2014;2014-35;8296.7
140;05-09-2014;2014-36;8288.9
141;12-09-2014;2014-37;8380.1
142;19-09-2014;2014-38;8432.6
143;26-09-2014;2014-39;8522.5
144;03-10-2014;2014-40;8532.0
145;10-10-2014;2014-41;8606.7
146;17-10-2014;2014-42;8281.2
147;24-10-2014;2014-43;8357.5
148;31-10-2014;2014-44;8347.6
149;07-11-2014;2014-45;8492.3
150;14-11-2014;2014-46;8409.7
151;21-11-2014;2014-47;8381.4
152;28-11-2014;2014-48;8908.5
153;05-12-2014;2014-49;8960.0
154;12-12-2014;2014-50;9256.8
155;19-12-2014;2014-51;9214.7
156;26-12-2014;2014-52;9246.5
157;02-01-2015;2015-1;9426.5
158;09-01-2015;2015-2;9246.5
159;16-01-2015;2015-3;9669.4
160;23-01-2015;2015-4;9257.1
161;30-01-2015;2015-5;9420.8
162;06-02-2015;2015-6;9299.3
163;13-02-2015;2015-7;9160.3
164;20-02-2015;2015-8;9244.4
165;27-02-2015;2015-9;9144.0
166;06-03-2015;2015-10;8969.3
167;13-03-2015;2015-11;8856.5
168;20-03-2015;2015-12;9644.6
169;27-03-2015;2015-13;9655.9
170;03-04-2015;2015-14;9589.4
171;10-04-2015;2015-15;9994.1
172;17-04-2015;2015-16;9864.2
173;24-04-2015;2015-17;10193.6
174;01-05-2015;2015-18;10128.2
175;08-05-2015;2015-19;10057.8
176;15-05-2015;2015-20;9974.9
177;22-05-2015;2015-21;10195.3
178;29-05-2015;2015-22;9874.2
179;05-06-2015;2015-23;9822.0
180;12-06-2015;2015-24;9833.6
181;19-06-2015;2015-25;9913.6
182;26-06-2015;2015-26;9618.1
183;03-07-2015;2015-27;9825.7
184;10-07-2015;2015-28;9807.7
185;17-07-2015;2015-29;9850.0
186;24-07-2015;2015-30;9885.9
187;31-07-2015;2015-31;9804.5
188;07-08-2015;2015-32;9721.1
189;14-08-2015;2015-33;9889.3
190;21-08-2015;2015-34;9766.6
191;28-08-2015;2015-35;9804.2
192;04-09-2015;2015-36;9842.2
193;11-09-2015;2015-37;9593.9
194;18-09-2015;2015-38;9135.8
195;25-09-2015;2015-39;9113.4
196;02-10-2015;2015-40;9014.8
197;09-10-2015;2015-41;9080.3
198;16-10-2015;2015-42;9369.7
199;23-10-2015;2015-43;9204.6
200;30-10-2015;2015-44;9084.7
201;06-11-2015;2015-45;9118.2
202;13-11-2015;2015-46;9002.2
203;20-11-2015;2015-47;8615.0
204;27-11-2015;2015-48;8708.5
205;04-12-2015;2015-49;9041.1
206;11-12-2015;2015-50;9295.0
207;18-12-2015;2015-51;8094.9
208;25-12-2015;2015-52;8132.3
209;01-01-2016;2016-1;8148.1
210;08-01-2016;2016-2;8218.9
211;15-01-2016;2016-3;8436.0
212;22-01-2016;2016-4;7967.0
213;29-01-2016;2016-5;7952.4
214;05-02-2016;2016-6;8064.1
215;12-02-2016;2016-7;8040.7
216;19-02-2016;2016-8;8014.9
217;26-02-2016;2016-9;8034.0
218;04-03-2016;2016-10;7988.4
219;11-03-2016;2016-11;7968.3
220;18-03-2016;2016-12;8125.3
221;25-03-2016;2016-13;8000.1
222;01-04-2016;2016-14;7983.1
223;08-04-2016;2016-15;8139.4
224;15-04-2016;2016-16;8227.8
225;22-04-2016;2016-17;8322.0
226;29-04-2016;2016-18;8169.6
227;06-05-2016;2016-19;8397.3
228;13-05-2016;2016-20;8508.1
229;20-05-2016;2016-21;8475.1
230;27-05-2016;2016-22;8626.0
231;03-06-2016;2016-23;8599.3
232;10-06-2016;2016-24;8694.8
233;17-06-2016;2016-25;8560.1
234;24-06-2016;2016-26;8675.5
235;01-07-2016;2016-27;9194.8
236;08-07-2016;2016-28;8598.3
237;15-07-2016;2016-29;8604.4
238;22-07-2016;2016-30;8629.0
239;29-07-2016;2016-31;8519.5
240;05-08-2016;2016-32;8642.9
241;12-08-2016;2016-33;8630.7
242;19-08-2016;2016-34;8707.0
243;26-08-2016;2016-35;8661.6
244;02-09-2016;2016-36;8476.3
245;09-09-2016;2016-37;8581.5
246;16-09-2016;2016-38;8561.4
247;23-09-2016;2016-39;8503.5
248;30-09-2016;2016-40;8429.7
249;07-10-2016;2016-41;8403.4
250;14-10-2016;2016-42;8437.9
251;21-10-2016;2016-43;8401.7
252;28-10-2016;2016-44;8463.4
253;04-11-2016;2016-45;8631.2
254;11-11-2016;2016-46;8663.6
255;18-11-2016;2016-47;8712.9
256;25-11-2016;2016-48;8623.8
257;02-12-2016;2016-49;8697.7
258;09-12-2016;2016-50;8798.0
259;16-12-2016;2016-51;8556.8
260;23-12-2016;2016-52;8611.7
261;30-12-2016;2016-53;8576.2
262;06-01-2017;2017-1;8659.9
263;13-01-2017;2017-2;8510.9
264;20-01-2017;2017-3;8604.0
265;27-01-2017;2017-4;8720.3
266;03-02-2017;2017-5;8657.6
267;10-02-2017;2017-6;8641.1
268;17-02-2017;2017-7;8604.7
269;24-02-2017;2017-8;8753.7
270;03-03-2017;2017-9;8941.0
271;10-03-2017;2017-10;8981.8
272;17-03-2017;2017-11;8905.3
273;24-03-2017;2017-12;9074.4
274;31-03-2017;2017-13;9030.6
275;07-04-2017;2017-14;9156.0
276;14-04-2017;2017-15;9342.3
277;21-04-2017;2017-16;9330.9
278;28-04-2017;2017-17;9301.6
279;05-05-2017;2017-18;9394.3
280;12-05-2017;2017-19;9393.1
281;19-05-2017;2017-20;9537.0
282;26-05-2017;2017-21;9445.8
283;02-06-2017;2017-22;9405.1
284;09-06-2017;2017-23;9394.5
285;16-06-2017;2017-24;9284.4
286;23-06-2017;2017-25;9192.6
287;30-06-2017;2017-26;9262.3
288;07-07-2017;2017-27;9252.2
289;14-07-2017;2017-28;8635.8
290;21-07-2017;2017-29;8862.1
291;28-07-2017;2017-30;8995.7
292;04-08-2017;2017-31;9370.6
293;11-08-2017;2017-32;9623.4
294;18-08-2017;2017-33;9613.6
295;25-08-2017;2017-34;9643.2
296;01-09-2017;2017-35;9705.0
297;08-09-2017;2017-36;9669.3
298;15-09-2017;2017-37;9786.3
299;22-09-2017;2017-38;9801.2
300;29-09-2017;2017-39;9813.0
301;06-10-2017;2017-40;9962.9
302;13-10-2017;2017-41;9826.2
303;20-10-2017;2017-42;9850.9
304;27-10-2017;2017-43;9924.8
305;03-11-2017;2017-44;9947.3
306;10-11-2017;2017-45;9877.7
307;17-11-2017;2017-46;9904.9
308;24-11-2017;2017-47;9925.5
309;01-12-2017;2017-48;9857.8
310;08-12-2017;2017-49;9571.6
311;15-12-2017;2017-50;9675.0
312;22-12-2017;2017-51;9581.0
313;29-12-2017;2017-52;9517.1
314;05-01-2018;2018-1;9572.8
