;Tarih;TP_BEK_S07_A_K
0;2013-1;2.8
1;2013-2;3.0
2;2013-3;2.7
3;2013-4;3.0
4;2013-5;3.0
5;2013-6;2.0
6;2013-7;2.0
7;2013-8;2.0
8;2013-9;2.0
9;2013-10;2.5
10;2013-11;2.5
11;2013-12;2.75
12;2014-1;2.0
13;2014-2;1.5
14;2014-3;1.5
15;2014-4;1.8
16;2014-5;1.0
17;2014-6;1.0
18;2014-7;1.0
19;2014-8;1.0
20;2014-9;1.0
21;2014-10;1.0
22;2014-11;1.0
23;2014-12;1.0
24;2015-1;1.0
25;2015-2;1.0
26;2015-3;1.0
27;2015-4;1.0
28;2015-5;1.0
29;2015-6;1.0
30;2015-7;1.0
31;2015-8;1.0
32;2015-9;1.0
33;2015-10;1.0
34;2015-11;2.0
35;2015-12;2.5
36;2016-1;2.0
37;2016-2;2.0
38;2016-3;2.0
39;2016-4;2.0
40;2016-5;2.0
41;2016-6;2.0
42;2016-7;2.0
43;2016-8;2.0
44;2016-9;2.0
45;2016-10;2.0
46;2016-11;2.0
47;2016-12;1.6
48;2017-1;1.1
49;2017-2;1.4
50;2017-3;1.5
51;2017-4;1.6
52;2017-5;2.0
53;2017-6;2.0
54;2017-7;2.5
55;2017-8;2.5
56;2017-9;2.6
57;2017-10;4.0
58;2017-11;4.0
59;2017-12;4.25
60;2018-1;2.5
61;2018-2;3.5
62;2018-3;3.5
63;2018-4;3.0
64;2018-5;2.0
65;2018-6;2.0
66;2018-7;2.0
67;2018-8;-2.0
68;2018-9;1.1
69;2018-10;1.1
70;2018-11;1.1
71;2018-12;1.1
72;2019-1;-2.5
73;2019-2;-2.5
74;2019-3;-3.0
75;2019-4;-3.0
76;2019-5;-2.9
77;2019-6;-3.0
78;2019-7;-3.0
79;2019-8;-2.0
80;2019-9;-2.0
81;2019-10;-1.1
82;2019-11;-2.0
83;2019-12;-0.5
84;2020-1;1.6
85;2020-2;1.6
86;2020-3;1.5
87;2020-4;-10.0
88;2020-5;-10.0
89;2020-6;-6.8
90;2020-7;-6.8
91;2020-8;-6.8
92;2020-9;-4.7
93;2020-10;-3.5
94;2020-11;-3.2
95;2020-12;-1.5
96;2021-1;0.0
97;2021-2;2.1
98;2021-3;2.4
99;2021-4;3.0
100;2021-5;3.0
101;2021-6;3.0
102;2021-7;3.5
103;2021-8;3.8
104;2021-9;4.0
105;2021-10;5.0
106;2021-11;5.0
107;2021-12;7.0
108;2022-1;0.8
109;2022-2;0.8
110;2022-3;-3.0
111;2022-4;-3.0
112;2022-5;-2.0
113;2022-6;-1.5
114;2022-7;-1.2
115;2022-8;-1.1
116;2022-9;3.4
117;2022-10;4.0
118;2022-11;4.0
119;2022-12;4.0
120;2023-1;2.1
121;2023-2;2.1
122;2023-3;2.0
123;2023-4;2.25
124;2023-5;2.5
125;2023-6;2.25
126;2023-7;2.25
127;2023-8;2.4
128;2023-9;2.5
129;2023-10;3.5
130;2023-11;3.2
131;2023-12;3.5
132;2024-1;0.4
