;Tarih;YEARWEEK;TP_BS14_CARI
0;30-12-2011;2011-52;9747.0
1;06-01-2012;2012-1;9709.9
2;13-01-2012;2012-2;9581.5
3;20-01-2012;2012-3;9700.1
4;27-01-2012;2012-4;9962.0
5;03-02-2012;2012-5;9996.1
6;10-02-2012;2012-6;10125.8
7;17-02-2012;2012-7;9962.8
8;24-02-2012;2012-8;10252.1
9;02-03-2012;2012-9;10317.9
10;09-03-2012;2012-10;10247.4
11;16-03-2012;2012-11;10154.3
12;23-03-2012;2012-12;10239.0
13;30-03-2012;2012-13;10384.8
14;06-04-2012;2012-14;10232.6
15;13-04-2012;2012-15;10266.9
16;20-04-2012;2012-16;10262.5
17;27-04-2012;2012-17;10352.1
18;04-05-2012;2012-18;10301.2
19;11-05-2012;2012-19;10159.5
20;18-05-2012;2012-20;9920.4
21;25-05-2012;2012-21;9832.0
22;01-06-2012;2012-22;9699.9
23;08-06-2012;2012-23;9849.0
24;15-06-2012;2012-24;9905.1
25;22-06-2012;2012-25;10005.6
26;29-06-2012;2012-26;9822.3
27;06-07-2012;2012-27;8674.0
28;13-07-2012;2012-28;8517.6
29;20-07-2012;2012-29;8649.4
30;27-07-2012;2012-30;8526.4
31;03-08-2012;2012-31;8668.3
32;10-08-2012;2012-32;8697.1
33;17-08-2012;2012-33;8657.8
34;24-08-2012;2012-34;8893.1
35;31-08-2012;2012-35;8912.4
36;07-09-2012;2012-36;8924.8
37;14-09-2012;2012-37;9192.5
38;21-09-2012;2012-38;9213.0
39;28-09-2012;2012-39;9137.0
40;05-10-2012;2012-40;9192.8
41;12-10-2012;2012-41;9203.3
42;19-10-2012;2012-42;9351.7
43;26-10-2012;2012-43;9270.0
44;02-11-2012;2012-44;9225.6
45;09-11-2012;2012-45;9159.3
46;16-11-2012;2012-46;9186.6
47;23-11-2012;2012-47;9263.3
48;30-11-2012;2012-48;9404.3
49;07-12-2012;2012-49;9473.6
50;14-12-2012;2012-50;9467.5
51;21-12-2012;2012-51;9590.1
52;28-12-2012;2012-52;9607.2
53;04-01-2013;2013-1;9497.3
54;11-01-2013;2013-2;9469.6
55;18-01-2013;2013-3;9649.5
56;25-01-2013;2013-4;9636.94
57;01-02-2013;2013-5;9745.54
58;08-02-2013;2013-6;9732.37
59;15-02-2013;2013-7;9585.71
60;22-02-2013;2013-8;9465.95
61;01-03-2013;2013-9;9424.91
62;08-03-2013;2013-10;9342.49
63;15-03-2013;2013-11;9248.42
64;22-03-2013;2013-12;9225.49
65;29-03-2013;2013-13;9141.28
66;05-04-2013;2013-14;9173.4
67;12-04-2013;2013-15;9425.94
68;19-04-2013;2013-16;9439.3
69;26-04-2013;2013-17;9460.67
70;03-05-2013;2013-18;9560.4
71;10-05-2013;2013-19;9544.9
72;17-05-2013;2013-20;9374.7
73;24-05-2013;2013-21;9345.6
74;31-05-2013;2013-22;9387.6
75;07-06-2013;2013-23;9350.3
76;14-06-2013;2013-24;9547.4
77;21-06-2013;2013-25;9241.3
78;28-06-2013;2013-26;9144.1
79;05-07-2013;2013-27;9087.7
80;12-07-2013;2013-28;9057.5
81;19-07-2013;2013-29;9194.4
82;26-07-2013;2013-30;9226.6
83;02-08-2013;2013-31;9215.5
84;09-08-2013;2013-32;9222.8
85;16-08-2013;2013-33;9205.7
86;23-08-2013;2013-34;9155.3
87;30-08-2013;2013-35;9157.9
88;06-09-2013;2013-36;9039.8
89;13-09-2013;2013-37;9165.2
90;20-09-2013;2013-38;9411.5
91;27-09-2013;2013-39;9341.7
92;04-10-2013;2013-40;9394.9
93;11-10-2013;2013-41;9360.4
94;18-10-2013;2013-42;9380.2
95;25-10-2013;2013-43;9600.7
96;01-11-2013;2013-44;9498.0
97;08-11-2013;2013-45;9356.1
98;15-11-2013;2013-46;11030.3
99;22-11-2013;2013-47;11025.8
100;29-11-2013;2013-48;11165.9
101;06-12-2013;2013-49;11143.8
102;13-12-2013;2013-50;11293.01
103;20-12-2013;2013-51;11186.6
104;27-12-2013;2013-52;11198.1
105;03-01-2014;2014-1;11120.4
106;10-01-2014;2014-2;11098.0
107;17-01-2014;2014-3;11096.0
108;24-01-2014;2014-4;11092.3
109;31-01-2014;2014-5;11012.2
110;07-02-2014;2014-6;11000.5
111;14-02-2014;2014-7;9786.7
112;21-02-2014;2014-8;9860.8
113;28-02-2014;2014-9;9884.7
114;07-03-2014;2014-10;9930.6
115;14-03-2014;2014-11;10072.5
116;21-03-2014;2014-12;9923.4
117;28-03-2014;2014-13;9917.4
118;04-04-2014;2014-14;10022.9
119;11-04-2014;2014-15;11527.7
120;18-04-2014;2014-16;11503.2
121;25-04-2014;2014-17;11497.3
122;02-05-2014;2014-18;11556.9
123;09-05-2014;2014-19;11695.8
124;16-05-2014;2014-20;11459.3
125;23-05-2014;2014-21;11472.3
126;30-05-2014;2014-22;11441.8
127;06-06-2014;2014-23;11473.8
128;13-06-2014;2014-24;11409.29
129;20-06-2014;2014-25;11489.4
130;27-06-2014;2014-26;11496.9
131;04-07-2014;2014-27;11525.6
132;11-07-2014;2014-28;11523.2
133;18-07-2014;2014-29;11446.5
134;25-07-2014;2014-30;11441.8
135;01-08-2014;2014-31;11339.1
136;08-08-2014;2014-32;11245.6
137;15-08-2014;2014-33;11306.7
138;22-08-2014;2014-34;11225.7
139;29-08-2014;2014-35;11263.6
140;05-09-2014;2014-36;11235.2
141;12-09-2014;2014-37;11022.8
142;19-09-2014;2014-38;10963.4
143;26-09-2014;2014-39;10808.7
144;03-10-2014;2014-40;10683.0
145;10-10-2014;2014-41;10803.0
146;17-10-2014;2014-42;10799.6
147;24-10-2014;2014-43;10701.1
148;31-10-2014;2014-44;10685.0
149;07-11-2014;2014-45;10638.3
150;14-11-2014;2014-46;10676.9
151;21-11-2014;2014-47;10732.1
152;28-11-2014;2014-48;10720.1
153;05-12-2014;2014-49;10603.3
154;12-12-2014;2014-50;10649.5
155;19-12-2014;2014-51;10498.7
156;26-12-2014;2014-52;10448.9
157;02-01-2015;2015-1;10381.5
158;09-01-2015;2015-2;10083.2
159;16-01-2015;2015-3;10056.6
160;23-01-2015;2015-4;10004.5
161;30-01-2015;2015-5;9762.6
162;06-02-2015;2015-6;9905.5
163;13-02-2015;2015-7;9820.7
164;20-02-2015;2015-8;9879.6
165;27-02-2015;2015-9;9856.1
166;06-03-2015;2015-10;9525.2
167;13-03-2015;2015-11;9168.3
168;20-03-2015;2015-12;9234.1
169;27-03-2015;2015-13;9500.1
170;03-04-2015;2015-14;9332.5
171;10-04-2015;2015-15;9280.8
172;17-04-2015;2015-16;9177.8
173;24-04-2015;2015-17;9253.0
174;01-05-2015;2015-18;9433.6
175;08-05-2015;2015-19;9688.9
176;15-05-2015;2015-20;9747.5
177;22-05-2015;2015-21;9522.5
178;29-05-2015;2015-22;9335.3
179;05-06-2015;2015-23;9595.3
180;12-06-2015;2015-24;9475.2
181;19-06-2015;2015-25;9589.9
182;26-06-2015;2015-26;9467.0
183;03-07-2015;2015-27;9345.2
184;10-07-2015;2015-28;9361.1
185;17-07-2015;2015-29;9357.8
186;24-07-2015;2015-30;9324.0
187;31-07-2015;2015-31;9294.0
188;07-08-2015;2015-32;9216.0
189;14-08-2015;2015-33;9381.9
190;21-08-2015;2015-34;9369.0
191;28-08-2015;2015-35;9491.3
192;04-09-2015;2015-36;9410.4
193;11-09-2015;2015-37;9291.6
194;18-09-2015;2015-38;9440.1
195;25-09-2015;2015-39;9275.0
196;02-10-2015;2015-40;9215.3
197;09-10-2015;2015-41;9397.0
198;16-10-2015;2015-42;9563.5
199;23-10-2015;2015-43;9509.6
200;30-10-2015;2015-44;9280.4
201;06-11-2015;2015-45;9130.4
202;13-11-2015;2015-46;9015.2
203;20-11-2015;2015-47;9023.5
204;27-11-2015;2015-48;8905.7
205;04-12-2015;2015-49;8855.3
206;11-12-2015;2015-50;9129.6
207;18-12-2015;2015-51;9062.6
208;25-12-2015;2015-52;9137.5
209;01-01-2016;2016-1;9133.8
210;08-01-2016;2016-2;9039.4
211;15-01-2016;2016-3;9085.8
212;22-01-2016;2016-4;9080.1
213;29-01-2016;2016-5;9111.7
214;05-02-2016;2016-6;9323.6
215;12-02-2016;2016-7;9451.3
216;19-02-2016;2016-8;9258.2
217;26-02-2016;2016-9;9182.5
218;04-03-2016;2016-10;8267.1
219;11-03-2016;2016-11;8334.6
220;18-03-2016;2016-12;8634.0
221;25-03-2016;2016-13;8510.8
222;01-04-2016;2016-14;8687.8
223;08-04-2016;2016-15;8707.1
224;15-04-2016;2016-16;8619.4
225;22-04-2016;2016-17;8674.8
226;29-04-2016;2016-18;8704.7
227;06-05-2016;2016-19;8735.3
228;13-05-2016;2016-20;8700.2
229;20-05-2016;2016-21;8587.9
230;27-05-2016;2016-22;8509.8
231;03-06-2016;2016-23;8551.0
232;10-06-2016;2016-24;8697.3
233;17-06-2016;2016-25;8591.9
234;24-06-2016;2016-26;8680.5
235;01-07-2016;2016-27;8515.8
236;08-07-2016;2016-28;8525.2
237;15-07-2016;2016-29;8548.0
238;22-07-2016;2016-30;8173.4
239;29-07-2016;2016-31;8326.3
240;05-08-2016;2016-32;8342.5
241;12-08-2016;2016-33;8406.5
242;19-08-2016;2016-34;8542.1
243;26-08-2016;2016-35;8531.7
244;02-09-2016;2016-36;8414.5
245;09-09-2016;2016-37;8528.1
246;16-09-2016;2016-38;8502.0
247;23-09-2016;2016-39;8499.5
248;30-09-2016;2016-40;8409.2
249;07-10-2016;2016-41;8402.1
250;14-10-2016;2016-42;8260.5
251;21-10-2016;2016-43;8226.9
252;28-10-2016;2016-44;8173.0
253;04-11-2016;2016-45;8261.2
254;11-11-2016;2016-46;8066.2
255;18-11-2016;2016-47;7896.8
256;25-11-2016;2016-48;7774.4
257;02-12-2016;2016-49;7800.1
258;09-12-2016;2016-50;7939.5
259;16-12-2016;2016-51;7720.3
260;23-12-2016;2016-52;7716.3
