;Tarih;TP_TUFE1YI_T18
0;2014-1;102.21
1;2014-2;104.11
2;2014-3;107.9
3;2014-4;109.06
4;2014-5;106.07
5;2014-6;106.55
6;2014-7;116.59
7;2014-8;114.58
8;2014-9;115.77
9;2014-10;118.53
10;2014-11;126.29
11;2014-12;127.34
12;2015-1;136.72
13;2015-2;128.84
14;2015-3;120.44
15;2015-4;128.53
16;2015-5;128.85
17;2015-6;130.3
18;2015-7;130.76
19;2015-8;130.34
20;2015-9;131.5
21;2015-10;136.48
22;2015-11;137.32
23;2015-12;128.03
24;2016-1;130.93
25;2016-2;133.62
26;2016-3;141.23
27;2016-4;137.89
28;2016-5;137.21
29;2016-6;135.02
30;2016-7;136.57
31;2016-8;138.23
32;2016-9;133.52
33;2016-10;134.43
34;2016-11;137.4
35;2016-12;141.56
36;2017-1;144.33
37;2017-2;148.58
38;2017-3;150.6
39;2017-4;149.66
40;2017-5;150.63
41;2017-6;150.55
42;2017-7;151.68
43;2017-8;150.01
44;2017-9;147.81
45;2017-10;151.04
46;2017-11;158.3
47;2017-12;161.87
48;2018-1;161.67
49;2018-2;165.11
50;2018-3;165.35
51;2018-4;169.48
52;2018-5;171.34
53;2018-6;179.81
54;2018-7;181.06
55;2018-8;187.65
56;2018-9;223.69
57;2018-10;231.72
58;2018-11;222.98
59;2018-12;220.01
60;2019-1;216.41
61;2019-2;215.29
62;2019-3;213.3
63;2019-4;215.93
64;2019-5;224.57
65;2019-6;226.48
66;2019-7;227.87
67;2019-8;253.64
68;2019-9;238.61
69;2019-10;240.23
70;2019-11;250.46
71;2019-12;248.14
72;2020-1;246.41
73;2020-2;246.03
74;2020-3;249.6
75;2020-4;261.59
76;2020-5;260.19
77;2020-6;273.65
78;2020-7;276.52
79;2020-8;281.38
80;2020-9;292.07
81;2020-10;301.36
82;2020-11;308.87
83;2020-12;317.87
84;2021-1;338.09
85;2021-2;333.34
86;2021-3;328.25
87;2021-4;340.35
88;2021-5;342.11
89;2021-6;351.64
90;2021-7;367.79
91;2021-8;380.84
92;2021-9;385.6
93;2021-10;396.67
94;2021-11;419.05
95;2021-12;484.0
96;2022-1;557.71
97;2022-2;594.22
98;2022-3;613.69
99;2022-4;638.89
100;2022-5;652.02
101;2022-6;675.4
102;2022-7;709.4
103;2022-8;768.58
104;2022-9;794.02
105;2022-10;817.9
106;2022-11;848.24
107;2022-12;862.93
108;2023-1;875.32
109;2023-2;901.06
110;2023-3;903.69
111;2023-4;936.54
112;2023-5;957.04
113;2023-6;1010.85
114;2023-7;1175.76
115;2023-8;1253.84
116;2023-9;1293.34
117;2023-10;1325.8
118;2023-11;1329.94
119;2023-12;1361.23
120;2024-1;1414.27
