;Tarih;TP_MK_LON_YTL
301;1999-1;287.1
302;1999-2;287.6
303;1999-3;286.9
304;1999-4;282.4
305;1999-5;277.5
306;1999-6;261.3
307;1999-7;256.8
308;1999-8;256.9
309;1999-9;258.4
310;1999-10;308.9
311;1999-11;294.7
312;1999-12;284.5
313;2000-1;284.3
314;2000-2;300.7
315;2000-3;285.3
316;2000-4;279.4
317;2000-5;275.9
318;2000-6;284.9
319;2000-7;281.1
320;2000-8;274.6
321;2000-9;273.8
322;2000-10;270.4
323;2000-11;265.5
324;2000-12;271.5
325;2001-1;265.2
326;2001-2;262.4
327;2001-3;262.8
328;2001-4;260.9
329;2001-5;271.9
330;2001-6;269.6
331;2001-7;267.5
332;2001-8;272.6
333;2001-9;283.2
334;2001-10;282.0
335;2001-11;276.0
336;2001-12;275.8
337;2002-1;281.5
338;2002-2;293.5
339;2002-3;293.3
340;2002-4;303.8
341;2002-5;313.7
342;2002-6;325.8
343;2002-7;317.1
344;2002-8;310.8
345;2002-9;321.9
346;2002-10;320.5
347;2002-11;318.8
348;2002-12;331.8
349;2003-1;355.8
350;2003-2;358.7
351;2003-3;339.2
352;2003-4;328.8
353;2003-5;321.4
354;2003-6;340.5
355;2003-7;349.9
356;2003-8;361.6
357;2003-9;379.9
358;2003-10;380.1
359;2003-11;375.9
360;2003-12;407.6
361;2004-1;411.2
362;2004-2;405.3
363;2004-3;407.7
364;2004-4;408.1
365;2004-5;384.0
366;2004-6;392.4
367;2004-7;398.7
368;2004-8;401.0
369;2004-9;404.0
370;2004-10;420.8
371;2004-11;440.9
372;2004-12;440.5
373;2005-1;423.83
374;2005-2;424.03
375;2005-3;434.86
376;2005-4;429.45
377;2005-5;420.35
378;2005-6;431.04
379;2005-7;425.87
380;2005-8;440.48
381;2005-9;456.99
382;2005-10;468.08
383;2005-11;482.83
384;2005-12;511.67
385;2006-1;554.75
386;2006-2;557.96
387;2006-3;558.3
388;2006-4;619.08
389;2006-5;681.75
390;2006-6;603.07
391;2006-7;641.46
392;2006-8;632.98
393;2006-9;598.58
394;2006-10;584.93
395;2006-11;628.01
396;2006-12;636.63
397;2007-1;625.94
398;2007-2;664.58
399;2007-3;655.07
400;2007-4;683.55
401;2007-5;667.53
402;2007-6;655.64
403;2007-7;664.34
404;2007-8;665.87
405;2007-9;724.34
406;2007-10;759.72
407;2007-11;803.3
408;2007-12;805.25
409;2008-1;886.56
410;2008-2;931.6
411;2008-3;959.0
412;2008-4;908.38
413;2008-5;887.95
414;2008-6;895.88
415;2008-7;943.56
416;2008-8;841.7
417;2008-9;832.56
418;2008-10;791.26
419;2008-11;768.06
420;2008-12;803.75
421;2009-1;870.15
422;2009-2;947.38
423;2009-3;935.5
424;2009-4;894.33
425;2009-5;942.94
426;2009-6;944.19
427;2009-7;934.75
428;2009-8;954.38
429;2009-9;1000.19
430;2009-10;1040.55
431;2009-11;1113.67
432;2009-12;1130.19
433;2010-1;1104.31
434;2010-2;1090.25
