;Tarih;TP_BEK_S05_B_D
0;2013-1;1.8
1;2013-2;1.8
2;2013-3;1.8
3;2013-4;1.8
4;2013-5;1.81
5;2013-6;1.85
6;2013-7;1.9
7;2013-8;1.95
8;2013-9;1.95
9;2013-10;1.95
10;2013-11;2.0
11;2013-12;2.02
12;2014-1;2.1
13;2014-2;2.2
14;2014-3;2.2
15;2014-4;2.2
16;2014-5;2.2
17;2014-6;2.2
18;2014-7;2.2
19;2014-8;2.2
20;2014-9;2.2
21;2014-10;2.3
22;2014-11;2.25
23;2014-12;2.3
24;2015-1;2.4
25;2015-2;2.5
26;2015-3;2.6
27;2015-4;2.7
28;2015-5;2.7
29;2015-6;2.8
30;2015-7;2.8
31;2015-8;2.8
32;2015-9;3.0
33;2015-10;2.95
34;2015-11;2.9
35;2015-12;2.95
36;2016-1;3.3
37;2016-2;3.15
38;2016-3;3.1
39;2016-4;3.15
40;2016-5;3.05
41;2016-6;3.05
42;2016-7;3.05
43;2016-8;3.05
44;2016-9;3.05
45;2016-10;3.1
46;2016-11;3.4
47;2016-12;3.5
48;2017-1;4.0
49;2017-2;4.0
50;2017-3;3.9
51;2017-4;3.9
52;2017-5;3.8
53;2017-6;3.75
54;2017-7;3.8
55;2017-8;3.8
56;2017-9;3.6
57;2017-10;3.75
58;2017-11;3.85
59;2017-12;3.9
60;2018-1;4.0
61;2018-2;4.2
62;2018-3;4.0
63;2018-4;4.2
64;2018-5;4.25
65;2018-6;4.5
66;2018-7;4.9
67;2018-8;5.5
68;2018-9;6.5
69;2018-10;6.0
70;2018-11;5.6
71;2018-12;5.5
72;2019-1;6.1
73;2019-2;6.0
74;2019-3;6.0
75;2019-4;6.0
76;2019-5;6.5
77;2019-6;6.5
78;2019-7;6.3
79;2019-8;6.0
80;2019-9;6.0
81;2019-10;6.0
82;2019-11;5.85
83;2019-12;5.8
84;2020-1;6.4
85;2020-2;6.5
86;2020-3;6.5
87;2020-4;7.0
88;2020-5;7.25
89;2020-6;7.0
90;2020-7;7.0
91;2020-8;7.5
92;2020-9;7.6
93;2020-10;8.0
94;2020-11;8.0
95;2020-12;7.8
96;2021-1;8.0
97;2021-2;8.0
98;2021-3;8.0
99;2021-4;8.5
100;2021-5;9.0
101;2021-6;9.0
102;2021-7;9.0
103;2021-8;8.9
104;2021-9;8.9
105;2021-10;9.2
106;2021-11;10.0
107;2021-12;13.5
108;2022-1;16.0
109;2022-2;16.0
110;2022-3;16.0
111;2022-4;17.0
112;2022-5;17.5
113;2022-6;18.0
114;2022-7;19.0
115;2022-8;18.5
116;2022-9;20.0
117;2022-10;20.0
118;2022-11;20.0
119;2022-12;18.65
120;2023-1;23.0
121;2023-2;23.0
122;2023-3;23.0
123;2023-4;23.0
124;2023-5;24.0
125;2023-6;26.0
126;2023-7;28.0
127;2023-8;29.0
128;2023-9;30.0
129;2023-10;30.0
130;2023-11;30.0
131;2023-12;29.5
132;2024-1;42.0
