;Tarih;TP_DB_D22
0;1983-Q4;6548.0
1;1984-Q1;
2;1984-Q2;
3;1984-Q3;
4;1984-Q4;5984.0
5;1985-Q1;
6;1985-Q2;
7;1985-Q3;
8;1985-Q4;6623.0
9;1986-Q1;
10;1986-Q2;
11;1986-Q3;
12;1986-Q4;8006.0
13;1987-Q1;
14;1987-Q2;
15;1987-Q3;
16;1987-Q4;9930.0
17;1988-Q1;
18;1988-Q2;
19;1988-Q3;
20;1988-Q4;10038.0
21;1989-Q1;
22;1989-Q2;
23;1989-Q3;
24;1989-Q4;9992.0
25;1990-Q1;
26;1990-Q2;
27;1990-Q3;
28;1990-Q4;11652.0
29;1991-Q1;10876.0
30;1991-Q2;10500.0
31;1991-Q3;11151.0
32;1991-Q4;13169.0
33;1992-Q1;12639.0
34;1992-Q2;11681.0
35;1992-Q3;14130.0
36;1992-Q4;13542.0
37;1993-Q1;13760.0
38;1993-Q2;13931.0
39;1993-Q3;16835.0
40;1993-Q4;16607.0
41;1994-Q1;17348.0
42;1994-Q2;18699.0
43;1994-Q3;17566.0
44;1994-Q4;19001.0
45;1995-Q1;20514.0
46;1995-Q2;20740.0
47;1995-Q3;19668.0
48;1995-Q4;19552.0
49;1996-Q1;19123.0
50;1996-Q2;19365.0
51;1996-Q3;20108.0
52;1996-Q4;20579.0
