;Tarih;TP_ISGUCARSIV_G2
0;2005-1;20670.0
1;2005-2;20704.0
2;2005-3;20927.0
3;2005-4;21537.0
4;2005-5;22059.0
5;2005-6;22315.0
6;2005-7;22483.0
7;2005-8;22254.0
8;2005-9;22090.0
9;2005-10;21853.0
10;2005-11;21748.0
11;2005-12;21374.0
12;2006-1;21003.0
13;2006-2;20763.0
14;2006-3;21150.0
15;2006-4;21739.0
16;2006-5;22116.0
17;2006-6;22411.0
18;2006-7;22500.0
19;2006-8;22630.0
20;2006-9;22494.0
21;2006-10;22245.0
22;2006-11;22142.0
23;2006-12;21890.0
24;2007-1;21605.0
25;2007-2;21387.0
26;2007-3;21731.0
27;2007-4;22186.0
28;2007-5;22628.0
29;2007-6;22885.0
30;2007-7;23031.0
31;2007-8;22959.0
32;2007-9;22830.0
33;2007-10;22392.0
34;2007-11;22037.0
35;2007-12;21779.0
36;2008-1;21573.0
37;2008-2;21697.0
38;2008-3;22057.0
39;2008-4;22674.0
40;2008-5;23161.0
41;2008-6;23509.0
42;2008-7;23683.0
43;2008-8;23644.0
44;2008-9;23481.0
45;2008-10;23365.0
46;2008-11;23093.0
47;2008-12;22835.0
48;2009-1;22539.0
49;2009-2;22541.0
50;2009-3;22897.0
51;2009-4;23268.0
52;2009-5;23790.0
53;2009-6;24171.0
54;2009-7;24439.0
55;2009-8;24498.0
56;2009-9;24365.0
57;2009-10;24304.0
58;2009-11;24009.0
59;2009-12;23850.0
60;2010-1;23781.0
61;2010-2;23808.0
62;2010-3;24129.0
63;2010-4;24515.0
64;2010-5;24843.0
65;2010-6;25165.0
66;2010-7;25170.0
67;2010-8;25090.0
68;2010-9;24844.0
69;2010-10;24812.0
70;2010-11;24636.0
71;2010-12;24591.0
72;2011-1;24516.0
73;2011-2;24688.0
74;2011-3;25004.0
75;2011-4;25466.0
76;2011-5;25857.0
77;2011-6;26266.0
78;2011-7;26295.0
79;2011-8;26248.0
80;2011-9;26004.0
81;2011-10;25788.0
82;2011-11;25582.0
83;2011-12;25209.0
84;2012-1;25122.0
85;2012-2;24950.0
86;2012-3;25267.0
87;2012-4;25848.0
88;2012-5;26319.0
89;2012-6;26551.0
90;2012-7;26560.0
91;2012-8;26580.0
92;2012-9;26756.0
93;2012-10;26819.0
94;2012-11;26715.0
95;2012-12;26443.0
96;2013-1;26256.0
97;2013-2;26241.0
98;2013-3;26597.0
99;2013-4;27140.0
100;2013-5;27450.0
101;2013-6;27606.0
102;2013-7;27518.0
103;2013-8;27537.0
104;2013-9;27426.0
105;2013-10;27252.0
106;2013-11;26958.0
107;2013-12;26902.0
108;2014-1;27261.0
109;2014-2;27824.0
110;2014-3;28330.0
111;2014-4;28773.0
112;2014-5;29089.0
113;2014-6;29240.0
114;2014-7;29276.0
115;2014-8;29257.0
116;2014-9;29233.0
117;2014-10;29181.0
118;2014-11;28970.0
119;2014-12;28787.0
120;2015-1;28713.0
121;2015-2;28803.0
122;2015-3;29022.0
123;2015-4;29459.0
124;2015-5;29861.0
125;2015-6;30141.0
126;2015-7;30311.0
127;2015-8;30208.0
128;2015-9;30259.0
129;2015-10;30003.0
130;2015-11;29801.0
131;2015-12;29652.0
132;2016-1;29565.0
133;2016-2;29680.0
134;2016-3;30016.0
135;2016-4;30462.0
136;2016-5;30763.0
137;2016-6;30778.0
138;2016-7;30961.0
139;2016-8;30967.0
140;2016-9;31087.0
141;2016-10;30914.0
142;2016-11;30781.0
143;2016-12;30540.0
144;2017-1;30658.0
145;2017-2;30855.0
146;2017-3;31131.0
147;2017-4;31444.0
148;2017-5;31713.0
149;2017-6;31954.0
150;2017-7;32200.0
151;2017-8;32233.0
152;2017-9;32215.0
153;2017-10;31932.0
154;2017-11;31790.0
155;2017-12;31579.0
156;2018-1;31438.0
157;2018-2;31520.0
158;2018-3;31709.0
159;2018-4;32095.0
160;2018-5;32274.0
161;2018-6;32629.0
162;2018-7;32796.0
163;2018-8;32989.0
164;2018-9;32813.0
165;2018-10;32658.0
166;2018-11;32295.0
167;2018-12;31957.0
168;2019-1;31825.0
169;2019-2;32084.0
170;2019-3;32339.0
171;2019-4;32401.0
172;2019-5;32426.0
173;2019-6;32766.0
174;2019-7;33113.0
175;2019-8;33180.0
176;2019-9;33006.0
177;2019-10;32740.0
178;2019-11;32477.0
179;2019-12;32052.0
180;2020-1;31629.0
181;2020-2;30982.0
182;2020-3;30104.0
183;2020-4;29388.0
184;2020-5;29684.0
185;2020-6;30632.0
186;2020-7;31491.0
187;2020-8;31749.0
188;2020-9;31724.0
189;2020-10;31452.0
190;2020-11;31071.0
