;Tarih;TP_BEK_S07_A_D
0;2013-1;4.0
1;2013-2;4.0
2;2013-3;4.0
3;2013-4;4.0
4;2013-5;4.0
5;2013-6;4.0
6;2013-7;4.0
7;2013-8;3.5
8;2013-9;3.5
9;2013-10;3.5
10;2013-11;3.5
11;2013-12;3.5
12;2014-1;3.0
13;2014-2;2.5
14;2014-3;2.5
15;2014-4;2.5
16;2014-5;3.0
17;2014-6;3.5
18;2014-7;3.0
19;2014-8;3.5
20;2014-9;3.0
21;2014-10;3.0
22;2014-11;3.0
23;2014-12;3.0
24;2015-1;3.5
25;2015-2;3.5
26;2015-3;3.5
27;2015-4;3.0
28;2015-5;3.0
29;2015-6;3.0
30;2015-7;3.0
31;2015-8;3.0
32;2015-9;3.0
33;2015-10;3.0
34;2015-11;3.0
35;2015-12;3.0
36;2016-1;3.5
37;2016-2;3.5
38;2016-3;3.5
39;2016-4;3.5
40;2016-5;3.5
41;2016-6;3.5
42;2016-7;3.5
43;2016-8;3.5
44;2016-9;3.5
45;2016-10;3.0
46;2016-11;3.0
47;2016-12;2.5
48;2017-1;3.0
49;2017-2;3.0
50;2017-3;3.0
51;2017-4;3.0
52;2017-5;3.0
53;2017-6;3.5
54;2017-7;4.0
55;2017-8;4.5
56;2017-9;4.5
57;2017-10;5.5
58;2017-11;5.5
59;2017-12;5.5
60;2018-1;4.5
61;2018-2;4.5
62;2018-3;4.0
63;2018-4;4.0
64;2018-5;4.0
65;2018-6;4.0
66;2018-7;4.0
67;2018-8;4.0
68;2018-9;3.5
69;2018-10;3.0
70;2018-11;3.0
71;2018-12;3.0
72;2019-1;1.5
73;2019-2;1.0
74;2019-3;1.0
75;2019-4;1.0
76;2019-5;1.0
77;2019-6;0.0
78;2019-7;0.0
79;2019-8;0.0
80;2019-9;0.0
81;2019-10;0.5
82;2019-11;0.5
83;2019-12;0.5
84;2020-1;3.0
85;2020-2;3.0
86;2020-3;3.0
87;2020-4;1.0
88;2020-5;-2.0
89;2020-6;0.0
90;2020-7;-2.0
91;2020-8;-2.0
92;2020-9;-2.0
93;2020-10;-1.0
94;2020-11;0.0
95;2020-12;1.0
96;2021-1;4.0
97;2021-2;4.0
98;2021-3;4.0
99;2021-4;4.0
100;2021-5;4.5
101;2021-6;5.0
102;2021-7;5.0
103;2021-8;6.0
104;2021-9;8.5
105;2021-10;9.0
106;2021-11;9.0
107;2021-12;10.0
108;2022-1;3.5
109;2022-2;3.5
110;2022-3;3.0
111;2022-4;3.0
112;2022-5;3.0
113;2022-6;3.0
114;2022-7;3.5
115;2022-8;4.0
116;2022-9;5.0
117;2022-10;5.0
118;2022-11;5.0
119;2022-12;5.0
120;2023-1;4.0
121;2023-2;4.0
122;2023-3;4.0
123;2023-4;3.0
124;2023-5;3.0
125;2023-6;3.5
126;2023-7;4.0
127;2023-8;4.0
128;2023-9;4.0
129;2023-10;4.0
130;2023-11;4.0
131;2023-12;4.0
132;2024-1;3.5
