;Tarih;YEARWEEK;TP_BS04_NOMINAL
166;06-03-2015;2015-10;3819.0
167;13-03-2015;2015-11;3866.4
168;20-03-2015;2015-12;3665.7
169;27-03-2015;2015-13;3778.1
170;03-04-2015;2015-14;3712.1
171;10-04-2015;2015-15;3744.0
172;17-04-2015;2015-16;3821.9
173;24-04-2015;2015-17;3887.0
174;01-05-2015;2015-18;3894.8
175;08-05-2015;2015-19;3923.0
176;15-05-2015;2015-20;3940.2
177;22-05-2015;2015-21;4017.0
178;29-05-2015;2015-22;3957.8
179;05-06-2015;2015-23;4002.6
180;12-06-2015;2015-24;4029.0
181;19-06-2015;2015-25;4061.6
182;26-06-2015;2015-26;4025.0
183;03-07-2015;2015-27;4061.1
184;10-07-2015;2015-28;4073.8
185;17-07-2015;2015-29;4082.8
186;24-07-2015;2015-30;4096.6
187;31-07-2015;2015-31;4089.4
188;07-08-2015;2015-32;4091.1
189;14-08-2015;2015-33;4242.2
190;21-08-2015;2015-34;4080.4
191;28-08-2015;2015-35;4153.9
192;04-09-2015;2015-36;4180.9
193;11-09-2015;2015-37;4184.4
194;18-09-2015;2015-38;4180.8
195;25-09-2015;2015-39;4195.9
196;02-10-2015;2015-40;4203.3
197;09-10-2015;2015-41;4209.7
198;16-10-2015;2015-42;4253.7
199;23-10-2015;2015-43;4226.9
200;30-10-2015;2015-44;4256.0
201;06-11-2015;2015-45;4254.3
202;13-11-2015;2015-46;4207.7
203;20-11-2015;2015-47;4193.3
204;27-11-2015;2015-48;4230.4
205;04-12-2015;2015-49;4247.2
206;11-12-2015;2015-50;4319.4
207;18-12-2015;2015-51;4243.9
208;25-12-2015;2015-52;4283.2
209;01-01-2016;2016-1;4282.1
210;08-01-2016;2016-2;4284.7
211;15-01-2016;2016-3;4316.1
212;22-01-2016;2016-4;4288.5
213;29-01-2016;2016-5;4306.3
214;05-02-2016;2016-6;4338.7
215;12-02-2016;2016-7;4393.6
216;19-02-2016;2016-8;4397.0
217;26-02-2016;2016-9;4408.4
218;04-03-2016;2016-10;4357.0
219;11-03-2016;2016-11;4461.4
220;18-03-2016;2016-12;4506.8
221;25-03-2016;2016-13;4494.9
222;01-04-2016;2016-14;4524.5
223;08-04-2016;2016-15;4552.2
224;15-04-2016;2016-16;4539.0
225;22-04-2016;2016-17;4549.3
226;29-04-2016;2016-18;4539.9
227;06-05-2016;2016-19;4284.4
228;13-05-2016;2016-20;4283.8
229;20-05-2016;2016-21;4603.8
230;27-05-2016;2016-22;4611.4
231;03-06-2016;2016-23;4596.0
232;10-06-2016;2016-24;4649.7
233;17-06-2016;2016-25;4622.6
234;24-06-2016;2016-26;4653.4
235;01-07-2016;2016-27;4574.7
236;08-07-2016;2016-28;4602.5
237;15-07-2016;2016-29;4536.2
238;22-07-2016;2016-30;4518.9
239;29-07-2016;2016-31;4549.6
240;05-08-2016;2016-32;4561.8
241;12-08-2016;2016-33;4561.0
242;19-08-2016;2016-34;4594.4
243;26-08-2016;2016-35;4591.3
244;02-09-2016;2016-36;4513.6
245;09-09-2016;2016-37;4607.2
246;16-09-2016;2016-38;4561.7
247;23-09-2016;2016-39;4629.5
248;30-09-2016;2016-40;4509.5
249;07-10-2016;2016-41;4606.7
250;14-10-2016;2016-42;4567.2
251;21-10-2016;2016-43;4721.4
252;28-10-2016;2016-44;4711.0
253;04-11-2016;2016-45;4731.4
254;11-11-2016;2016-46;4699.1
255;18-11-2016;2016-47;4766.8
256;25-11-2016;2016-48;4786.5
257;02-12-2016;2016-49;4832.2
258;09-12-2016;2016-50;4796.1
259;16-12-2016;2016-51;4710.0
260;23-12-2016;2016-52;4750.3
261;30-12-2016;2016-53;4522.2
262;06-01-2017;2017-1;4790.0
263;13-01-2017;2017-2;4770.4
264;20-01-2017;2017-3;4833.6
265;27-01-2017;2017-4;4983.4
266;03-02-2017;2017-5;4975.0
267;10-02-2017;2017-6;4976.4
268;17-02-2017;2017-7;4857.2
269;24-02-2017;2017-8;4929.7
270;03-03-2017;2017-9;4960.5
271;10-03-2017;2017-10;4945.7
272;17-03-2017;2017-11;4930.3
273;24-03-2017;2017-12;4994.8
274;31-03-2017;2017-13;4969.9
275;07-04-2017;2017-14;5035.4
276;14-04-2017;2017-15;5010.4
277;21-04-2017;2017-16;4986.9
278;28-04-2017;2017-17;4996.7
279;05-05-2017;2017-18;5041.7
280;12-05-2017;2017-19;5078.5
281;19-05-2017;2017-20;5169.5
282;26-05-2017;2017-21;5149.1
283;02-06-2017;2017-22;5129.9
284;09-06-2017;2017-23;5133.1
285;16-06-2017;2017-24;5138.4
286;23-06-2017;2017-25;5124.3
287;30-06-2017;2017-26;5174.2
288;07-07-2017;2017-27;5180.8
289;14-07-2017;2017-28;5044.8
290;21-07-2017;2017-29;5177.4
291;28-07-2017;2017-30;5178.9
292;04-08-2017;2017-31;5178.1
293;11-08-2017;2017-32;5179.2
294;18-08-2017;2017-33;5180.8
295;25-08-2017;2017-34;5246.3
296;01-09-2017;2017-35;5302.0
297;08-09-2017;2017-36;5282.5
298;15-09-2017;2017-37;5272.3
299;22-09-2017;2017-38;5311.4
300;29-09-2017;2017-39;5341.3
301;06-10-2017;2017-40;5427.2
302;13-10-2017;2017-41;5397.5
303;20-10-2017;2017-42;5404.9
304;27-10-2017;2017-43;5437.0
305;03-11-2017;2017-44;5442.9
306;10-11-2017;2017-45;5424.0
307;17-11-2017;2017-46;5478.0
308;24-11-2017;2017-47;5495.5
309;01-12-2017;2017-48;5478.3
310;08-12-2017;2017-49;5491.4
311;15-12-2017;2017-50;5714.9
312;22-12-2017;2017-51;5714.9
313;29-12-2017;2017-52;5723.2
314;05-01-2018;2018-1;5767.6
315;12-01-2018;2018-2;5794.5
316;19-01-2018;2018-3;5869.9
317;26-01-2018;2018-4;5909.1
318;02-02-2018;2018-5;5924.6
319;09-02-2018;2018-6;5943.6
320;16-02-2018;2018-7;5963.3
321;23-02-2018;2018-8;5977.1
322;02-03-2018;2018-9;5999.8
323;09-03-2018;2018-10;6015.0
324;16-03-2018;2018-11;6025.6
325;23-03-2018;2018-12;6025.4
326;30-03-2018;2018-13;5966.0
327;06-04-2018;2018-14;5960.4
328;13-04-2018;2018-15;5962.8
329;20-04-2018;2018-16;6035.6
330;27-04-2018;2018-17;6014.1
331;04-05-2018;2018-18;6070.0
332;11-05-2018;2018-19;6043.5
333;18-05-2018;2018-20;6054.0
334;25-05-2018;2018-21;6032.2
335;01-06-2018;2018-22;6098.3
336;08-06-2018;2018-23;6002.0
337;15-06-2018;2018-24;6081.7
338;22-06-2018;2018-25;6050.0
339;29-06-2018;2018-26;6067.4
340;06-07-2018;2018-27;6080.6
341;13-07-2018;2018-28;6163.6
342;20-07-2018;2018-29;6152.8
343;27-07-2018;2018-30;6164.2
344;03-08-2018;2018-31;6181.0
345;10-08-2018;2018-32;6183.3
346;17-08-2018;2018-33;6239.4
347;24-08-2018;2018-34;6231.0
348;31-08-2018;2018-35;6295.6
349;07-09-2018;2018-36;6290.2
350;14-09-2018;2018-37;6340.1
351;21-09-2018;2018-38;6378.0
352;28-09-2018;2018-39;6337.2
353;05-10-2018;2018-40;6305.2
354;12-10-2018;2018-41;5857.5
355;19-10-2018;2018-42;5865.3
356;26-10-2018;2018-43;5828.3
357;02-11-2018;2018-44;5829.1
358;09-11-2018;2018-45;5858.5
359;16-11-2018;2018-46;6149.2
360;23-11-2018;2018-47;6168.4
361;30-11-2018;2018-48;6184.3
362;07-12-2018;2018-49;6148.7
363;14-12-2018;2018-50;6093.9
364;21-12-2018;2018-51;6178.0
365;28-12-2018;2018-52;6154.3
366;04-01-2019;2019-1;6167.9
367;11-01-2019;2019-2;6210.9
368;18-01-2019;2019-3;6172.5
369;25-01-2019;2019-4;6054.7
370;01-02-2019;2019-5;6205.2
371;08-02-2019;2019-6;6185.5
372;15-02-2019;2019-7;6176.2
373;22-02-2019;2019-8;6179.3
374;01-03-2019;2019-9;6224.8
375;08-03-2019;2019-10;6189.8
376;15-03-2019;2019-11;6110.7
377;22-03-2019;2019-12;6131.5
378;29-03-2019;2019-13;6130.6
379;05-04-2019;2019-14;6064.4
380;12-04-2019;2019-15;6169.7
381;19-04-2019;2019-16;6197.5
382;26-04-2019;2019-17;6225.9
383;03-05-2019;2019-18;6247.6
384;10-05-2019;2019-19;6245.5
385;17-05-2019;2019-20;6346.4
386;24-05-2019;2019-21;6347.3
387;31-05-2019;2019-22;6438.8
388;07-06-2019;2019-23;6459.7
389;14-06-2019;2019-24;6490.9
390;21-06-2019;2019-25;6491.6
391;28-06-2019;2019-26;6517.7
392;05-07-2019;2019-27;6517.1
393;12-07-2019;2019-28;6530.9
394;19-07-2019;2019-29;6538.3
395;26-07-2019;2019-30;6555.0
396;02-08-2019;2019-31;6548.4
397;09-08-2019;2019-32;6601.2
398;16-08-2019;2019-33;6584.2
399;23-08-2019;2019-34;6633.4
400;30-08-2019;2019-35;6609.8
401;06-09-2019;2019-36;6624.9
402;13-09-2019;2019-37;6641.0
403;20-09-2019;2019-38;6657.1
404;27-09-2019;2019-39;6675.0
405;04-10-2019;2019-40;6725.7
406;11-10-2019;2019-41;6758.4
407;18-10-2019;2019-42;6731.2
408;25-10-2019;2019-43;6795.2
409;01-11-2019;2019-44;7439.8
410;08-11-2019;2019-45;6582.4
411;15-11-2019;2019-46;6822.9
412;22-11-2019;2019-47;7184.9
413;29-11-2019;2019-48;7398.6
414;06-12-2019;2019-49;7453.6
415;13-12-2019;2019-50;7499.7
416;20-12-2019;2019-51;7496.3
417;27-12-2019;2019-52;7515.6
418;03-01-2020;2020-1;7533.5
419;10-01-2020;2020-2;7627.1
420;17-01-2020;2020-3;7770.6
421;24-01-2020;2020-4;7902.9
422;31-01-2020;2020-5;8029.6
423;07-02-2020;2020-6;8156.3
424;14-02-2020;2020-7;8206.7
425;21-02-2020;2020-8;8207.4
426;28-02-2020;2020-9;8339.4
427;06-03-2020;2020-10;8511.7
428;13-03-2020;2020-11;8621.7
429;20-03-2020;2020-12;8654.3
430;27-03-2020;2020-13;8657.7
431;03-04-2020;2020-14;8747.4
432;10-04-2020;2020-15;8819.5
433;17-04-2020;2020-16;8910.8
434;24-04-2020;2020-17;9030.8
435;01-05-2020;2020-18;9317.8
436;08-05-2020;2020-19;9366.9
437;15-05-2020;2020-20;9525.1
438;22-05-2020;2020-21;9570.4
439;29-05-2020;2020-22;9288.6
440;05-06-2020;2020-23;9216.5
441;12-06-2020;2020-24;9232.6
442;19-06-2020;2020-25;9263.9
443;26-06-2020;2020-26;9325.0
444;03-07-2020;2020-27;9399.1
445;10-07-2020;2020-28;9469.2
446;17-07-2020;2020-29;9550.2
447;24-07-2020;2020-30;9657.5
448;31-07-2020;2020-31;9729.8
449;07-08-2020;2020-32;9818.2
450;14-08-2020;2020-33;9846.6
451;21-08-2020;2020-34;9867.0
452;28-08-2020;2020-35;9879.3
453;04-09-2020;2020-36;9880.8
454;11-09-2020;2020-37;9938.2
455;18-09-2020;2020-38;10009.8
456;25-09-2020;2020-39;10052.7
457;02-10-2020;2020-40;10151.7
458;09-10-2020;2020-41;10249.7
459;16-10-2020;2020-42;10389.4
460;23-10-2020;2020-43;10568.0
461;30-10-2020;2020-44;10593.3
462;06-11-2020;2020-45;10654.5
463;13-11-2020;2020-46;10497.1
464;20-11-2020;2020-47;10377.1
465;27-11-2020;2020-48;10328.0
466;04-12-2020;2020-49;10410.8
467;11-12-2020;2020-50;10385.9
468;18-12-2020;2020-51;10357.6
469;25-12-2020;2020-52;10367.0
470;01-01-2021;2021-1;10375.9
471;08-01-2021;2021-2;10382.4
472;15-01-2021;2021-3;10150.9
473;22-01-2021;2021-4;10205.4
474;29-01-2021;2021-5;10220.1
475;05-02-2021;2021-6;10223.0
476;12-02-2021;2021-7;10262.1
477;19-02-2021;2021-8;10303.0
478;26-02-2021;2021-9;10378.8
479;05-03-2021;2021-10;10373.6
480;12-03-2021;2021-11;10453.5
481;19-03-2021;2021-12;10421.0
482;26-03-2021;2021-13;10543.9
483;02-04-2021;2021-14;10333.5
484;09-04-2021;2021-15;10509.6
485;16-04-2021;2021-16;10667.8
486;23-04-2021;2021-17;10742.7
487;30-04-2021;2021-18;10822.5
488;07-05-2021;2021-19;10919.5
489;14-05-2021;2021-20;10960.1
490;21-05-2021;2021-21;10987.5
491;28-05-2021;2021-22;11065.1
492;04-06-2021;2021-23;11159.1
493;11-06-2021;2021-24;11138.7
494;18-06-2021;2021-25;11161.6
495;25-06-2021;2021-26;11385.9
496;02-07-2021;2021-27;11463.0
497;09-07-2021;2021-28;11594.1
498;16-07-2021;2021-29;11616.3
499;23-07-2021;2021-30;11638.2
500;30-07-2021;2021-31;11823.8
501;06-08-2021;2021-32;11919.8
