;Tarih;TP_11TR52
0;2010-1;95.69
1;2010-2;94.65
2;2010-3;95.53
3;2010-4;97.57
4;2010-5;99.94
5;2010-6;100.63
6;2010-7;100.91
7;2010-8;100.23
8;2010-9;101.4
9;2010-10;103.13
10;2010-11;105.17
11;2010-12;105.1
12;2011-1;105.87
13;2011-2;105.7
14;2011-3;105.93
15;2011-4;105.64
16;2011-5;108.15
17;2011-6;110.41
18;2011-7;112.82
19;2011-8;111.23
20;2011-9;112.83
21;2011-10;113.16
22;2011-11;115.86
23;2011-12;114.87
24;2012-1;117.29
25;2012-2;120.38
26;2012-3;121.49
27;2012-4;121.95
28;2012-5;123.51
29;2012-6;125.01
30;2012-7;126.96
31;2012-8;127.59
32;2012-9;129.56
33;2012-10;131.99
34;2012-11;134.05
35;2012-12;134.93
36;2013-1;136.24
37;2013-2;136.54
38;2013-3;136.79
39;2013-4;137.71
40;2013-5;139.29
41;2013-6;141.71
42;2013-7;142.74
43;2013-8;144.93
44;2013-9;146.05
45;2013-10;147.06
46;2013-11;147.59
47;2013-12;148.0
48;2014-1;148.56
49;2014-2;150.99
50;2014-3;150.93
51;2014-4;154.37
52;2014-5;154.33
53;2014-6;157.62
54;2014-7;161.76
55;2014-8;163.58
56;2014-9;164.03
57;2014-10;165.03
58;2014-11;167.27
59;2014-12;169.22
60;2015-1;170.99
61;2015-2;172.19
62;2015-3;174.41
63;2015-4;177.21
64;2015-5;179.45
65;2015-6;187.58
66;2015-7;192.0
67;2015-8;194.88
68;2015-9;183.59
69;2015-10;187.38
70;2015-11;189.66
71;2015-12;191.99
72;2016-1;194.59
73;2016-2;194.61
74;2016-3;196.43
75;2016-4;198.12
76;2016-5;201.11
77;2016-6;201.88
78;2016-7;203.06
79;2016-8;205.11
80;2016-9;207.06
81;2016-10;209.97
82;2016-11;213.2
83;2016-12;216.8
84;2017-1;219.62
85;2017-2;219.56
86;2017-3;218.07
87;2017-4;219.92
88;2017-5;221.95
89;2017-6;225.56
90;2017-7;227.61
91;2017-8;230.7
92;2017-9;232.24
93;2017-10;235.07
94;2017-11;235.23
95;2017-12;238.12
96;2018-1;241.08
97;2018-2;244.26
98;2018-3;248.5
99;2018-4;253.36
100;2018-5;259.43
101;2018-6;260.96
102;2018-7;262.34
103;2018-8;261.28
104;2018-9;263.27
105;2018-10;264.01
106;2018-11;290.83
107;2018-12;290.26
108;2019-1;300.89
