;Tarih;TP_BEKODTUFE_BT65
0;2017-11;0.12
1;2017-12;0.18
2;2018-1;0.0
3;2018-2;0.0
4;2018-3;0.0
5;2018-4;0.0
6;2018-5;0.0
7;2018-6;0.0
8;2018-7;0.54
9;2018-8;0.33
10;2018-9;2.67
11;2018-10;2.78
12;2018-11;4.34
13;2018-12;2.88
14;2019-1;3.04
15;2019-2;2.29
16;2019-3;0.86
17;2019-4;2.45
18;2019-5;3.57
19;2019-6;0.67
20;2019-7;0.54
21;2019-8;0.0
22;2019-9;0.0
23;2019-10;0.42
24;2019-11;0.0
25;2019-12;0.0
26;2020-1;0.0
27;2020-2;0.11
28;2020-3;0.0
29;2020-4;0.0
30;2020-5;0.0
31;2020-6;0.0
32;2020-7;0.0
33;2020-8;0.0
34;2020-9;0.0
35;2020-10;0.0
36;2020-11;0.0
37;2020-12;0.2823
38;2021-1;0.0
39;2021-2;0.0
40;2021-3;0.0
41;2021-4;0.0
42;2021-5;0.0
43;2021-6;0.0
44;2021-7;0.0
45;2021-8;0.1793
46;2021-9;0.0
47;2021-10;0.8
48;2021-11;3.008
49;2021-12;4.8533
50;2022-1;0.5333
51;2022-2;6.0275
52;2022-3;4.3103
53;2022-4;4.8129
54;2022-5;2.5846
55;2022-6;3.2296
56;2022-7;2.8142
57;2022-8;4.0
58;2022-9;6.04
59;2022-10;8.2
60;2022-11;3.0095
61;2022-12;6.88
62;2023-1;7.54
63;2023-2;6.5895
64;2023-3;4.0667
65;2023-4;4.2545
66;2023-5;3.0261
67;2023-6;2.6667
68;2023-7;1.95
69;2023-8;1.44
70;2023-9;0.0
71;2023-10;1.18
72;2023-11;1.3
