;Tarih;TP_ISGUCARSIV_G3
0;2005-1;18521.0
1;2005-2;18548.0
2;2005-3;18843.0
3;2005-4;19532.0
4;2005-5;20113.0
5;2005-6;20363.0
6;2005-7;20523.0
7;2005-8;20262.0
8;2005-9;20066.0
9;2005-10;19796.0
10;2005-11;19610.0
11;2005-12;19160.0
12;2006-1;18745.0
13;2006-2;18493.0
14;2006-3;19045.0
15;2006-4;19754.0
16;2006-5;20343.0
17;2006-6;20588.0
18;2006-7;20651.0
19;2006-8;20695.0
20;2006-9;20603.0
21;2006-10;20366.0
22;2006-11;20202.0
23;2006-12;19802.0
24;2007-1;19467.0
25;2007-2;19186.0
26;2007-3;19657.0
27;2007-4;20180.0
28;2007-5;20743.0
29;2007-6;20977.0
30;2007-7;21102.0
31;2007-8;20956.0
32;2007-9;20804.0
33;2007-10;20331.0
34;2007-11;19951.0
35;2007-12;19629.0
36;2008-1;19324.0
37;2008-2;19347.0
38;2008-3;19831.0
39;2008-4;20621.0
40;2008-5;21210.0
41;2008-6;21470.0
42;2008-7;21522.0
43;2008-8;21443.0
44;2008-9;21183.0
45;2008-10;20961.0
46;2008-11;20416.0
47;2008-12;19932.0
48;2009-1;19351.0
49;2009-2;19210.0
50;2009-3;19538.0
51;2009-4;20049.0
52;2009-5;20761.0
53;2009-6;21226.0
54;2009-7;21485.0
55;2009-8;21410.0
56;2009-9;21321.0
57;2009-10;21336.0
58;2009-11;21078.0
59;2009-12;20835.0
60;2010-1;20554.0
61;2010-2;20603.0
62;2010-3;21029.0
63;2010-4;21744.0
64;2010-5;22276.0
65;2010-6;22680.0
66;2010-7;22677.0
67;2010-8;22429.0
68;2010-9;22208.0
69;2010-10;22214.0
70;2010-11;22122.0
71;2010-12;21978.0
72;2011-1;21798.0
73;2011-2;22046.0
74;2011-3;22473.0
75;2011-4;23109.0
76;2011-5;23569.0
77;2011-6;23994.0
78;2011-7;24044.0
79;2011-8;24008.0
80;2011-9;23877.0
81;2011-10;23631.0
82;2011-11;23440.0
83;2011-12;22942.0
84;2012-1;22775.0
85;2012-2;22548.0
86;2012-3;22962.0
87;2012-4;23725.0
88;2012-5;24331.0
89;2012-6;24616.0
90;2012-7;24540.0
91;2012-8;24457.0
92;2012-9;24543.0
93;2012-10;24598.0
94;2012-11;24411.0
95;2012-12;23984.0
96;2013-1;23704.0
97;2013-2;23703.0
98;2013-3;24101.0
99;2013-4;24774.0
100;2013-5;25186.0
101;2013-6;25366.0
102;2013-7;25148.0
103;2013-8;25055.0
104;2013-9;24899.0
105;2013-10;24782.0
106;2013-11;24461.0
107;2013-12;24320.0
108;2014-1;24456.0
109;2014-2;24999.0
110;2014-3;25583.0
111;2014-4;26194.0
112;2014-5;26538.0
113;2014-6;26586.0
114;2014-7;26410.0
115;2014-8;26313.0
116;2014-9;26169.0
117;2014-10;26138.0
118;2014-11;25874.0
119;2014-12;25642.0
120;2015-1;25454.0
121;2015-2;25576.0
122;2015-3;25953.0
123;2015-4;26638.0
124;2015-5;27072.0
125;2015-6;27261.0
126;2015-7;27342.0
127;2015-8;27150.0
128;2015-9;27156.0
129;2015-10;26856.0
130;2015-11;26676.0
131;2015-12;26448.0
132;2016-1;26275.0
133;2016-2;26456.0
134;2016-3;26993.0
135;2016-4;27638.0
136;2016-5;27867.0
137;2016-6;27651.0
138;2016-7;27636.0
139;2016-8;27473.0
140;2016-9;27564.0
141;2016-10;27267.0
142;2016-11;27067.0
143;2016-12;26669.0
144;2017-1;26672.0
145;2017-2;26956.0
146;2017-3;27489.0
147;2017-4;28157.0
148;2017-5;28488.0
149;2017-6;28703.0
150;2017-7;28758.0
151;2017-8;28828.0
152;2017-9;28797.0
153;2017-10;28645.0
154;2017-11;28515.0
155;2017-12;28288.0
156;2018-1;28029.0
157;2018-2;28166.0
158;2018-3;28499.0
159;2018-4;29009.0
160;2018-5;29138.0
161;2018-6;29314.0
162;2018-7;29265.0
163;2018-8;29318.0
164;2018-9;29063.0
165;2018-10;28870.0
166;2018-11;28314.0
167;2018-12;27655.0
168;2019-1;27157.0
169;2019-2;27355.0
170;2019-3;27795.0
171;2019-4;28199.0
172;2019-5;28269.0
173;2019-6;28512.0
174;2019-7;28517.0
175;2019-8;28529.0
176;2019-9;28440.0
177;2019-10;28343.0
178;2019-11;28169.0
179;2019-12;27658.0
180;2020-1;27266.0
181;2020-2;26753.0
182;2020-3;26133.0
183;2020-4;25614.0
184;2020-5;25858.0
185;2020-6;26531.0
186;2020-7;27263.0
187;2020-8;27554.0
188;2020-9;27707.0
189;2020-10;27447.0
190;2020-11;27066.0
