;Tarih;TP_DB_D01
0;1983-Q4;19238.0
1;1984-Q1;
2;1984-Q2;
3;1984-Q3;
4;1984-Q4;20823.0
5;1985-Q1;
6;1985-Q2;
7;1985-Q3;
8;1985-Q4;25660.0
9;1986-Q1;
10;1986-Q2;
11;1986-Q3;
12;1986-Q4;32206.0
13;1987-Q1;
14;1987-Q2;
15;1987-Q3;
16;1987-Q4;40326.0
17;1988-Q1;
18;1988-Q2;
19;1988-Q3;
20;1988-Q4;40722.0
21;1989-Q1;
22;1989-Q2;
23;1989-Q3;
24;1989-Q4;41751.0
25;1990-Q1;
26;1990-Q2;
27;1990-Q3;
28;1990-Q4;49035.0
29;1991-Q1;45529.0
30;1991-Q2;43752.0
31;1991-Q3;45733.0
32;1991-Q4;50489.0
33;1992-Q1;50961.0
34;1992-Q2;46330.0
35;1992-Q3;56075.0
36;1992-Q4;55592.0
37;1993-Q1;56800.0
38;1993-Q2;59381.0
39;1993-Q3;65875.0
40;1993-Q4;67356.0
41;1994-Q1;67247.0
42;1994-Q2;66581.0
43;1994-Q3;64779.0
44;1994-Q4;65601.0
45;1995-Q1;71581.0
46;1995-Q2;73779.0
47;1995-Q3;73171.0
48;1995-Q4;73278.0
49;1996-Q1;72093.0
50;1996-Q2;75757.0
51;1996-Q3;78042.0
52;1996-Q4;79767.0
