;Tarih;TP_FG_F19
0;1982-1;401.2
1;1982-2;407.8
2;1982-3;413.7
3;1982-4;418.5
4;1982-5;421.4
5;1982-6;425.8
6;1982-7;433.7
7;1982-8;436.1
8;1982-9;450.8
9;1982-10;467.5
10;1982-11;480.5
11;1982-12;495.8
12;1983-1;519.2
13;1983-2;524.7
14;1983-3;540.1
15;1983-4;544.6
16;1983-5;545.7
17;1983-6;555.0
18;1983-7;557.2
19;1983-8;567.4
20;1983-9;585.0
21;1983-10;616.2
22;1983-11;648.8
23;1983-12;672.2
24;1984-1;692.4
25;1984-2;699.8
26;1984-3;720.8
27;1984-4;772.1
28;1984-5;806.7
29;1984-6;859.3
30;1984-7;861.6
31;1984-8;883.4
32;1984-9;914.4
33;1984-10;964.2
34;1984-11;1011.0
35;1984-12;1024.4
36;1985-1;1075.5
37;1985-2;1111.7
38;1985-3;1177.2
39;1985-4;1188.1
40;1985-5;1231.9
41;1985-6;1231.7
42;1985-7;1244.0
43;1985-8;1278.1
44;1985-9;1343.6
45;1985-10;1432.1
46;1985-11;1511.4
47;1985-12;1526.8
48;1986-1;1542.4
49;1986-2;1564.8
50;1986-3;1599.4
51;1986-4;1614.6
52;1986-5;1670.2
53;1986-6;1695.7
54;1986-7;1733.1
55;1986-8;1754.8
56;1986-9;1805.5
57;1986-10;1978.0
58;1986-11;2021.3
59;1986-12;2053.5
60;1987-1;2074.1
61;1987-2;2113.6
62;1987-3;2192.0
63;1987-4;2248.2
64;1987-5;2364.5
65;1987-6;2376.5
66;1987-7;2402.1
67;1987-8;2505.5
68;1987-9;2522.9
69;1987-10;2659.4
70;1987-11;2835.8
71;1987-12;3135.2
72;1988-1;3269.5
73;1988-2;3414.7
74;1988-3;3666.8
75;1988-4;3873.4
76;1988-5;3992.0
77;1988-6;4057.4
78;1988-7;4113.2
79;1988-8;4261.7
80;1988-9;4484.5
81;1988-10;4917.0
82;1988-11;5235.6
83;1988-12;5346.4
84;1989-1;5607.3
85;1989-2;5798.7
86;1989-3;5968.0
87;1989-4;6249.8
88;1989-5;6484.8
89;1989-6;6754.5
90;1989-7;7143.6
91;1989-8;7364.2
92;1989-9;7892.4
93;1989-10;8583.6
94;1989-11;8949.3
95;1989-12;9257.3
96;1990-1;9457.3
97;1990-2;9843.9
98;1990-3;10286.5
99;1990-4;10740.0
100;1990-5;11031.3
101;1990-6;11218.2
102;1990-7;11172.1
103;1990-8;11799.4
104;1990-9;12798.2
105;1990-10;13802.0
106;1990-11;14507.8
107;1990-12;14657.4
