;Tarih;TP_DB_D39
0;1983-Q4;1168.0
1;1984-Q1;
2;1984-Q2;
3;1984-Q3;
4;1984-Q4;1669.0
5;1985-Q1;
6;1985-Q2;
7;1985-Q3;
8;1985-Q4;2385.0
9;1986-Q1;
10;1986-Q2;
11;1986-Q3;
12;1986-Q4;3637.0
13;1987-Q1;
14;1987-Q2;
15;1987-Q3;
16;1987-Q4;5355.0
17;1988-Q1;
18;1988-Q2;
19;1988-Q3;
20;1988-Q4;5802.0
21;1989-Q1;
22;1989-Q2;
23;1989-Q3;
24;1989-Q4;6742.0
25;1990-Q1;
26;1990-Q2;
27;1990-Q3;
28;1990-Q4;7687.0
29;1991-Q1;6314.0
30;1991-Q2;6154.0
31;1991-Q3;6513.0
32;1991-Q4;7554.0
33;1992-Q1;7475.0
34;1992-Q2;6640.0
35;1992-Q3;8304.0
36;1992-Q4;8147.0
37;1993-Q1;8792.0
38;1993-Q2;9166.0
39;1993-Q3;11748.0
40;1993-Q4;11349.0
41;1994-Q1;12773.0
42;1994-Q2;13442.0
43;1994-Q3;12950.0
44;1994-Q4;12950.0
45;1995-Q1;15942.0
46;1995-Q2;16383.0
47;1995-Q3;16960.0
48;1995-Q4;17438.0
49;1996-Q1;17443.0
50;1996-Q2;17669.0
51;1996-Q3;19141.0
52;1996-Q4;20033.0
