;Tarih;TP_BEK_S05_B_K
0;2013-1;1.7
1;2013-2;1.7
2;2013-3;1.7
3;2013-4;1.7
4;2013-5;1.75
5;2013-6;1.775
6;2013-7;1.85
7;2013-8;1.85
8;2013-9;1.9
9;2013-10;1.88
10;2013-11;1.94
11;2013-12;1.96
12;2014-1;2.0
13;2014-2;2.0
14;2014-3;2.05
15;2014-4;2.05
16;2014-5;2.0
17;2014-6;2.0
18;2014-7;2.0
19;2014-8;2.06
20;2014-9;2.0
21;2014-10;2.1943
22;2014-11;2.1943
23;2014-12;2.25
24;2015-1;2.2548
25;2015-2;2.25
26;2015-3;2.33
27;2015-4;2.45
28;2015-5;2.45
29;2015-6;2.45
30;2015-7;2.45
31;2015-8;2.55
32;2015-9;2.7285
33;2015-10;2.7
34;2015-11;2.7
35;2015-12;2.8
36;2016-1;2.85
37;2016-2;2.75
38;2016-3;2.78
39;2016-4;2.8
40;2016-5;2.91
41;2016-6;2.915
42;2016-7;2.8
43;2016-8;2.915
44;2016-9;2.95
45;2016-10;2.95
46;2016-11;3.15
47;2016-12;3.35
48;2017-1;3.35
49;2017-2;3.5
50;2017-3;3.4
51;2017-4;3.5
52;2017-5;3.35
53;2017-6;3.5
54;2017-7;3.5
55;2017-8;3.5
56;2017-9;3.35
57;2017-10;3.5
58;2017-11;3.5
59;2017-12;3.65
60;2018-1;3.65
61;2018-2;3.75
62;2018-3;3.85
63;2018-4;3.9
64;2018-5;3.92
65;2018-6;4.12
66;2018-7;4.3
67;2018-8;4.7
68;2018-9;4.9
69;2018-10;5.2
70;2018-11;5.1
71;2018-12;5.1
72;2019-1;5.2
73;2019-2;5.2
74;2019-3;5.6
75;2019-4;5.6
76;2019-5;5.9
77;2019-6;5.75
78;2019-7;5.5
79;2019-8;5.4
80;2019-9;5.6
81;2019-10;5.755
82;2019-11;5.7
83;2019-12;5.7
84;2020-1;6.1
85;2020-2;6.05
86;2020-3;5.8
87;2020-4;5.8
88;2020-5;6.1
89;2020-6;6.4
90;2020-7;6.4
91;2020-8;6.8
92;2020-9;7.04
93;2020-10;7.45
94;2020-11;6.85
95;2020-12;7.4
96;2021-1;6.6
97;2021-2;6.6
98;2021-3;6.85
99;2021-4;7.5
100;2021-5;8.0
101;2021-6;8.0
102;2021-7;8.0
103;2021-8;8.0
104;2021-9;8.25
105;2021-10;8.75
106;2021-11;9.0
107;2021-12;12.9
108;2022-1;10.0
109;2022-2;12.0
110;2022-3;13.63
111;2022-4;13.7
112;2022-5;14.0
113;2022-6;15.0
114;2022-7;15.5
115;2022-8;15.5
116;2022-9;18.5
117;2022-10;18.92
118;2022-11;18.8
119;2022-12;18.6
120;2023-1;19.4
121;2023-2;18.8
122;2023-3;19.0
123;2023-4;19.25
124;2023-5;19.25
125;2023-6;21.5
126;2023-7;27.0
127;2023-8;28.25
128;2023-9;27.5
129;2023-10;28.5
130;2023-11;29.0
131;2023-12;29.0
132;2024-1;30.7
