;Tarih;TP_BEK_S01_A_K
0;2013-1;0.2
1;2013-2;0.01
2;2013-3;0.2
3;2013-4;0.12
4;2013-5;-1.0
5;2013-6;-1.48
6;2013-7;-0.55
7;2013-8;-0.75
8;2013-9;-0.2
9;2013-10;0.1
10;2013-11;-0.1
11;2013-12;-0.1
12;2014-1;0.4
13;2014-2;0.05
14;2014-3;0.3
15;2014-4;0.3
16;2014-5;-0.03
17;2014-6;-0.6
18;2014-7;-0.53
19;2014-8;-0.5
20;2014-9;0.13
21;2014-10;0.1
22;2014-11;0.0
23;2014-12;-0.37
24;2015-1;-0.5
25;2015-2;-0.1
26;2015-3;-0.2
27;2015-4;0.0
28;2015-5;-0.2
29;2015-6;-0.55
30;2015-7;-0.5
31;2015-8;-0.4
32;2015-9;-0.5
33;2015-10;0.45
34;2015-11;0.0
35;2015-12;-0.8
36;2016-1;-0.1
37;2016-2;0.1
38;2016-3;0.0
39;2016-4;0.0
40;2016-5;0.0
41;2016-6;-1.0
42;2016-7;-0.11
43;2016-8;-0.35
44;2016-9;0.1
45;2016-10;0.2
46;2016-11;0.3
47;2016-12;0.1
48;2017-1;0.5
49;2017-2;-0.5
50;2017-3;-0.15
51;2017-4;0.2
52;2017-5;0.0
53;2017-6;-0.4
54;2017-7;-0.57
55;2017-8;-0.4
56;2017-9;0.11
57;2017-10;0.3
58;2017-11;0.2
59;2017-12;-0.34
60;2018-1;0.11
61;2018-2;0.0
62;2018-3;0.4
63;2018-4;0.4
64;2018-5;0.3
65;2018-6;-0.35
66;2018-7;-0.5
67;2018-8;0.21
68;2018-9;0.6
69;2018-10;-2.1
70;2018-11;-0.2
71;2018-12;-0.82
72;2019-1;0.0
73;2019-2;-1.0
74;2019-3;0.2
75;2019-4;0.56
76;2019-5;0.72
77;2019-6;-0.2
78;2019-7;0.1
79;2019-8;-0.1
80;2019-9;0.5
81;2019-10;0.7
82;2019-11;0.0
83;2019-12;0.0
84;2020-1;0.34
85;2020-2;0.07
86;2020-3;0.33
87;2020-4;0.0
88;2020-5;0.2
89;2020-6;-0.55
90;2020-7;-1.3
91;2020-8;0.07
92;2020-9;0.1
93;2020-10;0.1
94;2020-11;0.47
95;2020-12;0.28
96;2021-1;0.4
97;2021-2;0.3
98;2021-3;0.2
99;2021-4;0.3
100;2021-5;0.4
101;2021-6;-0.5
102;2021-7;0.5
103;2021-8;0.2
104;2021-9;0.17
105;2021-10;1.0
106;2021-11;0.62
107;2021-12;0.9
108;2022-1;1.6
109;2022-2;0.58
110;2022-3;1.0
111;2022-4;1.6
112;2022-5;1.2
113;2022-6;1.9
114;2022-7;1.6
115;2022-8;1.2
116;2022-9;1.28
117;2022-10;1.85
118;2022-11;2.1
119;2022-12;1.5
120;2023-1;-0.03
121;2023-2;1.1
122;2023-3;1.0
123;2023-4;1.4
124;2023-5;1.05
125;2023-6;0.2
126;2023-7;1.2
127;2023-8;3.2
128;2023-9;2.7
129;2023-10;1.04
130;2023-11;2.14
131;2023-12;1.9
132;2024-1;1.75
