;Tarih;YEARWEEK;TP_BS03_NOMINAL
0;30-12-2011;2011-52;13176.7
1;06-01-2012;2012-1;13097.8
2;13-01-2012;2012-2;13050.4
3;20-01-2012;2012-3;13085.3
4;27-01-2012;2012-4;13179.5
5;03-02-2012;2012-5;13008.2
6;10-02-2012;2012-6;13140.4
7;17-02-2012;2012-7;13412.2
8;24-02-2012;2012-8;13691.2
9;02-03-2012;2012-9;13574.8
10;09-03-2012;2012-10;13533.1
11;16-03-2012;2012-11;13604.7
12;23-03-2012;2012-12;13541.3
13;30-03-2012;2012-13;13837.5
14;06-04-2012;2012-14;13663.0
15;13-04-2012;2012-15;13611.9
16;20-04-2012;2012-16;13777.3
17;27-04-2012;2012-17;14038.5
18;04-05-2012;2012-18;13930.9
19;11-05-2012;2012-19;13651.7
20;18-05-2012;2012-20;13969.9
21;25-05-2012;2012-21;14135.6
22;01-06-2012;2012-22;14201.4
23;08-06-2012;2012-23;14092.3
24;15-06-2012;2012-24;14199.5
25;22-06-2012;2012-25;14388.4
26;29-06-2012;2012-26;14472.6
27;06-07-2012;2012-27;13644.1
28;13-07-2012;2012-28;13481.1
29;20-07-2012;2012-29;13481.6
30;27-07-2012;2012-30;13039.3
31;03-08-2012;2012-31;12570.4
32;10-08-2012;2012-32;12998.8
33;17-08-2012;2012-33;13816.8
34;24-08-2012;2012-34;13088.8
35;31-08-2012;2012-35;13176.0
36;07-09-2012;2012-36;12842.5
37;14-09-2012;2012-37;12833.9
38;21-09-2012;2012-38;12940.4
39;28-09-2012;2012-39;13383.8
40;05-10-2012;2012-40;13334.0
41;12-10-2012;2012-41;12816.0
42;19-10-2012;2012-42;12589.3
43;26-10-2012;2012-43;12434.2
44;02-11-2012;2012-44;12519.8
45;09-11-2012;2012-45;12560.4
46;16-11-2012;2012-46;12551.6
47;23-11-2012;2012-47;12707.3
48;30-11-2012;2012-48;12840.9
49;07-12-2012;2012-49;12899.1
50;14-12-2012;2012-50;13486.6
51;21-12-2012;2012-51;13180.9
52;28-12-2012;2012-52;12882.4
53;04-01-2013;2013-1;13010.0
54;11-01-2013;2013-2;13225.4
55;18-01-2013;2013-3;12878.2
56;25-01-2013;2013-4;12949.62
57;01-02-2013;2013-5;13120.27
58;08-02-2013;2013-6;13197.56
59;15-02-2013;2013-7;13138.59
60;22-02-2013;2013-8;13159.38
61;01-03-2013;2013-9;13209.73
62;08-03-2013;2013-10;13195.81
63;15-03-2013;2013-11;13102.61
64;22-03-2013;2013-12;13063.28
65;29-03-2013;2013-13;13421.58
66;05-04-2013;2013-14;13315.08
67;12-04-2013;2013-15;13273.61
68;19-04-2013;2013-16;13432.8
69;26-04-2013;2013-17;13372.08
70;03-05-2013;2013-18;13360.8
71;10-05-2013;2013-19;13168.2
72;17-05-2013;2013-20;12916.1
73;24-05-2013;2013-21;13103.1
74;31-05-2013;2013-22;13029.1
75;07-06-2013;2013-23;12722.5
76;14-06-2013;2013-24;12765.7
77;21-06-2013;2013-25;12708.3
78;28-06-2013;2013-26;12881.1
79;05-07-2013;2013-27;12683.2
80;12-07-2013;2013-28;12485.8
81;19-07-2013;2013-29;12559.4
82;26-07-2013;2013-30;12628.7
83;02-08-2013;2013-31;12530.3
84;09-08-2013;2013-32;12521.1
85;16-08-2013;2013-33;12571.5
86;23-08-2013;2013-34;12595.2
87;30-08-2013;2013-35;12528.4
88;06-09-2013;2013-36;12538.4
89;13-09-2013;2013-37;12760.2
90;20-09-2013;2013-38;12917.2
91;27-09-2013;2013-39;12699.7
92;04-10-2013;2013-40;12480.3
93;11-10-2013;2013-41;12667.2
94;18-10-2013;2013-42;12652.0
95;25-10-2013;2013-43;12625.0
96;01-11-2013;2013-44;12396.1
97;08-11-2013;2013-45;12459.7
98;15-11-2013;2013-46;12570.3
99;22-11-2013;2013-47;12434.4
100;29-11-2013;2013-48;12376.7
101;06-12-2013;2013-49;12136.8
102;13-12-2013;2013-50;12095.8
103;20-12-2013;2013-51;12082.1
104;27-12-2013;2013-52;12261.0
105;03-01-2014;2014-1;12070.4
106;10-01-2014;2014-2;11188.6
107;17-01-2014;2014-3;11651.3
108;24-01-2014;2014-4;11762.0
109;31-01-2014;2014-5;11858.9
110;07-02-2014;2014-6;12187.2
111;14-02-2014;2014-7;11794.4
112;21-02-2014;2014-8;12029.4
113;28-02-2014;2014-9;12046.3
114;07-03-2014;2014-10;12338.4
115;14-03-2014;2014-11;12487.1
116;21-03-2014;2014-12;12451.0
117;28-03-2014;2014-13;12557.3
118;04-04-2014;2014-14;12441.0
119;11-04-2014;2014-15;12832.2
120;18-04-2014;2014-16;12786.2
121;25-04-2014;2014-17;12866.7
122;02-05-2014;2014-18;12825.6
123;09-05-2014;2014-19;13001.1
124;16-05-2014;2014-20;13036.8
125;23-05-2014;2014-21;13093.7
126;30-05-2014;2014-22;13219.9
127;06-06-2014;2014-23;13055.2
128;13-06-2014;2014-24;13141.67
129;20-06-2014;2014-25;13220.0
130;27-06-2014;2014-26;13126.8
131;04-07-2014;2014-27;12896.0
132;11-07-2014;2014-28;12914.5
133;18-07-2014;2014-29;12881.6
134;25-07-2014;2014-30;12945.1
135;01-08-2014;2014-31;12835.7
136;08-08-2014;2014-32;12940.8
137;15-08-2014;2014-33;13058.2
138;22-08-2014;2014-34;12915.1
139;29-08-2014;2014-35;12937.3
140;05-09-2014;2014-36;12899.1
141;12-09-2014;2014-37;12927.7
142;19-09-2014;2014-38;12829.9
143;26-09-2014;2014-39;12810.7
144;03-10-2014;2014-40;12759.7
145;10-10-2014;2014-41;12877.4
146;17-10-2014;2014-42;12887.1
147;24-10-2014;2014-43;12902.3
148;31-10-2014;2014-44;12944.8
149;07-11-2014;2014-45;13036.7
150;14-11-2014;2014-46;13028.0
151;21-11-2014;2014-47;13084.8
152;28-11-2014;2014-48;12934.5
153;05-12-2014;2014-49;12894.4
154;12-12-2014;2014-50;12774.3
155;19-12-2014;2014-51;12665.1
156;26-12-2014;2014-52;12640.7
157;02-01-2015;2015-1;12556.6
158;09-01-2015;2015-2;12472.3
159;16-01-2015;2015-3;12991.8
160;23-01-2015;2015-4;12742.9
161;30-01-2015;2015-5;12880.5
162;06-02-2015;2015-6;12828.6
163;13-02-2015;2015-7;12838.8
164;20-02-2015;2015-8;13026.2
165;27-02-2015;2015-9;13214.2
166;06-03-2015;2015-10;13306.9
167;13-03-2015;2015-11;13310.8
168;20-03-2015;2015-12;11719.1
169;27-03-2015;2015-13;11955.4
170;03-04-2015;2015-14;11970.6
171;10-04-2015;2015-15;11804.8
172;17-04-2015;2015-16;12080.7
173;24-04-2015;2015-17;12136.9
174;01-05-2015;2015-18;12145.7
175;08-05-2015;2015-19;12128.2
176;15-05-2015;2015-20;12312.9
177;22-05-2015;2015-21;12531.8
178;29-05-2015;2015-22;12532.2
179;05-06-2015;2015-23;12636.6
180;12-06-2015;2015-24;12747.0
181;19-06-2015;2015-25;12869.2
182;26-06-2015;2015-26;13193.2
183;03-07-2015;2015-27;12870.0
184;10-07-2015;2015-28;12926.9
185;17-07-2015;2015-29;12923.7
186;24-07-2015;2015-30;13006.0
187;31-07-2015;2015-31;12935.2
188;07-08-2015;2015-32;13058.4
189;14-08-2015;2015-33;13369.3
190;21-08-2015;2015-34;12913.7
191;28-08-2015;2015-35;13352.4
