;Tarih;TP_BEKODTUFEYENI_BT55
0;2022-1;0.0
1;2022-2;0.0
2;2022-3;1.7067
3;2022-4;0.0
4;2022-5;0.7143
5;2022-6;1.5067
6;2022-7;1.1448
7;2022-8;0.8
8;2022-9;1.01
9;2022-10;0.0
10;2022-11;0.0
11;2022-12;0.8696
12;2023-1;0.8696
13;2023-2;0.0
14;2023-3;0.0
15;2023-4;0.0
16;2023-5;0.0
17;2023-6;0.0
18;2023-7;0.0
19;2023-8;0.5286
20;2023-9;1.8143
21;2023-10;0.3707
22;2023-11;0.8372
23;2023-12;0.0
24;2024-1;0.0
