;Tarih;TP_UR_K07
0;1968;935687.0
1;1969;949641.0
2;1970;955951.0
3;1971;984252.0
4;1972;1031230.0
5;1973;1038579.0
6;1974;1069599.0
7;1975;1116530.0
8;1976;1208102.0
9;1977;1223744.0
10;1978;1216735.0
11;1979;1184419.0
12;1980;1131824.0
13;1981;1158074.0
14;1982;1169850.0
15;1983;1197831.0
16;1984;1246814.0
17;1985;1267764.0
18;1986;1326932.0
19;1987;1421623.0
20;1988;1420577.0
21;1989;1393590.0
22;1990;1487082.0
23;1991;1471998.0
24;1992;1530808.0
25;1993;1623613.0
26;1994;1507540.0
27;1995;1587953.0
28;1996;1670657.0
29;1997;1802677.0
30;1998;1829754.0
31;1999;1719567.0
32;2000;1760856.0
33;2001;1601407.0
34;2002;1703562.0
35;2003;1774594.0
36;2004;1904088.0
37;2005;2036782.0
38;2006;2134082.0
