SERIE_NAME;END_DATE;START_DATE;DEFAULT_AGG_METHOD;SERIE_CODE;DATAGROUP_CODE;SERIE_NAME_ENG;FREQUENCY_STR
Ankara Yeni Konutlar Fiyat Endeksi (ArŸiv);01-01-2019;01-01-2010;last;TP.03ANKARA.Y;bie_tykfe;New Housing Price Index for Ankara (Archive);AYLIK
˜zmir Yeni Konutlar Fiyat Endeksi (ArŸiv);01-01-2019;01-01-2010;last;TP.04IZMIR.Y;bie_tykfe;New Housing Price Index for Izmir (Archive);AYLIK
GENEL INDEKS (ArŸiv);01-12-2004;01-01-1982;last;TP.FG.F01;bie_tukfiy1;All items (Archive);AYLIK
1- GIDALAR GENEL INDEKSI (ArŸiv);01-12-2004;01-01-1982;last;TP.FG.F02;bie_tukfiy1;1- Food (Archive);AYLIK
ANKARA TUKETICI FIYAT ENDEKSI (ArŸiv);01-12-1990;01-01-1982;last;TP.FG.F19;bie_tukfiy1;Ankara Consumer Price Index (Archive);AYLIK
ISTANBUL TUKETICI FIYAT ENDEKSI (ArŸiv);01-12-1990;01-01-1982;last;TP.FG.F20;bie_tukfiy1;Istanbul Consumer Price Index (Archive);AYLIK
1.GENEL (ArŸiv);01-12-2013;01-01-2003;last;TP.FG.TF01;bie_tufe1;1.GENERAL (Archive);AYLIK
2.TARIM (ArŸiv);01-12-2013;01-01-2003;last;TP.FG.TF02;bie_tufe1;2.AGRICULTURE (Archive);AYLIK
3.SANAYI (ArŸiv);01-12-2013;01-01-2003;last;TP.FG.TF07;bie_tufe1;3.INDUSTRY (Archive);AYLIK
Konut Fiyat Endeksi (KFE) (ArŸiv);01-01-2019;01-01-2010;last;TP.01TKFE;bie_tkfe;House Price Index (HPI) (Archive);AYLIK
TR 10 (˜stanbul) (ArŸiv);01-01-2019;01-01-2010;last;TP.02TR10;bie_tkfe;TR 10 (Istanbul) (Archive);AYLIK
TR 51 (Ankara) (ArŸiv);01-01-2019;01-01-2010;last;TP.03TR51;bie_tkfe;TR 51 (Ankara) (Archive);AYLIK
TR 31 (˜zmir) (ArŸiv);01-01-2019;01-01-2010;last;TP.04TR31;bie_tkfe;TR 31 (Izmir) (Archive);AYLIK
TR 21 (Edirne, Krklareli, Tekirda§) (ArŸiv);01-01-2019;01-01-2010;last;TP.05TR21;bie_tkfe;TR 21 (Edirne, Kirklareli, Tekirdag) (Archive);AYLIK
TR 22 (Balkesir, €anakkale) (ArŸiv);01-01-2019;01-01-2010;last;TP.06TR22;bie_tkfe;TR 22 (Balikesir, Canakkale) (Archive);AYLIK
TR 32 (Aydn, Denizli, Mu§la) (ArŸiv);01-01-2019;01-01-2010;last;TP.07TR32;bie_tkfe;TR 32 (Aydin, Denizli, Mugla) (Archive);AYLIK
TR 33 (Afyonkarahisar, Ktahya, Manisa, UŸak) (ArŸiv);01-01-2019;01-01-2010;last;TP.08TR33;bie_tkfe;TR 33 (Afyonkarahisar, Kutahya, Manisa, Usak) (Archive);AYLIK
TR 41 (Bursa, EskiŸehir, Bilecik) (ArŸiv);01-01-2019;01-01-2010;last;TP.09TR41;bie_tkfe;TR 41 (Bursa, Eskisehir, Bilecik) (Archive);AYLIK
TR 42 (Bolu, Kocaeli, Sakarya, Yalova, Dzce) (ArŸiv);01-01-2019;01-01-2010;last;TP.10TR42;bie_tkfe;TR 42 (Bolu, Kocaeli, Sakarya, Yalova, Duzce) (Archive);AYLIK
TR 52 (Konya, Karaman) (ArŸiv);01-01-2019;01-01-2010;last;TP.11TR52;bie_tkfe;TR 52 (Konya, Karaman) (Archive);AYLIK
TR 61 (Antalya, Burdur, Isparta) (ArŸiv);01-01-2019;01-01-2010;last;TP.12TR61;bie_tkfe;TR 61 (Antalya, Burdur, Isparta) (Archive);AYLIK
TR 62 (Adana, Mersin) (ArŸiv);01-01-2019;01-01-2010;last;TP.13TR62;bie_tkfe;TR 62 (Adana, Mersin) (Archive);AYLIK
TR 63 (Hatay, KahramanmaraŸ, Osmaniye) (ArŸiv);01-01-2019;01-01-2010;last;TP.14TR63;bie_tkfe;TR 63 (Hatay, Kahramanmaras, Osmaniye) (Archive);AYLIK
TR 71 (NevŸehir, Ni§de, Aksaray, Krkkale, KrŸehir) (ArŸiv);01-01-2019;01-01-2010;last;TP.15TR71;bie_tkfe;TR 71 (Nevsehir, Nigde, Aksaray, Kirikkale, Kirsehir) (Archive);AYLIK
TR 72 (Kayseri, Sivas, Yozgat) (ArŸiv);01-01-2019;01-01-2010;last;TP.16TR72;bie_tkfe;TR 72 (Kayseri, Sivas, Yozgat) (Archive);AYLIK
TR 81 (Zonguldak, Bartn, Karabk) (ArŸiv);01-01-2019;01-01-2010;last;TP.17TR81;bie_tkfe;TR 81 (Zonguldak, Bartin, Karabuk) (Archive);AYLIK
TR 82 (€ankr, Kastamonu, Sinop) (ArŸiv);01-01-2019;01-01-2010;last;TP.18TR82;bie_tkfe;TR 82 (Cankiri, Kastamonu, Sinop) (Archive);AYLIK
TR 83 (Samsun, €orum, Amasya, Tokat) (ArŸiv);01-01-2019;01-01-2010;last;TP.19TR83;bie_tkfe;TR 83 (Samsun, Corum, Amasya, Tokat) (Archive);AYLIK
TR 90 (Artvin, Giresun, GmŸhane, Ordu, Rize, Trabzon) (ArŸiv);01-01-2019;01-01-2010;last;TP.20TR90;bie_tkfe;TR 90 (Artvin, Giresun, Gumushane, Ordu, Rize, Trabzon) (Archive);AYLIK
TR A1 (Erzurum, Erzincan, Bayburt) (ArŸiv);01-01-2019;01-01-2010;last;TP.21TRA1;bie_tkfe;TR A1 (Erzurum, Erzincan, Bayburt) (Archive);AYLIK
TR A2 (A§r, Ardahan, Kars, I§dr) (ArŸiv);01-01-2019;01-01-2010;last;TP.22TRA2;bie_tkfe;TR A2 (Agri, Ardahan, Kars, Igdir) (Archive);AYLIK
TR B1 (Bingol, Elaz§, Malatya, Tunceli) (ArŸiv);01-01-2019;01-01-2010;last;TP.23TRB1;bie_tkfe;TR B1 (Bingol, Elazig, Malatya, Tunceli) (Archive);AYLIK
TR B2 (Van, Bitlis, Hakkari, MuŸ) (ArŸiv);01-01-2019;01-01-2010;last;TP.24TRB2;bie_tkfe;TR B2 (Van, Bitlis, Hakkari, Mus) (Archive);AYLIK
