;Tarih;TP_FG_J043
0;2003-1;97.15
1;2003-2;97.47
2;2003-3;97.8
3;2003-4;98.37
4;2003-5;99.15
5;2003-6;99.88
6;2003-7;100.51
7;2003-8;101.02
8;2003-9;101.66
9;2003-10;102.01
10;2003-11;102.41
11;2003-12;102.58
12;2004-1;102.83
13;2004-2;103.32
14;2004-3;103.22
15;2004-4;103.21
16;2004-5;103.59
17;2004-6;104.48
18;2004-7;105.63
19;2004-8;106.9
20;2004-9;108.11
21;2004-10;109.52
22;2004-11;110.57
23;2004-12;111.32
24;2005-1;112.68
25;2005-2;114.02
26;2005-3;114.83
27;2005-4;115.3
28;2005-5;115.47
29;2005-6;115.94
30;2005-7;116.29
31;2005-8;116.19
32;2005-9;116.18
33;2005-10;116.18
34;2005-11;116.47
35;2005-12;116.97
36;2006-1;117.36
37;2006-2;117.83
38;2006-3;117.34
39;2006-4;117.6
40;2006-5;119.11
41;2006-6;123.4
42;2006-7;126.46
43;2006-8;127.53
44;2006-9;128.22
45;2006-10;128.72
46;2006-11;128.98
47;2006-12;129.47
48;2007-1;129.5
49;2007-2;129.81
50;2007-3;130.1
51;2007-4;130.57
52;2007-5;130.7
53;2007-6;130.75
54;2007-7;131.12
55;2007-8;131.84
56;2007-9;132.65
57;2007-10;133.12
58;2007-11;133.65
59;2007-12;134.02
60;2008-1;134.1
61;2008-2;134.79
62;2008-3;135.48
63;2008-4;136.65
64;2008-5;138.38
65;2008-6;139.93
66;2008-7;141.93
67;2008-8;143.49
68;2008-9;144.25
69;2008-10;145.08
70;2008-11;146.2
71;2008-12;147.36
72;2009-1;147.73
73;2009-2;148.24
74;2009-3;148.7
75;2009-4;149.06
76;2009-5;149.12
77;2009-6;149.39
78;2009-7;149.6
79;2009-8;150.04
80;2009-9;150.37
81;2009-10;150.87
82;2009-11;151.25
83;2009-12;151.5
84;2010-1;151.69
85;2010-2;152.11
86;2010-3;152.5
87;2010-4;152.75
88;2010-5;152.94
89;2010-6;153.2
90;2010-7;153.34
91;2010-8;153.6
92;2010-9;154.06
93;2010-10;154.5
94;2010-11;155.09
95;2010-12;155.55
96;2011-1;156.24
97;2011-2;157.05
98;2011-3;157.94
99;2011-4;158.71
100;2011-5;159.52
101;2011-6;159.98
102;2011-7;160.56
103;2011-8;161.35
104;2011-9;162.49
105;2011-10;163.65
106;2011-11;164.51
107;2011-12;165.67
108;2012-1;166.65
109;2012-2;168.37
110;2012-3;169.56
111;2012-4;171.37
112;2012-5;172.57
113;2012-6;173.36
114;2012-7;173.86
115;2012-8;174.52
116;2012-9;175.04
117;2012-10;175.76
118;2012-11;176.41
119;2012-12;177.1
120;2013-1;177.94
121;2013-2;179.53
122;2013-3;180.99
123;2013-4;181.51
124;2013-5;182.05
125;2013-6;182.56
126;2013-7;183.58
127;2013-8;184.51
128;2013-9;185.98
129;2013-10;187.21
130;2013-11;188.19
131;2013-12;188.49
132;2014-1;190.59
133;2014-2;194.51
134;2014-3;197.0
135;2014-4;198.18
136;2014-5;199.89
137;2014-6;200.86
138;2014-7;201.75
139;2014-8;202.54
140;2014-9;203.36
141;2014-10;204.35
142;2014-11;205.25
143;2014-12;205.99
144;2015-1;207.38
145;2015-2;208.96
146;2015-3;210.83
147;2015-4;212.54
148;2015-5;214.09
149;2015-6;215.26
150;2015-7;216.64
151;2015-8;217.69
152;2015-9;219.86
153;2015-10;221.89
154;2015-11;223.21
155;2015-12;224.72
156;2016-1;226.47
157;2016-2;228.15
158;2016-3;229.56
159;2016-4;231.54
160;2016-5;233.28
161;2016-6;234.72
162;2016-7;235.55
163;2016-8;236.76
164;2016-9;237.76
165;2016-10;238.7
166;2016-11;240.28
167;2016-12;245.33
168;2017-1;251.2
169;2017-2;258.53
170;2017-3;262.75
171;2017-4;265.55
172;2017-5;267.67
173;2017-6;269.55
174;2017-7;271.87
175;2017-8;274.5
176;2017-9;277.24
177;2017-10;281.23
178;2017-11;287.89
179;2017-12;294.38
180;2018-1;302.07
181;2018-2;308.66
182;2018-3;311.93
183;2018-4;317.77
184;2018-5;325.46
185;2018-6;335.04
186;2018-7;341.6
187;2018-8;357.88
188;2018-9;408.66
189;2018-10;430.03
190;2018-11;434.86
191;2018-12;436.82
192;2019-1;438.43
193;2019-2;438.95
194;2019-3;438.76
195;2019-4;441.17
196;2019-5;447.19
197;2019-6;450.76
198;2019-7;453.17
199;2019-8;456.02
200;2019-9;457.97
201;2019-10;460.74
202;2019-11;462.03
203;2019-12;463.24
204;2020-1;464.17
205;2020-2;465.16
206;2020-3;467.08
207;2020-4;469.88
208;2020-5;471.91
209;2020-6;476.69
210;2020-7;481.76
211;2020-8;490.32
212;2020-9;506.63
213;2020-10;523.54
214;2020-11;545.85
215;2020-12;556.66
216;2021-1;566.53
217;2021-2;574.65
218;2021-3;589.09
219;2021-4;616.64
220;2021-5;630.41
221;2021-6;669.06
222;2021-7;698.29
223;2021-8;716.74
224;2021-9;735.41
225;2021-10;762.78
226;2021-11;832.49
227;2021-12;990.06
228;2022-1;1102.5
229;2022-2;1161.97
230;2022-3;1216.25
231;2022-4;1282.31
232;2022-5;1320.39
233;2022-6;1363.7
234;2022-7;1384.45
235;2022-8;1400.12
236;2022-9;1424.56
237;2022-10;1444.05
238;2022-11;1461.67
239;2022-12;1476.77
240;2023-1;1516.42
241;2023-2;1537.71
242;2023-3;1561.11
243;2023-4;1583.73
244;2023-5;1614.49
245;2023-6;1666.59
246;2023-7;1829.26
247;2023-8;1945.74
248;2023-9;2002.54
249;2023-10;2059.57
250;2023-11;2095.5
251;2023-12;2155.2
252;2024-1;2255.75
