;Tarih;YEARWEEK;TP_BS02_NOMINAL
0;30-12-2011;2011-52;16556.6
1;06-01-2012;2012-1;16441.4
2;13-01-2012;2012-2;16444.8
3;20-01-2012;2012-3;16548.0
4;27-01-2012;2012-4;16188.8
5;03-02-2012;2012-5;16381.1
6;10-02-2012;2012-6;16562.2
7;17-02-2012;2012-7;16883.7
8;24-02-2012;2012-8;17227.8
9;02-03-2012;2012-9;17100.7
10;09-03-2012;2012-10;17030.4
11;16-03-2012;2012-11;17063.6
12;23-03-2012;2012-12;17005.2
13;30-03-2012;2012-13;17342.3
14;06-04-2012;2012-14;17123.8
15;13-04-2012;2012-15;17217.0
16;20-04-2012;2012-16;17401.3
17;27-04-2012;2012-17;17573.5
18;04-05-2012;2012-18;17440.8
19;11-05-2012;2012-19;17233.1
20;18-05-2012;2012-20;17530.1
21;25-05-2012;2012-21;17684.8
22;01-06-2012;2012-22;17757.9
23;08-06-2012;2012-23;17644.7
24;15-06-2012;2012-24;17719.5
25;22-06-2012;2012-25;17882.0
26;29-06-2012;2012-26;17964.8
27;06-07-2012;2012-27;17062.2
28;13-07-2012;2012-28;16797.3
29;20-07-2012;2012-29;16927.1
30;27-07-2012;2012-30;15966.2
31;03-08-2012;2012-31;15516.1
32;10-08-2012;2012-32;16039.5
33;17-08-2012;2012-33;16739.9
34;24-08-2012;2012-34;16025.7
35;31-08-2012;2012-35;16103.5
36;07-09-2012;2012-36;15740.1
37;14-09-2012;2012-37;15742.2
38;21-09-2012;2012-38;15872.6
39;28-09-2012;2012-39;16535.8
40;05-10-2012;2012-40;16323.9
41;12-10-2012;2012-41;15790.0
42;19-10-2012;2012-42;15575.0
43;26-10-2012;2012-43;15408.0
44;02-11-2012;2012-44;15627.7
45;09-11-2012;2012-45;15511.8
46;16-11-2012;2012-46;15482.4
47;23-11-2012;2012-47;15659.8
48;30-11-2012;2012-48;15800.0
49;07-12-2012;2012-49;15855.6
50;14-12-2012;2012-50;16626.1
51;21-12-2012;2012-51;16346.1
52;28-12-2012;2012-52;15885.4
53;04-01-2013;2013-1;16008.4
54;11-01-2013;2013-2;16226.5
55;18-01-2013;2013-3;15840.6
56;25-01-2013;2013-4;15922.95
57;01-02-2013;2013-5;16101.55
58;08-02-2013;2013-6;16181.53
59;15-02-2013;2013-7;16131.35
60;22-02-2013;2013-8;16155.21
61;01-03-2013;2013-9;16184.08
62;08-03-2013;2013-10;16174.04
63;15-03-2013;2013-11;16083.0
64;22-03-2013;2013-12;16109.57
65;29-03-2013;2013-13;16443.34
66;05-04-2013;2013-14;16320.65
67;12-04-2013;2013-15;16298.19
68;19-04-2013;2013-16;16507.41
69;26-04-2013;2013-17;16403.77
