;Tarih;TP_TUFE1YI_T83
0;2017-1;104.66
1;2017-2;105.49
2;2017-3;106.83
3;2017-4;108.3
4;2017-5;107.72
5;2017-6;106.6
6;2017-7;109.92
7;2017-8;111.65
8;2017-9;113.3
9;2017-10;117.39
10;2017-11;124.08
11;2017-12;124.99
12;2018-1;127.53
13;2018-2;130.82
14;2018-3;132.86
15;2018-4;136.54
16;2018-5;142.54
17;2018-6;148.67
18;2018-7;150.47
19;2018-8;165.61
20;2018-9;185.86
21;2018-10;181.73
22;2018-11;171.06
23;2018-12;168.95
24;2019-1;172.3
25;2019-2;166.73
26;2019-3;174.98
27;2019-4;179.79
28;2019-5;183.79
29;2019-6;180.16
30;2019-7;179.01
31;2019-8;178.11
32;2019-9;178.71
33;2019-10;175.47
34;2019-11;173.38
35;2019-12;174.48
36;2020-1;175.22
37;2020-2;181.06
38;2020-3;185.74
39;2020-4;195.3
40;2020-5;194.83
41;2020-6;191.89
42;2020-7;195.19
43;2020-8;204.06
44;2020-9;216.11
45;2020-10;229.02
46;2020-11;243.36
47;2020-12;244.48
48;2021-1;245.12
49;2021-2;246.25
50;2021-3;267.42
51;2021-4;301.33
52;2021-5;311.48
53;2021-6;333.98
54;2021-7;351.55
55;2021-8;358.72
56;2021-9;376.89
57;2021-10;401.27
58;2021-11;439.03
59;2021-12;537.43
60;2022-1;557.25
61;2022-2;567.99
62;2022-3;623.17
63;2022-4;657.73
64;2022-5;656.64
65;2022-6;683.72
66;2022-7;672.96
67;2022-8;658.78
68;2022-9;656.57
69;2022-10;662.79
70;2022-11;660.63
71;2022-12;684.77
72;2023-1;708.64
73;2023-2;730.99
74;2023-3;778.78
75;2023-4;767.08
76;2023-5;786.42
77;2023-6;893.2
78;2023-7;999.24
79;2023-8;976.7
80;2023-9;952.92
81;2023-10;1001.89
82;2023-11;1015.48
83;2023-12;1047.04
84;2024-1;1100.45
