;Tarih;TP_FG_J061
0;2003-1;99.72
1;2003-2;99.75
2;2003-3;99.76
3;2003-4;101.88
4;2003-5;101.91
5;2003-6;101.98
6;2003-7;102.02
7;2003-8;102.09
8;2003-9;102.31
9;2003-10;98.67
10;2003-11;94.95
11;2003-12;94.97
12;2004-1;95.07
13;2004-2;95.53
14;2004-3;88.44
15;2004-4;88.9
16;2004-5;89.53
17;2004-6;89.45
18;2004-7;89.24
19;2004-8;95.52
20;2004-9;95.55
21;2004-10;95.63
22;2004-11;96.26
23;2004-12;96.3
24;2005-1;96.15
25;2005-2;95.56
26;2005-3;96.21
27;2005-4;96.2
28;2005-5;96.16
29;2005-6;96.03
30;2005-7;92.25
31;2005-8;88.41
32;2005-9;88.38
33;2005-10;88.37
34;2005-11;88.33
35;2005-12;88.46
36;2006-1;88.35
37;2006-2;88.47
38;2006-3;88.38
39;2006-4;88.44
40;2006-5;88.47
41;2006-6;88.52
42;2006-7;84.94
43;2006-8;88.19
44;2006-9;91.48
45;2006-10;91.51
46;2006-11;91.61
47;2006-12;91.61
48;2007-1;91.59
49;2007-2;91.57
50;2007-3;91.6
51;2007-4;91.58
52;2007-5;91.58
53;2007-6;91.58
54;2007-7;91.57
55;2007-8;91.59
56;2007-9;91.57
57;2007-10;91.61
58;2007-11;89.75
59;2007-12;87.71
60;2008-1;87.7
61;2008-2;87.68
62;2008-3;87.72
63;2008-4;87.76
64;2008-5;87.86
65;2008-6;88.06
66;2008-7;88.26
67;2008-8;91.84
68;2008-9;91.84
69;2008-10;91.88
70;2008-11;91.96
71;2008-12;92.04
72;2009-1;92.12
73;2009-2;92.16
74;2009-3;92.16
75;2009-4;97.41
76;2009-5;97.82
77;2009-6;97.82
78;2009-7;97.9
79;2009-8;97.87
80;2009-9;97.9
81;2009-10;97.92
82;2009-11;97.95
83;2009-12;96.79
84;2010-1;96.11
85;2010-2;95.44
86;2010-3;95.47
87;2010-4;95.61
88;2010-5;95.55
89;2010-6;95.56
90;2010-7;96.13
91;2010-8;94.31
92;2010-9;94.66
93;2010-10;94.94
94;2010-11;94.91
95;2010-12;94.94
96;2011-1;94.84
97;2011-2;94.85
98;2011-3;95.01
99;2011-4;95.18
100;2011-5;95.38
101;2011-6;95.37
102;2011-7;93.42
103;2011-8;93.4
104;2011-9;93.45
105;2011-10;93.48
106;2011-11;93.7
107;2011-12;93.55
108;2012-1;93.12
109;2012-2;94.43
110;2012-3;95.03
111;2012-4;96.19
112;2012-5;96.31
113;2012-6;96.33
114;2012-7;96.34
115;2012-8;95.54
116;2012-9;95.57
117;2012-10;95.6
118;2012-11;95.39
119;2012-12;95.39
120;2013-1;95.5
121;2013-2;95.46
122;2013-3;95.44
123;2013-4;95.4
124;2013-5;95.4
125;2013-6;95.25
126;2013-7;96.04
127;2013-8;96.6
128;2013-9;96.82
129;2013-10;97.18
130;2013-11;97.23
131;2013-12;97.28
132;2014-1;97.44
133;2014-2;97.8
134;2014-3;97.8
135;2014-4;98.27
136;2014-5;99.74
137;2014-6;102.06
138;2014-7;102.35
139;2014-8;102.5
140;2014-9;102.64
141;2014-10;102.75
142;2014-11;102.67
143;2014-12;102.68
144;2015-1;102.92
145;2015-2;103.86
146;2015-3;104.84
147;2015-4;105.05
148;2015-5;105.04
149;2015-6;106.24
150;2015-7;106.38
151;2015-8;106.82
152;2015-9;109.46
153;2015-10;109.56
154;2015-11;109.62
155;2015-12;109.56
156;2016-1;109.97
157;2016-2;113.23
158;2016-3;116.73
159;2016-4;117.47
160;2016-5;117.74
161;2016-6;120.0
162;2016-7;123.22
163;2016-8;123.32
164;2016-9;123.5
165;2016-10;123.55
166;2016-11;123.47
167;2016-12;125.16
168;2017-1;126.41
169;2017-2;131.96
170;2017-3;137.22
171;2017-4;137.99
172;2017-5;138.38
173;2017-6;138.32
174;2017-7;138.33
175;2017-8;138.55
176;2017-9;139.03
177;2017-10;139.06
178;2017-11;139.17
179;2017-12;138.75
180;2018-1;139.4
181;2018-2;146.24
182;2018-3;153.76
183;2018-4;154.39
184;2018-5;154.78
185;2018-6;157.0
186;2018-7;157.72
187;2018-8;159.03
188;2018-9;162.61
189;2018-10;165.08
190;2018-11;166.54
191;2018-12;168.07
192;2019-1;169.03
193;2019-2;178.98
194;2019-3;196.59
195;2019-4;196.62
196;2019-5;197.0
197;2019-6;197.33
198;2019-7;197.62
199;2019-8;198.46
200;2019-9;198.53
201;2019-10;198.99
202;2019-11;199.4
203;2019-12;199.68
204;2020-1;199.96
205;2020-2;205.64
206;2020-3;216.81
207;2020-4;218.67
208;2020-5;218.68
209;2020-6;219.15
210;2020-7;220.07
211;2020-8;220.76
212;2020-9;221.61
213;2020-10;222.61
214;2020-11;224.57
215;2020-12;226.78
216;2021-1;228.49
217;2021-2;240.17
218;2021-3;261.13
219;2021-4;262.23
220;2021-5;262.64
221;2021-6;263.55
222;2021-7;263.45
223;2021-8;263.61
224;2021-9;263.99
225;2021-10;265.54
226;2021-11;267.09
227;2021-12;277.49
228;2022-1;289.83
229;2022-2;327.84
230;2022-3;368.03
231;2022-4;368.87
232;2022-5;371.71
233;2022-6;375.0
234;2022-7;428.01
235;2022-8;483.03
236;2022-9;487.11
237;2022-10;490.93
238;2022-11;493.35
239;2022-12;561.55
240;2023-1;643.34
241;2023-2;650.74
242;2023-3;678.54
243;2023-4;706.48
244;2023-5;711.5
245;2023-6;714.52
246;2023-7;808.55
247;2023-8;902.87
248;2023-9;917.52
249;2023-10;929.18
250;2023-11;935.4
251;2023-12;1034.07
252;2024-1;1154.69
