;Tarih;TP_TUFE1YI_T19
0;1994-1;0.9595183608
1;1994-2;0.9967210113
2;1994-3;1.0370238827
3;1994-4;1.3764980685
4;1994-5;1.6245157385
5;1994-6;1.5857629776
6;1994-7;1.5811126463
7;1994-8;1.6152150759
8;1994-9;1.6989210395
9;1994-10;1.898885286
10;1994-11;2.0166936793
11;1994-12;2.210457484
12;1995-1;2.3251656563
13;1995-2;2.40887162
14;1995-3;2.5282301237
15;1995-4;2.756096358
16;1995-5;2.8739047512
17;1995-6;2.929708727
18;1995-7;3.1482742987
19;1995-8;3.4427952818
20;1995-9;3.5156504724
21;1995-10;3.6598107431
22;1995-11;3.6567105222
23;1995-12;3.6846125101
24;1996-1;3.9264297384
25;1996-2;3.9744831619
26;1996-3;4.1031423283
27;1996-4;4.2628037033
28;1996-5;4.4348659619
29;1996-6;4.6317299875
30;1996-7;4.7030350676
31;1996-8;4.8549458905
32;1996-9;5.0874624561
33;1996-10;5.2610748251
34;1996-11;5.3571816723
35;1996-12;5.6238006675
36;1997-1;5.6718540911
37;1997-2;5.9741256264
38;1997-3;6.5755684762
39;1997-4;6.7584815078
40;1997-5;7.3862762351
41;1997-6;7.6559954512
42;1997-7;7.8683605812
43;1997-8;9.0061416423
44;1997-9;10.4229425823
45;1997-10;11.0708887452
46;1997-11;11.3979620475
47;1997-12;11.7901399883
48;1998-1;12.0180062226
49;1998-2;12.9620234791
50;1998-3;13.5185131262
51;1998-4;13.7649806857
52;1998-5;14.3896751921
53;1998-6;14.7663520284
54;1998-7;15.3476434425
55;1998-8;15.5150553698
56;1998-9;16.0157410411
57;1998-10;16.7442929468
58;1998-11;17.6170051232
59;1998-12;18.0153835056
60;1999-1;18.4153119985
61;1999-2;18.4153119985
62;1999-3;18.5129689561
63;1999-4;19.160915119
64;1999-5;21.2783659767
65;1999-6;22.3944454918
66;1999-7;23.1508993854
67;1999-8;23.6748367133
68;1999-9;24.0484133287
69;1999-10;24.959878266
70;1999-11;27.3547988921
71;1999-12;28.2166602954
72;2000-1;29.4489980933
73;2000-2;30.4844718656
74;2000-3;31.1029659302
75;2000-4;31.8888719221
76;2000-5;32.126038819
77;2000-6;32.437611017
78;2000-7;33.0607554129
79;2000-8;33.4110803718
80;2000-9;36.9918354826
81;2000-10;39.0906850151
82;2000-11;40.0734550325
83;2000-12;40.1060073517
84;2001-1;40.3369738069
85;2001-2;39.2162439605
86;2001-3;40.7012497598
87;2001-4;44.5129713258
88;2001-5;48.5897617766
89;2001-6;48.8005767962
90;2001-7;50.0267141523
91;2001-8;52.0217062855
92;2001-9;53.9763955473
93;2001-10;60.6790730794
94;2001-11;64.6969593336
95;2001-12;66.1230609362
96;2002-1;68.0901510815
97;2002-2;68.9024089508
98;2002-3;69.7828716794
99;2002-4;72.9357963094
100;2002-5;73.8736131242
101;2002-6;74.2068868683
102;2002-7;74.0208736157
103;2002-8;78.7115077999
104;2002-9;80.9204151735
105;2002-10;83.6811618628
106;2002-11;86.5457659515
107;2002-12;88.5903616187
108;2003-1;91.1263422946
109;2003-2;91.8017002847
110;2003-3;90.5749198058
111;2003-4;89.293753416
112;2003-5;91.4439966702
113;2003-6;88.7785381779
114;2003-7;92.2821004577
