;Tarih;TP_BEK_S01_A_M
0;2013-1;0.8
1;2013-2;0.51
2;2013-3;0.5
3;2013-4;0.65
4;2013-5;0.49
5;2013-6;0.05
6;2013-7;0.1
7;2013-8;0.3
8;2013-9;0.7
9;2013-10;1.0
10;2013-11;0.56
11;2013-12;0.45
12;2014-1;1.1
13;2014-2;0.6
14;2014-3;0.67
15;2014-4;0.75
16;2014-5;0.6
17;2014-6;0.27
18;2014-7;0.1
19;2014-8;0.2
20;2014-9;0.52
21;2014-10;1.5
22;2014-11;0.5
23;2014-12;0.3
24;2015-1;0.75
25;2015-2;0.5
26;2015-3;0.7
27;2015-4;0.8
28;2015-5;0.5
29;2015-6;0.2
30;2015-7;0.1
31;2015-8;0.15
32;2015-9;0.55
33;2015-10;1.3
34;2015-11;0.45
35;2015-12;0.1
36;2016-1;1.23
37;2016-2;0.65
38;2016-3;0.76
39;2016-4;0.9
40;2016-5;0.6
41;2016-6;0.15
42;2016-7;0.2
43;2016-8;0.35
44;2016-9;0.8
45;2016-10;1.43
46;2016-11;0.88
47;2016-12;0.75
48;2017-1;1.5
49;2017-2;0.6
50;2017-3;0.72
51;2017-4;1.0
52;2017-5;0.6
53;2017-6;0.15
54;2017-7;0.2
55;2017-8;0.2
56;2017-9;0.55
57;2017-10;1.35
58;2017-11;0.75
59;2017-12;0.5
60;2018-1;1.3
61;2018-2;0.62
62;2018-3;0.81
63;2018-4;1.2
64;2018-5;0.95
65;2018-6;0.7
66;2018-7;0.8
67;2018-8;1.05
68;2018-9;2.0
69;2018-10;2.0
70;2018-11;1.0
71;2018-12;0.5
72;2019-1;1.1
73;2019-2;0.8
74;2019-3;0.91
75;2019-4;1.5
76;2019-5;1.4
77;2019-6;1.0
78;2019-7;1.05
79;2019-8;1.2
80;2019-9;1.46
81;2019-10;1.9
82;2019-11;0.8
83;2019-12;0.5
84;2020-1;1.1
85;2020-2;0.73
86;2020-3;0.8
87;2020-4;1.0
88;2020-5;0.75
89;2020-6;0.5
90;2020-7;0.5
91;2020-8;0.7
92;2020-9;1.0
93;2020-10;1.65
94;2020-11;1.0
95;2020-12;0.81
96;2021-1;1.3
97;2021-2;0.72
98;2021-3;0.9
99;2021-4;1.47
100;2021-5;1.23
101;2021-6;1.16
102;2021-7;1.2
103;2021-8;0.98
104;2021-9;1.0
105;2021-10;2.0
106;2021-11;1.83
107;2021-12;3.1
108;2022-1;6.5
109;2022-2;4.0
110;2022-3;4.0
111;2022-4;4.2
112;2022-5;4.0
113;2022-6;3.18
114;2022-7;3.5
115;2022-8;2.61
116;2022-9;3.1
117;2022-10;3.35
118;2022-11;3.28
119;2022-12;2.68
120;2023-1;2.75
121;2023-2;3.0
122;2023-3;2.95
123;2023-4;2.63
124;2023-5;2.5
125;2023-6;2.7
126;2023-7;3.75
127;2023-8;5.64
128;2023-9;4.8
129;2023-10;4.26
130;2023-11;4.0
131;2023-12;3.15
132;2024-1;5.5
