;Tarih;TP_UR_K05
0;1968;4869.0
1;1969;5306.0
2;1970;5820.0
3;1971;7043.0
4;1972;8210.0
5;1973;10072.0
6;1974;13321.0
7;1975;16820.0
8;1976;20945.0
9;1977;26252.0
10;1978;38283.0
11;1979;65486.0
12;1980;117706.0
13;1981;173496.0
14;1982;224730.0
15;1983;290528.0
16;1984;448281.0
17;1985;697640.0
18;1986;993124.0
19;1987;1421623.0
20;1988;2405743.0
21;1989;4141220.0
22;1990;6993580.0
23;1991;10995846.0
24;1992;18721735.0
25;1993;33313730.0
26;1994;63860757.0
27;1995;125923952.0
28;1996;235611117.0
29;1997;461522054.0
30;1998;822976986.0
31;1999;1203124428.0
32;2000;1846747873.0
33;2001;2600082172.0
34;2002;3986643746.0
35;2003;5087720980.0
36;2004;5996900319.0
37;2005;6760596160.0
38;2006;7897637938.0
