;Tarih;TP_FG_J054
0;2003-1;95.9
1;2003-2;96.79
2;2003-3;97.64
3;2003-4;98.13
4;2003-5;98.89
5;2003-6;99.69
6;2003-7;100.57
7;2003-8;101.15
8;2003-9;101.68
9;2003-10;102.39
10;2003-11;103.18
11;2003-12;104.0
12;2004-1;105.91
13;2004-2;107.29
14;2004-3;108.55
15;2004-4;109.37
16;2004-5;110.49
17;2004-6;111.76
18;2004-7;112.72
19;2004-8;113.29
20;2004-9;114.08
21;2004-10;115.11
22;2004-11;115.73
23;2004-12;116.65
24;2005-1;117.43
25;2005-2;118.03
26;2005-3;117.94
27;2005-4;117.63
28;2005-5;117.59
29;2005-6;117.47
30;2005-7;117.34
31;2005-8;117.38
32;2005-9;117.26
33;2005-10;117.34
34;2005-11;117.42
35;2005-12;117.46
36;2006-1;117.72
37;2006-2;118.1
38;2006-3;118.64
39;2006-4;118.64
40;2006-5;119.42
41;2006-6;122.52
42;2006-7;125.51
43;2006-8;127.24
44;2006-9;128.33
45;2006-10;129.84
46;2006-11;131.05
47;2006-12;132.11
48;2007-1;132.76
49;2007-2;133.41
50;2007-3;133.94
51;2007-4;134.57
52;2007-5;135.31
53;2007-6;136.02
54;2007-7;136.5
55;2007-8;137.13
56;2007-9;137.69
57;2007-10;138.15
58;2007-11;138.78
59;2007-12;139.25
60;2008-1;139.81
61;2008-2;140.73
62;2008-3;141.24
63;2008-4;142.29
64;2008-5;143.67
65;2008-6;144.74
66;2008-7;145.51
67;2008-8;146.16
68;2008-9;146.73
69;2008-10;147.87
70;2008-11;149.24
71;2008-12;150.04
72;2009-1;150.6
73;2009-2;150.98
74;2009-3;151.5
75;2009-4;152.25
76;2009-5;152.63
77;2009-6;153.18
78;2009-7;153.3
79;2009-8;154.02
80;2009-9;154.5
81;2009-10;155.45
82;2009-11;156.31
83;2009-12;156.88
84;2010-1;157.12
85;2010-2;157.74
86;2010-3;158.35
87;2010-4;158.6
88;2010-5;158.88
89;2010-6;159.55
90;2010-7;160.55
91;2010-8;161.06
92;2010-9;161.61
93;2010-10;162.31
94;2010-11;162.8
95;2010-12;163.1
96;2011-1;163.45
97;2011-2;163.82
98;2011-3;164.71
99;2011-4;164.98
100;2011-5;165.15
101;2011-6;165.44
102;2011-7;165.63
103;2011-8;165.8
104;2011-9;166.94
105;2011-10;168.72
106;2011-11;170.04
107;2011-12;171.12
108;2012-1;172.5
109;2012-2;173.0
110;2012-3;173.83
111;2012-4;174.31
112;2012-5;174.81
113;2012-6;175.66
114;2012-7;176.07
115;2012-8;176.25
116;2012-9;177.1
117;2012-10;178.04
118;2012-11;178.56
119;2012-12;179.29
120;2013-1;179.48
121;2013-2;180.65
122;2013-3;181.6
123;2013-4;182.61
