;Tarih;TP_FG_J101
0;2003-1;92.34
1;2003-2;92.34
2;2003-3;92.34
3;2003-4;92.34
4;2003-5;92.34
5;2003-6;92.65
6;2003-7;92.65
7;2003-8;105.48
8;2003-9;111.86
9;2003-10;111.89
10;2003-11;111.89
11;2003-12;111.89
12;2004-1;111.89
13;2004-2;111.89
14;2004-3;111.89
15;2004-4;111.89
16;2004-5;111.89
17;2004-6;111.89
18;2004-7;111.89
19;2004-8;127.56
20;2004-9;133.24
21;2004-10;133.34
22;2004-11;133.13
23;2004-12;133.13
24;2005-1;133.37
25;2005-2;132.86
26;2005-3;132.93
27;2005-4;132.83
28;2005-5;132.82
29;2005-6;140.03
30;2005-7;141.87
31;2005-8;142.69
32;2005-9;143.74
33;2005-10;144.16
34;2005-11;144.15
35;2005-12;144.12
36;2006-1;144.16
37;2006-2;143.96
38;2006-3;143.94
39;2006-4;143.96
40;2006-5;144.86
41;2006-6;150.81
42;2006-7;151.95
43;2006-8;152.41
44;2006-9;154.99
45;2006-10;155.53
46;2006-11;155.6
47;2006-12;155.61
48;2007-1;155.63
49;2007-2;155.68
50;2007-3;155.68
51;2007-4;155.72
52;2007-5;158.0
53;2007-6;163.22
54;2007-7;165.87
55;2007-8;167.06
56;2007-9;171.09
57;2007-10;167.42
58;2007-11;166.82
59;2007-12;166.52
60;2008-1;166.53
61;2008-2;166.19
62;2008-3;165.93
63;2008-4;166.02
64;2008-5;167.76
65;2008-6;174.68
66;2008-7;176.53
67;2008-8;178.02
68;2008-9;189.49
69;2008-10;189.52
70;2008-11;189.69
71;2008-12;189.7
72;2009-1;189.69
73;2009-2;189.71
74;2009-3;189.73
75;2009-4;189.9
76;2009-5;191.12
77;2009-6;196.37
78;2009-7;198.68
79;2009-8;199.36
80;2009-9;205.62
81;2009-10;205.9
82;2009-11;206.04
83;2009-12;206.17
84;2010-1;206.19
85;2010-2;206.19
86;2010-3;206.19
87;2010-4;206.18
88;2010-5;209.16
89;2010-6;213.96
90;2010-7;216.68
91;2010-8;217.46
92;2010-9;218.42
93;2010-10;217.77
94;2010-11;216.05
95;2010-12;215.89
96;2011-1;215.85
97;2011-2;215.85
98;2011-3;215.85
99;2011-4;216.73
100;2011-5;222.03
101;2011-6;228.25
102;2011-7;231.92
103;2011-8;231.22
104;2011-9;229.6
105;2011-10;229.77
106;2011-11;230.29
107;2011-12;229.88
108;2012-1;229.02
109;2012-2;229.01
110;2012-3;229.0
111;2012-4;230.51
112;2012-5;236.82
113;2012-6;241.86
114;2012-7;247.04
115;2012-8;248.79
116;2012-9;253.07
117;2012-10;254.59
118;2012-11;254.68
119;2012-12;254.74
120;2013-1;254.64
121;2013-2;254.73
122;2013-3;253.28
123;2013-4;255.21
124;2013-5;260.01
125;2013-6;266.99
126;2013-7;270.55
127;2013-8;272.79
128;2013-9;280.98
129;2013-10;282.73
130;2013-11;282.71
131;2013-12;282.71
132;2014-1;282.7
133;2014-2;282.93
134;2014-3;282.63
135;2014-4;288.32
136;2014-5;292.18
137;2014-6;298.28
138;2014-7;300.52
139;2014-8;302.55
140;2014-9;305.96
141;2014-10;307.21
142;2014-11;307.63
143;2014-12;307.84
144;2015-1;307.8
145;2015-2;307.71
146;2015-3;309.01
147;2015-4;314.22
148;2015-5;317.06
149;2015-6;321.41
150;2015-7;323.52
151;2015-8;327.61
152;2015-9;333.26
153;2015-10;336.6
154;2015-11;337.1
155;2015-12;337.44
156;2016-1;337.43
157;2016-2;338.08
158;2016-3;340.95
159;2016-4;345.66
160;2016-5;350.26
161;2016-6;355.15
162;2016-7;357.88
163;2016-8;361.38
164;2016-9;377.93
165;2016-10;378.82
166;2016-11;378.84
167;2016-12;379.1
168;2017-1;379.39
169;2017-2;379.7
170;2017-3;385.36
171;2017-4;389.34
172;2017-5;394.65
173;2017-6;398.22
174;2017-7;404.17
175;2017-8;407.36
176;2017-9;423.48
177;2017-10;424.32
178;2017-11;424.39
179;2017-12;424.44
180;2018-1;424.81
181;2018-2;424.78
182;2018-3;431.86
183;2018-4;436.97
184;2018-5;442.84
185;2018-6;445.82
186;2018-7;452.22
187;2018-8;455.45
188;2018-9;468.5
189;2018-10;469.36
190;2018-11;469.35
191;2018-12;469.77
192;2019-1;469.59
193;2019-2;484.24
194;2019-3;495.66
195;2019-4;506.6
196;2019-5;516.07
197;2019-6;526.25
198;2019-7;532.53
199;2019-8;539.03
200;2019-9;542.21
201;2019-10;541.94
202;2019-11;541.94
203;2019-12;542.41
204;2020-1;548.13
205;2020-2;555.19
206;2020-3;562.11
207;2020-4;565.21
208;2020-5;568.46
209;2020-6;586.99
210;2020-7;602.61
211;2020-8;607.31
212;2020-9;586.6
213;2020-10;584.99
214;2020-11;583.1
215;2020-12;583.1
216;2021-1;582.65
217;2021-2;589.53
218;2021-3;614.25
219;2021-4;631.05
220;2021-5;637.72
221;2021-6;661.6
222;2021-7;676.29
223;2021-8;682.05
224;2021-9;686.65
225;2021-10;686.65
226;2021-11;686.65
227;2021-12;686.65
228;2022-1;692.69
229;2022-2;735.01
230;2022-3;804.62
231;2022-4;836.6
232;2022-5;838.29
233;2022-6;862.36
234;2022-7;864.27
235;2022-8;877.65
236;2022-9;892.49
237;2022-10;892.96
238;2022-11;892.96
239;2022-12;892.96
240;2023-1;940.08
241;2023-2;1030.3
242;2023-3;1130.69
243;2023-4;1175.77
244;2023-5;1246.85
245;2023-6;1285.5
246;2023-7;1310.64
247;2023-8;1333.52
248;2023-9;1353.36
249;2023-10;1354.59
250;2023-11;1354.59
251;2023-12;1354.59
252;2024-1;1401.62
