;Tarih;TP_BEK_S05_C_S
0;2013-1;0.0833
1;2013-2;0.0714
2;2013-3;0.0754
3;2013-4;0.0681
4;2013-5;0.0668
5;2013-6;0.0771
6;2013-7;0.0804
7;2013-8;0.0887
8;2013-9;0.1209
9;2013-10;0.0838
10;2013-11;0.0995
11;2013-12;0.0831
12;2014-1;0.1391
13;2014-2;0.1416
14;2014-3;0.1258
15;2014-4;0.1065
16;2014-5;0.1
17;2014-6;0.0954
18;2014-7;0.0898
19;2014-8;0.0952
20;2014-9;0.1219
21;2014-10;0.0907
22;2014-11;0.0888
23;2014-12;0.1074
24;2015-1;0.1197
25;2015-2;0.1267
26;2015-3;0.1467
27;2015-4;0.1416
28;2015-5;0.1364
29;2015-6;0.1158
30;2015-7;0.1121
31;2015-8;0.1206
32;2015-9;0.178
33;2015-10;0.1664
34;2015-11;0.135
35;2015-12;0.1242
36;2016-1;0.1566
37;2016-2;0.1559
38;2016-3;0.1463
39;2016-4;0.1467
40;2016-5;0.1327
41;2016-6;0.1568
42;2016-7;0.145
43;2016-8;0.1161
44;2016-9;0.1132
45;2016-10;0.1446
46;2016-11;0.1788
47;2016-12;0.1545
48;2017-1;0.2778
49;2017-2;0.248
50;2017-3;0.1826
51;2017-4;0.1948
52;2017-5;0.1916
53;2017-6;0.1642
54;2017-7;0.1657
55;2017-8;0.1355
56;2017-9;0.1465
57;2017-10;0.1446
58;2017-11;0.2231
59;2017-12;0.2014
60;2018-1;0.26
61;2018-2;0.21
62;2018-3;0.1857
63;2018-4;0.2541
64;2018-5;0.4278
65;2018-6;0.3248
66;2018-7;0.4159
67;2018-8;0.9846
68;2018-9;0.9716
69;2018-10;0.7713
70;2018-11;0.5829
71;2018-12;0.4072
72;2019-1;0.3791
73;2019-2;0.4603
74;2019-3;0.3991
75;2019-4;0.5333
76;2019-5;0.4881
77;2019-6;0.4141
78;2019-7;0.3114
79;2019-8;0.3191
80;2019-9;0.316
81;2019-10;0.2405
82;2019-11;0.2281
83;2019-12;0.1965
84;2020-1;0.1411
85;2020-2;0.1763
86;2020-3;0.2666
87;2020-4;0.5344
88;2020-5;0.4523
89;2020-6;0.3996
90;2020-7;0.3902
91;2020-8;0.4718
92;2020-9;0.4458
93;2020-10;0.3824
94;2020-11;0.5456
95;2020-12;0.4501
96;2021-1;0.4614
97;2021-2;0.4061
98;2021-3;0.4894
99;2021-4;0.5656
100;2021-5;0.5402
101;2021-6;0.5464
102;2021-7;0.5422
103;2021-8;0.5584
104;2021-9;0.4177
105;2021-10;0.4397
106;2021-11;0.644
107;2021-12;1.7642
108;2022-1;2.3061
109;2022-2;1.8382
110;2022-3;1.938
111;2022-4;1.7997
112;2022-5;2.2183
113;2022-6;3.0291
114;2022-7;3.0297
115;2022-8;3.0533
116;2022-9;2.6567
117;2022-10;2.478
118;2022-11;2.7907
119;2022-12;2.3425
120;2023-1;2.3923
121;2023-2;2.0497
122;2023-3;2.3878
123;2023-4;2.736
124;2023-5;3.0403
125;2023-6;3.246
126;2023-7;2.5725
127;2023-8;2.9361
128;2023-9;2.9647
129;2023-10;2.3924
130;2023-11;2.8622
131;2023-12;2.0956
132;2024-1;2.4529
