;Tarih;TP_UR_K01
0;1968;33585.0
1;1969;34442.0
2;1970;35321.0
3;1971;36215.0
4;1972;37132.0
5;1973;38072.0
6;1974;39036.0
7;1975;40078.0
8;1976;40915.0
9;1977;41768.0
10;1978;42640.0
11;1979;43530.0
12;1980;44438.0
13;1981;45540.0
14;1982;46688.0
15;1983;47864.0
16;1984;49070.0
17;1985;50306.0
18;1986;51433.0
19;1987;52561.0
20;1988;53715.0
21;1989;54893.0
22;1990;56203.0
23;1991;57305.0
24;1992;58401.0
25;1993;59491.0
26;1994;60576.0
27;1995;61644.0
28;1996;62697.0
29;1997;62480.0
30;1998;63459.0
31;1999;64345.0
32;2000;67461.0
33;2001;68618.0
34;2002;69626.0
35;2003;70712.0
36;2004;71789.0
37;2005;72065.0
38;2006;72974.0
