;Tarih;YEARWEEK;TP_BS13_CARI
0;30-12-2011;2011-52;38265.7
1;06-01-2012;2012-1;37471.3
2;13-01-2012;2012-2;37508.6
3;20-01-2012;2012-3;36535.5
4;27-01-2012;2012-4;38708.9
5;03-02-2012;2012-5;39313.1
6;10-02-2012;2012-6;39108.1
7;17-02-2012;2012-7;40775.2
8;24-02-2012;2012-8;41103.6
9;02-03-2012;2012-9;41270.4
10;09-03-2012;2012-10;41581.4
11;16-03-2012;2012-11;41345.1
12;23-03-2012;2012-12;40922.7
13;30-03-2012;2012-13;41163.8
14;06-04-2012;2012-14;41069.7
15;13-04-2012;2012-15;41346.1
16;20-04-2012;2012-16;41496.2
17;27-04-2012;2012-17;41884.7
18;04-05-2012;2012-18;42031.6
19;11-05-2012;2012-19;41615.0
20;18-05-2012;2012-20;41050.0
21;25-05-2012;2012-21;41050.1
22;01-06-2012;2012-22;40745.8
23;08-06-2012;2012-23;41522.8
24;15-06-2012;2012-24;42148.6
25;22-06-2012;2012-25;42564.5
26;29-06-2012;2012-26;43659.5
27;06-07-2012;2012-27;44149.3
28;13-07-2012;2012-28;44760.2
29;20-07-2012;2012-29;45423.8
30;27-07-2012;2012-30;45287.2
31;03-08-2012;2012-31;45891.2
32;10-08-2012;2012-32;45714.1
33;17-08-2012;2012-33;45632.6
34;24-08-2012;2012-34;45989.7
35;31-08-2012;2012-35;46278.7
36;07-09-2012;2012-36;46566.6
37;14-09-2012;2012-37;46318.6
38;21-09-2012;2012-38;45896.7
39;28-09-2012;2012-39;47329.6
40;05-10-2012;2012-40;47823.8
41;12-10-2012;2012-41;47894.3
42;19-10-2012;2012-42;47711.6
43;26-10-2012;2012-43;47515.8
44;02-11-2012;2012-44;47647.5
45;09-11-2012;2012-45;48619.1
46;16-11-2012;2012-46;48607.1
47;23-11-2012;2012-47;48772.2
48;30-11-2012;2012-48;49391.9
49;07-12-2012;2012-49;49158.9
50;14-12-2012;2012-50;50030.7
51;21-12-2012;2012-51;50080.3
52;28-12-2012;2012-52;50090.9
53;04-01-2013;2013-1;49951.1
54;11-01-2013;2013-2;51058.4
55;18-01-2013;2013-3;49623.2
56;25-01-2013;2013-4;49957.0
57;01-02-2013;2013-5;48816.95
58;08-02-2013;2013-6;48294.93
59;15-02-2013;2013-7;48383.88
60;22-02-2013;2013-8;47985.83
61;01-03-2013;2013-9;48501.05
62;08-03-2013;2013-10;48086.93
63;15-03-2013;2013-11;47832.88
64;22-03-2013;2013-12;47722.34
65;29-03-2013;2013-13;47527.75
66;05-04-2013;2013-14;48817.0
67;12-04-2013;2013-15;49112.52
68;19-04-2013;2013-16;50404.1
69;26-04-2013;2013-17;50565.07
70;03-05-2013;2013-18;51045.0
71;10-05-2013;2013-19;50893.88
72;17-05-2013;2013-20;50930.8
73;24-05-2013;2013-21;50243.4
74;31-05-2013;2013-22;49886.3
75;07-06-2013;2013-23;48308.8
76;14-06-2013;2013-24;48618.5
77;21-06-2013;2013-25;45647.7
78;28-06-2013;2013-26;46186.8
79;05-07-2013;2013-27;45914.8
80;12-07-2013;2013-28;45095.7
81;19-07-2013;2013-29;46669.2
82;26-07-2013;2013-30;45773.0
83;02-08-2013;2013-31;45241.3
84;09-08-2013;2013-32;45041.1
85;16-08-2013;2013-33;44419.5
86;23-08-2013;2013-34;43754.3
87;30-08-2013;2013-35;43396.1
88;06-09-2013;2013-36;43386.2
89;13-09-2013;2013-37;43972.0
90;20-09-2013;2013-38;45431.5
91;27-09-2013;2013-39;44854.4
92;04-10-2013;2013-40;44771.8
93;11-10-2013;2013-41;46283.5
94;18-10-2013;2013-42;46352.2
95;25-10-2013;2013-43;47003.1
96;01-11-2013;2013-44;46450.3
97;08-11-2013;2013-45;45636.1
98;15-11-2013;2013-46;45822.5
99;22-11-2013;2013-47;45631.3
100;29-11-2013;2013-48;45286.5
101;06-12-2013;2013-49;45032.4
102;13-12-2013;2013-50;45032.36
103;20-12-2013;2013-51;44557.6
104;27-12-2013;2013-52;44557.6
105;03-01-2014;2014-1;44040.6
106;10-01-2014;2014-2;44461.1
107;17-01-2014;2014-3;42855.5
108;24-01-2014;2014-4;42023.8
109;31-01-2014;2014-5;44602.8
110;07-02-2014;2014-6;45729.0
111;14-02-2014;2014-7;45688.0
112;21-02-2014;2014-8;47411.8
113;28-02-2014;2014-9;47668.7
114;07-03-2014;2014-10;47600.2
115;14-03-2014;2014-11;47064.2
116;21-03-2014;2014-12;46746.4
117;28-03-2014;2014-13;46755.1
118;04-04-2014;2014-14;48201.1
119;11-04-2014;2014-15;49001.2
120;18-04-2014;2014-16;49219.4
121;25-04-2014;2014-17;49368.1
122;02-05-2014;2014-18;50160.6
123;09-05-2014;2014-19;50737.8
124;16-05-2014;2014-20;50603.9
125;23-05-2014;2014-21;50788.4
126;30-05-2014;2014-22;50913.8
127;06-06-2014;2014-23;51072.1
128;13-06-2014;2014-24;50541.33
129;20-06-2014;2014-25;50182.9
130;27-06-2014;2014-26;50635.1
131;04-07-2014;2014-27;50429.6
132;11-07-2014;2014-28;50803.7
133;18-07-2014;2014-29;50761.9
134;25-07-2014;2014-30;51299.8
135;01-08-2014;2014-31;50673.3
136;08-08-2014;2014-32;50241.0
137;15-08-2014;2014-33;50715.9
138;22-08-2014;2014-34;50909.2
139;29-08-2014;2014-35;51441.0
140;05-09-2014;2014-36;51522.9
141;12-09-2014;2014-37;50721.3
142;19-09-2014;2014-38;50409.4
143;26-09-2014;2014-39;50072.0
144;03-10-2014;2014-40;49754.7
145;10-10-2014;2014-41;50239.9
146;17-10-2014;2014-42;51032.5
147;24-10-2014;2014-43;51080.0
148;31-10-2014;2014-44;51266.2
149;07-11-2014;2014-45;51082.2
150;14-11-2014;2014-46;51560.4
151;21-11-2014;2014-47;51706.7
152;28-11-2014;2014-48;53222.3
153;05-12-2014;2014-49;53235.0
154;12-12-2014;2014-50;52393.2
155;19-12-2014;2014-51;52462.8
156;26-12-2014;2014-52;52614.0
157;02-01-2015;2015-1;52754.7
158;09-01-2015;2015-2;52804.9
159;16-01-2015;2015-3;54855.9
160;23-01-2015;2015-4;55271.0
161;30-01-2015;2015-5;55529.8
162;06-02-2015;2015-6;54787.5
163;13-02-2015;2015-7;54522.1
164;20-02-2015;2015-8;54522.1
165;27-02-2015;2015-9;54165.2
166;06-03-2015;2015-10;52914.9
167;13-03-2015;2015-11;53084.8
168;20-03-2015;2015-12;51400.8
169;27-03-2015;2015-13;51354.8
170;03-04-2015;2015-14;51478.9
171;10-04-2015;2015-15;51462.6
172;17-04-2015;2015-16;52388.0
173;24-04-2015;2015-17;52487.4
174;01-05-2015;2015-18;52113.2
175;08-05-2015;2015-19;52091.6
176;15-05-2015;2015-20;52231.7
177;22-05-2015;2015-21;52276.2
178;29-05-2015;2015-22;52054.7
179;05-06-2015;2015-23;51178.5
180;12-06-2015;2015-24;50668.1
181;19-06-2015;2015-25;50972.3
182;26-06-2015;2015-26;51040.2
183;03-07-2015;2015-27;50848.9
184;10-07-2015;2015-28;51162.7
185;17-07-2015;2015-29;51117.6
186;24-07-2015;2015-30;50859.4
187;31-07-2015;2015-31;50544.6
188;07-08-2015;2015-32;50165.1
189;14-08-2015;2015-33;49919.2
190;21-08-2015;2015-34;49532.2
191;28-08-2015;2015-35;49838.9
192;04-09-2015;2015-36;49330.5
193;11-09-2015;2015-37;48652.5
194;18-09-2015;2015-38;49663.0
195;25-09-2015;2015-39;48965.5
196;02-10-2015;2015-40;48882.8
197;09-10-2015;2015-41;50227.7
198;16-10-2015;2015-42;50643.3
199;23-10-2015;2015-43;50995.2
200;30-10-2015;2015-44;50521.9
201;06-11-2015;2015-45;50063.0
202;13-11-2015;2015-46;50019.3
203;20-11-2015;2015-47;50563.3
204;27-11-2015;2015-48;49777.7
205;04-12-2015;2015-49;49604.1
206;11-12-2015;2015-50;49029.6
207;18-12-2015;2015-51;49686.3
208;25-12-2015;2015-52;49673.2
209;01-01-2016;2016-1;49565.3
210;08-01-2016;2016-2;48893.6
211;15-01-2016;2016-3;48966.6
212;22-01-2016;2016-4;47683.2
213;29-01-2016;2016-5;48438.2
214;05-02-2016;2016-6;49691.3
215;12-02-2016;2016-7;49624.2
216;19-02-2016;2016-8;49241.7
217;26-02-2016;2016-9;49524.3
218;04-03-2016;2016-10;49850.1
219;11-03-2016;2016-11;51758.5
220;18-03-2016;2016-12;52342.9
221;25-03-2016;2016-13;52082.0
222;01-04-2016;2016-14;52555.8
223;08-04-2016;2016-15;52496.9
224;15-04-2016;2016-16;53054.4
225;22-04-2016;2016-17;53157.8
226;29-04-2016;2016-18;52905.5
227;06-05-2016;2016-19;53701.4
228;13-05-2016;2016-20;53897.8
229;20-05-2016;2016-21;53412.7
230;27-05-2016;2016-22;53542.0
231;03-06-2016;2016-23;54153.8
232;10-06-2016;2016-24;55373.4
233;17-06-2016;2016-25;55362.3
234;24-06-2016;2016-26;55354.4
235;01-07-2016;2016-27;56738.3
236;08-07-2016;2016-28;57255.8
237;15-07-2016;2016-29;57073.5
238;22-07-2016;2016-30;54757.2
239;29-07-2016;2016-31;54792.6
240;05-08-2016;2016-32;54906.5
241;12-08-2016;2016-33;55872.5
242;19-08-2016;2016-34;55524.3
243;26-08-2016;2016-35;55809.7
244;02-09-2016;2016-36;55142.9
245;09-09-2016;2016-37;55374.9
246;16-09-2016;2016-38;54917.3
247;23-09-2016;2016-39;55793.5
248;30-09-2016;2016-40;52744.4
249;07-10-2016;2016-41;52987.9
250;14-10-2016;2016-42;52499.5
251;21-10-2016;2016-43;53980.3
252;28-10-2016;2016-44;53294.5
253;04-11-2016;2016-45;52574.0
254;11-11-2016;2016-46;50341.7
255;18-11-2016;2016-47;49944.3
256;25-11-2016;2016-48;49691.9
257;02-12-2016;2016-49;49173.4
258;09-12-2016;2016-50;49704.2
259;16-12-2016;2016-51;49304.4
260;23-12-2016;2016-52;49849.9
261;30-12-2016;2016-53;49954.1
262;06-01-2017;2017-1;50322.3
263;13-01-2017;2017-2;49774.3
264;20-01-2017;2017-3;49789.9
265;27-01-2017;2017-4;52092.9
266;03-02-2017;2017-5;53129.1
267;10-02-2017;2017-6;53109.6
268;17-02-2017;2017-7;53254.9
269;24-02-2017;2017-8;54703.4
270;03-03-2017;2017-9;53857.1
271;10-03-2017;2017-10;53993.7
272;17-03-2017;2017-11;54480.4
273;24-03-2017;2017-12;55127.5
274;31-03-2017;2017-13;55026.6
275;07-04-2017;2017-14;56744.6
276;14-04-2017;2017-15;56965.6
277;21-04-2017;2017-16;57345.2
278;28-04-2017;2017-17;57812.6
279;05-05-2017;2017-18;57491.6
280;12-05-2017;2017-19;58943.3
281;19-05-2017;2017-20;58653.2
282;26-05-2017;2017-21;59591.8
283;02-06-2017;2017-22;59927.0
284;09-06-2017;2017-23;59572.2
285;16-06-2017;2017-24;59828.6
286;23-06-2017;2017-25;59697.0
287;30-06-2017;2017-26;59142.2
288;07-07-2017;2017-27;58060.6
289;14-07-2017;2017-28;56815.0
290;21-07-2017;2017-29;57485.0
291;28-07-2017;2017-30;57254.5
292;04-08-2017;2017-31;57421.1
293;11-08-2017;2017-32;57480.8
294;18-08-2017;2017-33;57541.4
295;25-08-2017;2017-34;57804.3
296;01-09-2017;2017-35;58188.1
297;08-09-2017;2017-36;58324.8
298;15-09-2017;2017-37;59672.3
299;22-09-2017;2017-38;59074.6
300;29-09-2017;2017-39;58808.8
301;06-10-2017;2017-40;58686.7
302;13-10-2017;2017-41;58712.7
303;20-10-2017;2017-42;58515.4
304;27-10-2017;2017-43;57563.0
305;03-11-2017;2017-44;57243.4
306;10-11-2017;2017-45;56659.5
307;17-11-2017;2017-46;57021.3
308;24-11-2017;2017-47;57214.3
309;01-12-2017;2017-48;57461.3
310;08-12-2017;2017-49;57793.6
311;15-12-2017;2017-50;58067.7
312;22-12-2017;2017-51;58025.5
313;29-12-2017;2017-52;58243.8
314;05-01-2018;2018-1;58595.3
315;12-01-2018;2018-2;58244.0
316;19-01-2018;2018-3;59664.1
317;26-01-2018;2018-4;59686.6
318;02-02-2018;2018-5;59244.4
319;09-02-2018;2018-6;58285.7
