;Tarih;TP_BEKODTUFE_BT63
0;2017-11;0.48
1;2017-12;0.49
2;2018-1;0.0
3;2018-2;0.0
4;2018-3;0.0
5;2018-4;0.0
6;2018-5;0.0
7;2018-6;0.0
8;2018-7;0.54
9;2018-8;0.68
10;2018-9;3.6
11;2018-10;8.13
12;2018-11;4.64
13;2018-12;3.57
14;2019-1;3.38
15;2019-2;4.13
16;2019-3;2.87
17;2019-4;3.71
18;2019-5;4.6
19;2019-6;3.69
20;2019-7;0.01
21;2019-8;0.0
22;2019-9;1.14
23;2019-10;0.7
24;2019-11;0.0
25;2019-12;0.16
26;2020-1;0.33
27;2020-2;0.69
28;2020-3;0.0
29;2020-4;0.0
30;2020-5;0.0
31;2020-6;0.0
32;2020-7;0.0
33;2020-8;1.54
34;2020-9;0.84
35;2020-10;0.0363
36;2020-11;0.0
37;2020-12;0.5882
38;2021-1;0.0
39;2021-2;0.0
40;2021-3;0.0
41;2021-4;0.0
42;2021-5;0.0
43;2021-6;0.1677
44;2021-7;0.1625
45;2021-8;0.5241
46;2021-9;0.5375
47;2021-10;1.2129
48;2021-11;2.144
49;2021-12;8.1866
50;2022-1;9.0814
51;2022-2;9.5172
52;2022-3;9.3103
53;2022-4;7.3806
54;2022-5;5.4461
55;2022-6;0.474
56;2022-7;1.6428
57;2022-8;0.0
58;2022-9;4.06
59;2022-10;2.4181
60;2022-11;4.819
61;2022-12;0.0
62;2023-1;4.4
63;2023-2;0.1474
64;2023-3;4.7833
65;2023-4;2.9818
66;2023-5;2.6522
67;2023-6;4.2095
68;2023-7;0.2
69;2023-8;5.232
70;2023-9;0.0
71;2023-10;0.0
72;2023-11;0.0
