;Tarih;TP_08TR33
0;2010-1;99.09
1;2010-2;98.9
2;2010-3;98.86
3;2010-4;98.27
4;2010-5;98.06
5;2010-6;98.17
6;2010-7;99.16
7;2010-8;101.75
8;2010-9;102.07
9;2010-10;101.95
10;2010-11;101.63
11;2010-12;102.03
12;2011-1;102.83
13;2011-2;104.66
14;2011-3;107.07
15;2011-4;107.99
16;2011-5;109.61
17;2011-6;110.19
18;2011-7;111.49
19;2011-8;112.64
20;2011-9;114.91
21;2011-10;116.81
22;2011-11;117.78
23;2011-12;119.44
24;2012-1;119.4
25;2012-2;120.18
26;2012-3;120.78
27;2012-4;124.05
28;2012-5;125.93
29;2012-6;128.29
30;2012-7;129.35
31;2012-8;132.7
32;2012-9;133.54
33;2012-10;133.99
34;2012-11;135.0
35;2012-12;137.18
36;2013-1;139.65
37;2013-2;139.9
38;2013-3;141.69
39;2013-4;142.06
40;2013-5;144.1
41;2013-6;145.79
42;2013-7;148.93
43;2013-8;152.26
44;2013-9;152.26
45;2013-10;152.5
46;2013-11;150.93
47;2013-12;151.67
48;2014-1;153.0
49;2014-2;155.81
50;2014-3;160.62
51;2014-4;159.69
52;2014-5;160.69
53;2014-6;162.07
54;2014-7;163.45
55;2014-8;163.77
56;2014-9;165.1
57;2014-10;166.09
58;2014-11;168.94
59;2014-12;169.78
60;2015-1;171.37
61;2015-2;173.26
62;2015-3;174.47
63;2015-4;175.82
64;2015-5;177.21
65;2015-6;180.3
66;2015-7;183.75
67;2015-8;184.17
68;2015-9;182.45
69;2015-10;183.17
70;2015-11;186.55
71;2015-12;189.94
72;2016-1;192.38
73;2016-2;191.59
74;2016-3;191.28
75;2016-4;192.63
76;2016-5;193.56
77;2016-6;196.66
78;2016-7;199.17
79;2016-8;201.45
80;2016-9;204.23
81;2016-10;205.51
82;2016-11;206.59
83;2016-12;207.04
84;2017-1;209.15
85;2017-2;211.86
86;2017-3;213.5
87;2017-4;216.39
88;2017-5;219.39
89;2017-6;220.87
90;2017-7;221.74
91;2017-8;223.26
92;2017-9;225.25
93;2017-10;227.66
94;2017-11;229.55
95;2017-12;231.07
96;2018-1;233.75
97;2018-2;235.89
98;2018-3;238.98
99;2018-4;242.3
100;2018-5;247.53
101;2018-6;249.33
102;2018-7;250.59
103;2018-8;249.61
104;2018-9;246.91
105;2018-10;248.49
106;2018-11;247.39
107;2018-12;251.9
108;2019-1;251.59
