;Tarih;TP_UR_K03
0;1968;537.0
1;1969;586.0
2;1970;539.0
3;1971;476.0
4;1972;592.0
5;1973;734.0
6;1974;980.0
7;1975;1184.0
8;1976;1312.0
9;1977;1467.0
10;1978;1567.0
11;1979;1877.0
12;1980;1539.0
13;1981;1570.0
14;1982;1375.0
15;1983;1264.0
16;1984;1204.0
17;1985;1330.0
18;1986;1462.0
19;1987;1636.0
20;1988;1684.0
21;1989;1959.0
22;1990;2682.0
23;1991;2621.0
24;1992;2708.0
25;1993;3004.0
26;1994;2184.0
27;1995;2759.0
28;1996;2928.0
29;1997;3079.0
30;1998;3255.0
31;1999;2879.0
32;2000;2965.0
33;2001;2123.0
34;2002;2598.0
35;2003;3383.0
36;2004;4172.0
37;2005;5008.0
38;2006;5477.0
