;Tarih;TP_TUFE1YI_T25
0;1994-1;0.9667501275
1;1994-2;1.1306627788
2;1994-3;1.222654573
3;1994-4;1.5906217496
4;1994-5;1.6943215902
5;1994-6;1.7010119025
6;1994-7;1.7311183079
7;1994-8;1.8214375239
8;1994-9;1.9084115839
9;1994-10;1.9820050192
10;1994-11;2.0974129064
11;1994-12;2.2278739962
12;1995-1;2.378406023
13;1995-2;2.4804332856
14;1995-3;2.5473364086
15;1995-4;2.6343104685
16;1995-5;2.6878329669
17;1995-6;2.7363377311
18;1995-7;2.9136310071
19;1995-8;3.1260484227
20;1995-9;3.2163676387
21;1995-10;3.4103866955
22;1995-11;3.6579282506
23;1995-12;4.1814451882
24;1996-1;4.9357779001
25;1996-2;5.0311148504
26;1996-3;5.4576222596
27;1996-4;6.0898567721
28;1996-5;6.4360804337
29;1996-6;6.5080012909
30;1996-7;6.6033382412
31;1996-8;6.6852945669
32;1996-9;6.7137283942
33;1996-10;7.2238647071
34;1996-11;7.3861047804
35;1996-12;7.5951770398
36;1997-1;7.797558987
37;1997-2;8.2892969411
38;1997-3;9.0168684038
39;1997-4;9.4667919061
40;1997-5;10.0889909501
41;1997-6;10.264611648
42;1997-7;10.553967655
43;1997-8;11.1845295894
44;1997-9;11.6796126997
45;1997-10;11.9488977698
46;1997-11;12.3887858036
47;1997-12;13.1347556252
48;1998-1;14.1015057527
49;1998-2;15.6871097681
50;1998-3;16.6354615368
51;1998-4;16.7759580951
52;1998-5;16.9699771519
53;1998-6;17.2576605808
54;1998-7;17.3814313584
55;1998-8;17.6072293985
56;1998-9;18.1474721169
57;1998-10;18.6592810079
58;1998-11;19.5674909028
59;1998-12;20.5894361068
60;1999-1;21.5645491247
61;1999-2;22.7621150266
62;1999-3;23.3224286818
63;1999-4;23.6736700776
64;1999-5;24.2172579521
65;1999-6;24.4012415404
66;1999-7;25.0953614416
67;1999-8;25.3730094021
68;1999-9;26.0872002403
69;1999-10;26.8181168592
70;1999-11;28.6445721174
71;1999-12;30.6767544789
72;2000-1;31.5264241411
73;2000-2;34.4283471017
74;2000-3;35.6593645652
75;2000-4;36.0306768979
76;2000-5;36.5173971178
77;2000-6;36.900417497
78;2000-7;36.9623028858
79;2000-8;38.4860215124
80;2000-9;39.8291017069
81;2000-10;41.5485119683
82;2000-11;41.9716742213
83;2000-12;42.3145527267
84;2001-1;43.3699494923
85;2001-2;44.7615344509
86;2001-3;50.3713613154
87;2001-4;56.9964430717
88;2001-5;58.7643580972
89;2001-6;60.4737328902
90;2001-7;63.7586762301
91;2001-8;64.4494509752
92;2001-9;67.3229401085
93;2001-10;71.133072964
94;2001-11;76.4468535092
95;2001-12;76.530482413
96;2002-1;80.7671226777
97;2002-2;82.9899789398
98;2002-3;84.0119241438
99;2002-4;86.1160273625
100;2002-5;86.7365538284
101;2002-6;87.460780135
102;2002-7;89.260474144
103;2002-8;90.7273251161
104;2002-9;91.0886019803
105;2002-10;92.2727872576
106;2002-11;92.3631064737
107;2002-12;93.0405005942
108;2003-1;95.569438644
109;2003-2;96.1804491569
110;2003-3;98.4969520741
111;2003-4;97.2704184799
112;2003-5;96.1018961258
113;2003-6;96.6654847158
114;2003-7;99.6263148947
115;2003-8;100.340305243
116;2003-9;100.3625258912
117;2003-10;102.1575292736
118;2003-11;105.8033431621
119;2003-12;111.4253423383
120;2004-1;114.4532982766
121;2004-2;115.4606117738
122;2004-3;117.7899872657
123;2004-4;120.0540611825
124;2004-5;123.8706162197
125;2004-6;123.6367637956
126;2004-7;120.1374547855
127;2004-8;117.6153347006
128;2004-9;116.8924622171
129;2004-10;115.5091552615
130;2004-11;115.3748287354
131;2004-12;114.6748344949
132;2005-1;114.16
133;2005-2;113.39
134;2005-3;112.86
135;2005-4;112.55
136;2005-5;112.15
137;2005-6;110.93
138;2005-7;108.77
139;2005-8;108.17
140;2005-9;105.93
141;2005-10;106.26
142;2005-11;106.11
143;2005-12;106.06
144;2006-1;106.34
145;2006-2;107.02
146;2006-3;107.65
147;2006-4;108.1
148;2006-5;108.76
149;2006-6;110.3
150;2006-7;112.44
151;2006-8;113.66
152;2006-9;115.59
153;2006-10;118.43
154;2006-11;122.98
155;2006-12;124.05
156;2007-1;126.38
157;2007-2;127.87
158;2007-3;128.99
159;2007-4;128.97
160;2007-5;129.66
161;2007-6;131.27
162;2007-7;133.98
163;2007-8;136.33
164;2007-9;138.35
165;2007-10;143.83
166;2007-11;147.43
167;2007-12;149.24
168;2008-1;149.48
169;2008-2;151.93
170;2008-3;154.34
171;2008-4;159.53
172;2008-5;160.05
173;2008-6;160.71
174;2008-7;159.71
175;2008-8;158.07
176;2008-9;154.74
177;2008-10;153.35
178;2008-11;154.36
179;2008-12;152.69
180;2009-1;150.17
181;2009-2;151.15
182;2009-3;151.36
183;2009-4;150.75
184;2009-5;147.04
185;2009-6;144.43
186;2009-7;142.69
187;2009-8;141.32
188;2009-9;139.89
189;2009-10;141.8
190;2009-11;144.99
191;2009-12;148.97
192;2010-1;148.79
193;2010-2;148.57
194;2010-3;152.33
195;2010-4;152.45
196;2010-5;149.82
197;2010-6;151.33
198;2010-7;151.38
199;2010-8;155.04
200;2010-9;161.88
201;2010-10;173.32
202;2010-11;172.55
203;2010-12;172.28
204;2011-1;179.53
205;2011-2;190.17
206;2011-3;192.11
207;2011-4;189.63
208;2011-5;193.3
209;2011-6;191.55
210;2011-7;192.55
211;2011-8;195.54
212;2011-9;204.92
213;2011-10;209.39
214;2011-11;207.42
215;2011-12;204.87
216;2012-1;202.7
217;2012-2;201.95
218;2012-3;202.54
219;2012-4;203.53
220;2012-5;209.26
221;2012-6;215.24
222;2012-7;215.25
223;2012-8;228.46
224;2012-9;239.88
225;2012-10;241.24
226;2012-11;239.16
227;2012-12;238.16
228;2013-1;241.5
229;2013-2;246.3
230;2013-3;247.02
231;2013-4;245.01
232;2013-5;243.99
233;2013-6;242.46
234;2013-7;244.77
235;2013-8;248.38
236;2013-9;246.42
237;2013-10;242.85
238;2013-11;242.13
239;2013-12;240.6
240;2014-1;248.41
241;2014-2;251.71
242;2014-3;252.65
243;2014-4;257.63
244;2014-5;262.35
245;2014-6;267.7
246;2014-7;270.6
247;2014-8;265.68
248;2014-9;262.74
249;2014-10;260.85
250;2014-11;260.0
251;2014-12;257.58
252;2015-1;258.45
253;2015-2;262.94
254;2015-3;263.03
255;2015-4;263.08
256;2015-5;269.2
257;2015-6;269.86
258;2015-7;266.7
259;2015-8;267.05
260;2015-9;272.22
261;2015-10;272.46
262;2015-11;268.68
263;2015-12;264.28
264;2016-1;266.7
265;2016-2;276.37
266;2016-3;276.78
267;2016-4;274.43
268;2016-5;276.89
269;2016-6;289.59
270;2016-7;293.38
271;2016-8;294.68
272;2016-9;292.13
273;2016-10;290.07
274;2016-11;287.7
275;2016-12;296.39
276;2017-1;312.62
277;2017-2;319.62
278;2017-3;315.28
279;2017-4;315.56
280;2017-5;316.02
281;2017-6;315.06
282;2017-7;317.08
283;2017-8;317.83
284;2017-9;312.56
285;2017-10;311.15
286;2017-11;318.11
287;2017-12;329.72
288;2018-1;330.47
289;2018-2;332.63
290;2018-3;347.94
291;2018-4;368.88
292;2018-5;384.38
293;2018-6;403.07
294;2018-7;410.75
295;2018-8;423.12
296;2018-9;459.37
297;2018-10;461.19
298;2018-11;445.04
299;2018-12;439.94
300;2019-1;455.66
301;2019-2;460.94
302;2019-3;457.37
303;2019-4;481.38
304;2019-5;502.85
305;2019-6;511.34
306;2019-7;496.61
307;2019-8;487.91
308;2019-9;478.72
309;2019-10;470.23
310;2019-11;463.97
311;2019-12;480.66
312;2020-1;488.12
313;2020-2;496.99
314;2020-3;510.03
315;2020-4;539.86
316;2020-5;555.23
317;2020-6;546.99
318;2020-7;548.15
319;2020-8;567.64
320;2020-9;585.96
321;2020-10;618.1
322;2020-11;678.4
323;2020-12;701.5
324;2021-1;707.21
325;2021-2;718.13
326;2021-3;728.56
327;2021-4;759.68
328;2021-5;813.12
329;2021-6;874.87
330;2021-7;877.26
331;2021-8;877.96
332;2021-9;895.79
333;2021-10;931.16
334;2021-11;1038.92
335;2021-12;1290.71
336;2022-1;1356.18
337;2022-2;1388.84
338;2022-3;1640.33
339;2022-4;1792.82
340;2022-5;1894.91
341;2022-6;2062.06
342;2022-7;2057.38
343;2022-8;2074.18
344;2022-9;2068.99
345;2022-10;2100.45
346;2022-11;2160.61
347;2022-12;2190.3
348;2023-1;2215.86
349;2023-2;2277.9
350;2023-3;2304.14
351;2023-4;2310.56
352;2023-5;2381.77
353;2023-6;2512.32
354;2023-7;2599.84
355;2023-8;2626.18
356;2023-9;2650.35
357;2023-10;2667.19
358;2023-11;2703.97
359;2023-12;2941.83
360;2024-1;3122.23
