;Tarih;TP_BEK_S01_C_M
0;2013-1;0.5
1;2013-2;0.7
2;2013-3;0.5
3;2013-4;0.0
4;2013-5;0.0
5;2013-6;0.29
6;2013-7;0.7
7;2013-8;1.0
8;2013-9;0.7
9;2013-10;0.5
10;2013-11;0.7
11;2013-12;0.5
12;2014-1;0.6
13;2014-2;0.7
14;2014-3;0.6
15;2014-4;0.4
16;2014-5;0.2
17;2014-6;0.2
18;2014-7;0.6
19;2014-8;1.0
20;2014-9;0.5
21;2014-10;0.45
22;2014-11;0.9
23;2014-12;0.5
24;2015-1;0.51
25;2015-2;0.7
26;2015-3;0.5
27;2015-4;0.3
28;2015-5;0.2
29;2015-6;0.2
30;2015-7;0.5
31;2015-8;1.2
32;2015-9;0.5
33;2015-10;0.25
34;2015-11;0.9
35;2015-12;0.57
36;2016-1;0.77
37;2016-2;1.0
38;2016-3;0.6
39;2016-4;0.1
40;2016-5;0.15
41;2016-6;0.4
42;2016-7;0.75
43;2016-8;1.3
44;2016-9;0.6
45;2016-10;0.47
46;2016-11;1.11
47;2016-12;0.56
48;2017-1;0.76
49;2017-2;1.0
50;2017-3;0.68
51;2017-4;0.3
52;2017-5;0.3
53;2017-6;0.2
54;2017-7;0.5
55;2017-8;1.25
56;2017-9;0.5
57;2017-10;0.45
58;2017-11;1.2
59;2017-12;0.6
60;2018-1;0.8
61;2018-2;1.0
62;2018-3;0.7
63;2018-4;0.25
64;2018-5;0.5
65;2018-6;0.5
66;2018-7;0.8
67;2018-8;1.5
68;2018-9;1.29
69;2018-10;1.0
70;2018-11;1.68
71;2018-12;1.0
72;2019-1;1.0
73;2019-2;1.5
74;2019-3;1.08
75;2019-4;0.98
76;2019-5;1.0
77;2019-6;0.99
78;2019-7;1.3
79;2019-8;2.0
80;2019-9;1.13
81;2019-10;1.0
82;2019-11;1.2
83;2019-12;0.6
84;2020-1;0.8
85;2020-2;1.09
86;2020-3;0.67
87;2020-4;0.38
88;2020-5;0.4
89;2020-6;0.5
90;2020-7;0.8
91;2020-8;1.13
92;2020-9;0.66
93;2020-10;0.7
94;2020-11;1.25
95;2020-12;0.68
96;2021-1;0.8
97;2021-2;1.06
98;2021-3;0.8
99;2021-4;0.72
100;2021-5;0.7
101;2021-6;0.72
102;2021-7;1.05
103;2021-8;1.72
104;2021-9;1.0
105;2021-10;1.0
106;2021-11;1.8
107;2021-12;2.0
108;2022-1;2.44
109;2022-2;2.5
110;2022-3;2.1
111;2022-4;2.0
112;2022-5;2.42
113;2022-6;2.5
114;2022-7;3.13
115;2022-8;3.95
116;2022-9;2.85
117;2022-10;2.95
118;2022-11;3.6
119;2022-12;2.5
120;2023-1;2.25
121;2023-2;2.5
122;2023-3;2.5
123;2023-4;2.55
124;2023-5;2.5
125;2023-6;2.36
126;2023-7;3.25
127;2023-8;4.0
128;2023-9;3.95
129;2023-10;3.43
130;2023-11;5.0
131;2023-12;3.2
132;2024-1;3.1
