;Tarih;YEARWEEK;TP_BS14_NOMINAL
0;30-12-2011;2011-52;9674.3
1;06-01-2012;2012-1;9645.0
2;13-01-2012;2012-2;9556.5
3;20-01-2012;2012-3;9670.5
4;27-01-2012;2012-4;9858.0
5;03-02-2012;2012-5;9846.0
6;10-02-2012;2012-6;9957.8
7;17-02-2012;2012-7;9749.3
8;24-02-2012;2012-8;9976.5
9;02-03-2012;2012-9;9996.0
10;09-03-2012;2012-10;9916.5
11;16-03-2012;2012-11;9789.0
12;23-03-2012;2012-12;9869.3
13;30-03-2012;2012-13;9971.3
14;06-04-2012;2012-14;9821.3
15;13-04-2012;2012-15;9851.3
16;20-04-2012;2012-16;9840.0
17;27-04-2012;2012-17;9918.8
18;04-05-2012;2012-18;9854.3
19;11-05-2012;2012-19;9712.5
20;18-05-2012;2012-20;9524.3
21;25-05-2012;2012-21;9425.3
22;01-06-2012;2012-22;9307.5
23;08-06-2012;2012-23;9432.0
24;15-06-2012;2012-24;9428.3
25;22-06-2012;2012-25;9505.5
26;29-06-2012;2012-26;9333.0
27;06-07-2012;2012-27;8123.1
28;13-07-2012;2012-28;7932.0
29;20-07-2012;2012-29;7991.8
30;27-07-2012;2012-30;7921.6
31;03-08-2012;2012-31;7983.3
32;10-08-2012;2012-32;8013.2
33;17-08-2012;2012-33;7980.7
34;24-08-2012;2012-34;8162.1
35;31-08-2012;2012-35;8159.5
36;07-09-2012;2012-36;8201.1
37;14-09-2012;2012-37;8392.8
38;21-09-2012;2012-38;8422.1
39;28-09-2012;2012-39;8363.6
40;05-10-2012;2012-40;8414.9
41;12-10-2012;2012-41;8382.4
42;19-10-2012;2012-42;8518.9
43;26-10-2012;2012-43;8465.0
44;02-11-2012;2012-44;8420.1
45;09-11-2012;2012-45;8280.4
46;16-11-2012;2012-46;8292.1
47;23-11-2012;2012-47;8364.9
48;30-11-2012;2012-48;8439.6
49;07-12-2012;2012-49;8494.2
50;14-12-2012;2012-50;8493.6
51;21-12-2012;2012-51;8609.9
52;28-12-2012;2012-52;8624.9
53;04-01-2013;2013-1;8528.7
54;11-01-2013;2013-2;8509.5
55;18-01-2013;2013-3;8678.2
56;25-01-2013;2013-4;8665.8
57;01-02-2013;2013-5;8810.75
58;08-02-2013;2013-6;8815.95
59;15-02-2013;2013-7;8677.5
60;22-02-2013;2013-8;8576.75
61;01-03-2013;2013-9;8529.3
62;08-03-2013;2013-10;8463.0
63;15-03-2013;2013-11;8409.7
64;22-03-2013;2013-12;8389.55
65;29-03-2013;2013-13;8316.75
66;05-04-2013;2013-14;8324.55
67;12-04-2013;2013-15;8517.6
68;19-04-2013;2013-16;8484.45
69;26-04-2013;2013-17;8490.3
70;03-05-2013;2013-18;8558.6
71;10-05-2013;2013-19;8544.9
72;17-05-2013;2013-20;8368.1
73;24-05-2013;2013-21;8372.7
74;31-05-2013;2013-22;8432.5
75;07-06-2013;2013-23;8526.1
76;14-06-2013;2013-24;8668.4
77;21-06-2013;2013-25;8589.8
78;28-06-2013;2013-26;8468.9
79;05-07-2013;2013-27;8447.4
80;12-07-2013;2013-28;8481.2
81;19-07-2013;2013-29;8530.0
82;26-07-2013;2013-30;8580.7
83;02-08-2013;2013-31;8605.4
84;09-08-2013;2013-32;8627.5
85;16-08-2013;2013-33;8635.3
86;23-08-2013;2013-34;8666.5
87;30-08-2013;2013-35;8686.0
88;06-09-2013;2013-36;8578.1
89;13-09-2013;2013-37;8640.5
90;20-09-2013;2013-38;8806.9
91;27-09-2013;2013-39;8777.0
92;04-10-2013;2013-40;8841.3
93;11-10-2013;2013-41;8788.7
94;18-10-2013;2013-42;8816.6
95;25-10-2013;2013-43;8967.4
96;01-11-2013;2013-44;8886.8
97;08-11-2013;2013-45;8765.3
98;15-11-2013;2013-46;10420.7
99;22-11-2013;2013-47;10416.0
100;29-11-2013;2013-48;10539.2
101;06-12-2013;2013-49;10536.1
102;13-12-2013;2013-50;10677.2
103;20-12-2013;2013-51;10600.5
104;27-12-2013;2013-52;10611.3
105;03-01-2014;2014-1;10614.4
106;10-01-2014;2014-2;10548.5
107;17-01-2014;2014-3;10547.8
108;24-01-2014;2014-4;10563.3
109;31-01-2014;2014-5;10540.0
110;07-02-2014;2014-6;10477.2
111;14-02-2014;2014-7;9222.5
112;21-02-2014;2014-8;9246.8
113;28-02-2014;2014-9;9217.1
114;07-03-2014;2014-10;9273.8
115;14-03-2014;2014-11;9418.3
116;21-03-2014;2014-12;9305.6
117;28-03-2014;2014-13;9287.3
118;04-04-2014;2014-14;9290.0
119;11-04-2014;2014-15;10744.6
120;18-04-2014;2014-16;10734.5
121;25-04-2014;2014-17;10715.2
122;02-05-2014;2014-18;10716.7
123;09-05-2014;2014-19;10802.0
124;16-05-2014;2014-20;10592.7
125;23-05-2014;2014-21;10597.4
126;30-05-2014;2014-22;10548.5
127;06-06-2014;2014-23;10540.8
