;Tarih;TP_BEK_S01_A_S
0;2013-1;0.32
1;2013-2;0.22
2;2013-3;0.16
3;2013-4;0.26
4;2013-5;0.29
5;2013-6;0.42
6;2013-7;0.36
7;2013-8;0.28
8;2013-9;0.23
9;2013-10;0.41
10;2013-11;0.32
11;2013-12;0.2
12;2014-1;0.37
13;2014-2;0.31
14;2014-3;0.16
15;2014-4;0.23
16;2014-5;0.26
17;2014-6;0.32
18;2014-7;0.28
19;2014-8;0.29
20;2014-9;0.21
21;2014-10;0.61
22;2014-11;0.3
23;2014-12;0.22
24;2015-1;0.37
25;2015-2;0.17
26;2015-3;0.2
27;2015-4;0.31
28;2015-5;0.26
29;2015-6;0.34
30;2015-7;0.25
31;2015-8;0.18
32;2015-9;0.26
33;2015-10;0.43
34;2015-11;0.22
35;2015-12;0.34
36;2016-1;0.44
37;2016-2;0.23
38;2016-3;0.23
39;2016-4;0.4
40;2016-5;0.25
41;2016-6;0.32
42;2016-7;0.2
43;2016-8;0.3
44;2016-9;0.22
45;2016-10;0.49
46;2016-11;0.23
47;2016-12;0.32
48;2017-1;0.43
49;2017-2;0.38
50;2017-3;0.29
51;2017-4;0.33
52;2017-5;0.33
53;2017-6;0.27
54;2017-7;0.23
55;2017-8;0.22
56;2017-9;0.22
57;2017-10;0.4
58;2017-11;0.28
59;2017-12;0.43
60;2018-1;0.44
61;2018-2;0.23
62;2018-3;0.17
63;2018-4;0.31
64;2018-5;0.35
65;2018-6;0.5
66;2018-7;0.53
67;2018-8;0.71
68;2018-9;0.77
69;2018-10;1.11
70;2018-11;0.57
71;2018-12;0.6
72;2019-1;0.55
73;2019-2;0.44
74;2019-3;0.34
75;2019-4;0.58
76;2019-5;0.43
77;2019-6;0.4
78;2019-7;0.62
79;2019-8;0.46
80;2019-9;0.45
81;2019-10;0.58
82;2019-11;0.27
83;2019-12;0.27
84;2020-1;0.29
85;2020-2;0.25
86;2020-3;0.29
87;2020-4;0.43
88;2020-5;0.27
89;2020-6;0.4
90;2020-7;0.42
91;2020-8;0.26
92;2020-9;0.46
93;2020-10;0.57
94;2020-11;0.29
95;2020-12;0.38
96;2021-1;0.31
97;2021-2;0.32
98;2021-3;0.21
99;2021-4;0.44
100;2021-5;0.34
101;2021-6;0.48
102;2021-7;0.35
103;2021-8;0.36
104;2021-9;0.39
105;2021-10;0.49
106;2021-11;0.5
107;2021-12;1.23
108;2022-1;2.63
109;2022-2;2.04
110;2022-3;1.53
111;2022-4;1.11
112;2022-5;1.52
113;2022-6;1.28
114;2022-7;1.13
115;2022-8;0.75
116;2022-9;0.88
117;2022-10;0.72
118;2022-11;0.49
119;2022-12;0.73
120;2023-1;1.15
121;2023-2;0.85
122;2023-3;0.62
123;2023-4;0.55
124;2023-5;0.57
125;2023-6;1.22
126;2023-7;1.33
127;2023-8;1.25
128;2023-9;1.59
129;2023-10;0.79
130;2023-11;0.68
131;2023-12;0.58
132;2024-1;1.21
