;Tarih;TP_TUFE1YI_T68
0;1994-1;1.103781111
1;1994-2;1.1529838352
2;1994-3;1.1579041076
3;1994-4;1.3497947316
4;1994-5;1.7220953442
5;1994-6;1.7680178867
6;1994-7;1.8008197028
7;1994-8;1.8008197028
8;1994-9;1.915626059
9;1994-10;1.9566283291
10;1994-11;1.9566283291
11;1994-12;1.9959905084
12;1995-1;2.150159044
13;1995-2;2.166559952
14;1995-3;2.1698401337
15;1995-4;2.3026874888
16;1995-5;2.4716168416
17;1995-6;2.4830974772
18;1995-7;2.4880177496
19;1995-8;2.5864231979
20;1995-9;2.8143958196
21;1995-10;2.8275165461
22;1995-11;2.8275165461
23;1995-12;2.8504778173
24;1996-1;3.1883365229
25;1996-2;3.2030973402
26;1996-3;3.229338793
27;1996-4;3.2949424252
28;1996-5;3.9427782928
29;1996-6;4.2215937295
30;1996-7;4.5758533431
31;1996-8;4.5774934339
32;1996-9;4.8431881442
33;1996-10;4.9465138648
34;1996-11;4.9497940464
35;1996-12;6.0880170644
36;1997-1;6.4521172229
37;1997-2;6.4816388574
38;1997-3;6.7391331136
39;1997-4;7.3295658031
40;1997-5;7.4328915237
41;1997-6;7.4082901617
42;1997-7;8.3119801947
43;1997-8;8.3218207395
44;1997-9;8.9827773335
45;1997-10;9.4748045747
46;1997-11;9.6830961068
47;1997-12;9.7929821907
48;1998-1;10.6097474111
49;1998-2;11.154257558
50;1998-3;11.7791321543
51;1998-4;12.6237789184
52;1998-5;12.6828221873
53;1998-6;13.3815008698
54;1998-7;15.070794398
55;1998-8;15.1478786658
56;1998-9;15.1478786658
57;1998-10;15.7301109012
58;1998-11;16.141773693
59;1998-12;16.2615003217
60;1999-1;18.03279839
61;1999-2;19.0496546885
62;1999-3;19.1857822252
63;1999-4;20.0697911686
64;1999-5;20.7914311224
65;1999-6;22.2953943896
66;1999-7;24.1060546373
67;1999-8;24.1601776338
68;1999-9;26.0233207871
69;1999-10;28.5178989
70;1999-11;28.7475116126
71;1999-12;29.6036390123
72;2000-1;35.3308360999
73;2000-2;35.4850046355
74;2000-3;35.6211321722
75;2000-4;35.8622255204
76;2000-5;38.7241839734
77;2000-6;39.0308809537
78;2000-7;39.129286402
79;2000-8;40.7382154807
80;2000-9;40.8743430174
81;2000-10;40.96126783
82;2000-11;41.0170309174
83;2000-12;41.0006300093
84;2001-1;42.819490711
85;2001-2;43.2672355005
86;2001-3;50.6230427564
87;2001-4;56.7750233623
88;2001-5;61.1409450825
89;2001-6;65.839805236
90;2001-7;69.6333352657
91;2001-8;70.425499124
92;2001-9;71.2045422559
93;2001-10;75.3424913544
94;2001-11;77.6927414766
95;2001-12;77.5320125778
96;2002-1;77.5320125778
97;2002-2;77.8944726455
98;2002-3;80.4136521204
99;2002-4;80.8843581812
100;2002-5;81.8749730268
101;2002-6;84.0579338869
102;2002-7;90.87743145
103;2002-8;92.83569987
104;2002-9;98.3529653347
105;2002-10;98.3529653347
106;2002-11;98.3529653347
107;2002-12;98.3529653347
108;2003-1;98.3529653347
109;2003-2;97.9099817657
110;2003-3;98.6829267046
111;2003-4;99.1675403548
112;2003-5;100.0091708419
113;2003-6;100.4498716698
114;2003-7;100.4616897177
115;2003-8;100.4884563139
116;2003-9;100.5609046328
117;2003-10;100.738445383
118;2003-11;101.370625033
119;2003-12;101.8074222475
120;2004-1;102.08379243
121;2004-2;102.3829629778
122;2004-3;102.5838435406
123;2004-4;102.9538354558
124;2004-5;102.1735750019
125;2004-6;102.7222707437
126;2004-7;101.1193801647
127;2004-8;102.3348156944
128;2004-9;103.4305908875
129;2004-10;109.0024683893
130;2004-11;109.2651455329
131;2004-12;109.2096565092
132;2005-1;114.78
133;2005-2;115.42
134;2005-3;115.56
135;2005-4;107.48
136;2005-5;110.83
137;2005-6;107.51
138;2005-7;108.78
139;2005-8;108.66
140;2005-9;108.72
141;2005-10;109.47
142;2005-11;109.36
143;2005-12;109.02
144;2006-1;112.04
145;2006-2;111.86
146;2006-3;114.77
147;2006-4;115.14
148;2006-5;118.48
149;2006-6;117.99
150;2006-7;119.09
151;2006-8;120.94
152;2006-9;127.01
153;2006-10;127.45
154;2006-11;127.19
155;2006-12;127.12
156;2007-1;128.58
157;2007-2;129.13
158;2007-3;130.16
159;2007-4;130.47
160;2007-5;130.74
161;2007-6;130.72
162;2007-7;130.39
163;2007-8;130.67
164;2007-9;131.71
165;2007-10;131.92
166;2007-11;129.98
167;2007-12;130.02
168;2008-1;130.17
169;2008-2;130.5
170;2008-3;132.67
171;2008-4;132.59
172;2008-5;139.46
173;2008-6;139.75
174;2008-7;139.88
175;2008-8;140.26
176;2008-9;141.91
177;2008-10;141.23
178;2008-11;140.9
179;2008-12;141.57
180;2009-1;140.4
181;2009-2;142.54
182;2009-3;142.06
183;2009-4;139.83
184;2009-5;137.96
185;2009-6;146.6
186;2009-7;145.68
187;2009-8;144.84
188;2009-9;145.23
189;2009-10;146.95
190;2009-11;147.75
191;2009-12;147.8
192;2010-1;146.21
193;2010-2;148.8
194;2010-3;148.1
195;2010-4;146.03
196;2010-5;147.15
197;2010-6;146.28
198;2010-7;147.46
199;2010-8;144.91
200;2010-9;145.86
201;2010-10;146.15
202;2010-11;144.06
203;2010-12;142.27
204;2011-1;139.46
205;2011-2;141.29
206;2011-3;142.53
207;2011-4;144.68
208;2011-5;144.97
209;2011-6;144.84
210;2011-7;142.62
211;2011-8;141.62
212;2011-9;140.77
213;2011-10;147.31
214;2011-11;147.62
215;2011-12;147.89
216;2012-1;154.93
217;2012-2;156.25
218;2012-3;161.5
219;2012-4;156.36
220;2012-5;156.63
221;2012-6;160.4
222;2012-7;160.2
223;2012-8;158.1
224;2012-9;155.79
225;2012-10;158.09
226;2012-11;157.92
227;2012-12;154.88
228;2013-1;154.58
229;2013-2;157.2
230;2013-3;156.72
231;2013-4;157.51
232;2013-5;158.18
233;2013-6;159.0
234;2013-7;160.56
235;2013-8;161.57
236;2013-9;164.69
237;2013-10;165.56
238;2013-11;166.13
239;2013-12;167.66
240;2014-1;173.39
241;2014-2;176.1
242;2014-3;181.14
243;2014-4;178.06
244;2014-5;177.58
245;2014-6;179.44
246;2014-7;178.5
247;2014-8;185.89
248;2014-9;182.47
249;2014-10;184.03
250;2014-11;186.56
251;2014-12;188.17
252;2015-1;189.5
253;2015-2;192.45
254;2015-3;193.3
255;2015-4;196.25
256;2015-5;195.28
257;2015-6;199.51
258;2015-7;198.0
259;2015-8;196.87
260;2015-9;199.78
261;2015-10;207.17
262;2015-11;203.09
263;2015-12;200.09
264;2016-1;205.46
265;2016-2;208.26
266;2016-3;214.22
267;2016-4;212.26
268;2016-5;212.73
269;2016-6;214.84
270;2016-7;217.44
271;2016-8;219.28
272;2016-9;221.82
273;2016-10;223.86
274;2016-11;222.84
275;2016-12;221.08
276;2017-1;219.11
277;2017-2;223.79
278;2017-3;224.06
279;2017-4;227.05
280;2017-5;224.24
281;2017-6;225.65
282;2017-7;227.26
283;2017-8;229.13
284;2017-9;231.46
285;2017-10;229.34
286;2017-11;227.47
287;2017-12;231.36
288;2018-1;249.96
289;2018-2;250.94
290;2018-3;255.68
291;2018-4;263.78
292;2018-5;268.4
293;2018-6;281.47
294;2018-7;278.93
295;2018-8;286.84
296;2018-9;303.42
297;2018-10;324.13
298;2018-11;336.42
299;2018-12;341.38
300;2019-1;350.6
301;2019-2;353.12
302;2019-3;362.92
303;2019-4;363.54
304;2019-5;363.71
305;2019-6;372.96
306;2019-7;364.05
307;2019-8;375.32
308;2019-9;383.66
309;2019-10;382.06
310;2019-11;379.43
311;2019-12;373.59
312;2020-1;389.51
313;2020-2;391.22
314;2020-3;402.96
315;2020-4;398.66
316;2020-5;405.4
317;2020-6;403.23
318;2020-7;403.56
319;2020-8;408.05
320;2020-9;412.17
321;2020-10;421.59
322;2020-11;428.65
323;2020-12;432.9
324;2021-1;446.33
325;2021-2;450.72
326;2021-3;458.85
327;2021-4;468.73
328;2021-5;477.7
329;2021-6;494.59
330;2021-7;490.64
331;2021-8;496.95
332;2021-9;528.19
333;2021-10;538.11
334;2021-11;565.15
335;2021-12;607.07
336;2022-1;734.07
337;2022-2;804.54
338;2022-3;903.77
339;2022-4;1042.44
340;2022-5;1093.42
341;2022-6;1127.8
342;2022-7;1232.22
343;2022-8;1276.25
344;2022-9;1347.46
345;2022-10;1495.53
346;2022-11;1513.28
347;2022-12;1546.71
348;2023-1;1627.46
349;2023-2;1649.02
350;2023-3;1737.11
351;2023-4;1759.53
352;2023-5;1786.98
353;2023-6;1819.75
354;2023-7;1921.65
355;2023-8;2084.28
356;2023-9;2139.66
357;2023-10;2153.86
358;2023-11;2171.82
359;2023-12;2189.7
360;2024-1;2356.74
