;Tarih;TP_10TR42
0;2010-1;97.19
1;2010-2;96.98
2;2010-3;99.03
3;2010-4;98.76
4;2010-5;100.27
5;2010-6;99.81
6;2010-7;100.35
7;2010-8;100.89
8;2010-9;100.73
9;2010-10;101.45
10;2010-11;101.74
11;2010-12;102.75
12;2011-1;103.41
13;2011-2;104.05
14;2011-3;104.75
15;2011-4;106.42
16;2011-5;107.21
17;2011-6;108.27
18;2011-7;107.82
19;2011-8;108.32
20;2011-9;107.18
21;2011-10;108.12
22;2011-11;107.14
23;2011-12;108.18
24;2012-1;108.56
25;2012-2;109.67
26;2012-3;109.93
27;2012-4;111.73
28;2012-5;113.53
29;2012-6;115.04
30;2012-7;116.0
31;2012-8;115.96
32;2012-9;115.94
33;2012-10;116.2
34;2012-11;116.29
35;2012-12;117.18
36;2013-1;118.37
37;2013-2;119.86
38;2013-3;119.87
39;2013-4;121.17
40;2013-5;122.06
41;2013-6;123.54
42;2013-7;124.74
43;2013-8;124.19
44;2013-9;124.45
45;2013-10;124.96
46;2013-11;127.54
47;2013-12;128.72
48;2014-1;128.61
49;2014-2;128.41
50;2014-3;128.89
51;2014-4;131.49
52;2014-5;134.2
53;2014-6;135.69
54;2014-7;137.58
55;2014-8;139.6
56;2014-9;140.41
57;2014-10;140.54
58;2014-11;141.78
59;2014-12;142.8
60;2015-1;145.81
61;2015-2;148.97
62;2015-3;152.98
63;2015-4;155.03
64;2015-5;159.15
65;2015-6;160.81
66;2015-7;167.1
67;2015-8;168.42
68;2015-9;171.08
69;2015-10;171.12
70;2015-11;172.44
71;2015-12;175.87
72;2016-1;176.23
73;2016-2;179.78
74;2016-3;183.53
75;2016-4;186.01
76;2016-5;189.46
77;2016-6;189.77
78;2016-7;192.5
79;2016-8;195.29
80;2016-9;197.08
81;2016-10;198.77
82;2016-11;201.04
83;2016-12;203.26
84;2017-1;205.66
85;2017-2;208.73
86;2017-3;211.1
87;2017-4;213.34
88;2017-5;216.43
89;2017-6;219.97
90;2017-7;219.7
91;2017-8;221.25
92;2017-9;222.13
93;2017-10;224.55
94;2017-11;223.99
95;2017-12;223.6
96;2018-1;224.65
97;2018-2;227.63
98;2018-3;231.1
99;2018-4;235.01
100;2018-5;237.32
101;2018-6;237.3
102;2018-7;238.48
103;2018-8;238.02
104;2018-9;239.67
105;2018-10;240.01
106;2018-11;243.1
107;2018-12;242.97
108;2019-1;242.43
