;Tarih;TP_24TRB2
0;2010-1;95.3
1;2010-2;95.3
2;2010-3;98.35
3;2010-4;100.24
4;2010-5;103.59
5;2010-6;99.23
6;2010-7;99.23
7;2010-8;95.3
8;2010-9;102.79
9;2010-10;102.57
10;2010-11;104.17
11;2010-12;103.88
12;2011-1;104.75
13;2011-2;105.77
14;2011-3;107.29
15;2011-4;109.11
16;2011-5;110.49
17;2011-6;111.59
18;2011-7;107.8
19;2011-8;106.93
20;2011-9;105.77
21;2011-10;106.93
22;2011-11;106.49
23;2011-12;104.53
24;2012-1;107.51
25;2012-2;116.09
26;2012-3;116.09
27;2012-4;114.35
28;2012-5;107.8
29;2012-6;103.14
30;2012-7;103.87
31;2012-8;103.58
32;2012-9;111.87
33;2012-10;112.6
34;2012-11;117.62
35;2012-12;122.42
36;2013-1;123.07
37;2013-2;124.67
38;2013-3;123.51
39;2013-4;127.29
40;2013-5;130.05
41;2013-6;130.49
42;2013-7;131.36
43;2013-8;131.36
44;2013-9;131.36
45;2013-10;130.49
46;2013-11;126.42
47;2013-12;127.29
48;2014-1;125.98
49;2014-2;128.53
50;2014-3;136.93
51;2014-4;137.73
52;2014-5;140.88
53;2014-6;137.81
54;2014-7;136.35
55;2014-8;135.76
56;2014-9;135.76
57;2014-10;137.81
58;2014-11;141.68
59;2014-12;141.46
60;2015-1;141.46
61;2015-2;140.8
62;2015-3;140.21
63;2015-4;146.13
64;2015-5;146.13
65;2015-6;152.42
66;2015-7;153.44
67;2015-8;153.51
68;2015-9;152.2
69;2015-10;153.88
70;2015-11;156.21
71;2015-12;153.07
72;2016-1;150.51
73;2016-2;151.97
74;2016-3;152.26
75;2016-4;152.99
76;2016-5;151.09
77;2016-6;149.92
78;2016-7;145.61
79;2016-8;145.54
80;2016-9;146.12
81;2016-10;151.17
82;2016-11;156.5
83;2016-12;159.42
84;2017-1;159.85
85;2017-2;158.61
86;2017-3;161.31
87;2017-4;161.46
88;2017-5;162.34
89;2017-6;162.34
90;2017-7;162.34
91;2017-8;165.41
92;2017-9;167.01
93;2017-10;169.94
94;2017-11;174.9
95;2017-12;182.65
96;2018-1;190.54
97;2018-2;188.49
98;2018-3;187.91
99;2018-4;189.51
100;2018-5;195.14
101;2018-6;196.01
102;2018-7;194.77
103;2018-8;194.19
104;2018-9;196.96
105;2018-10;199.3
106;2018-11;208.58
107;2018-12;219.18
108;2019-1;225.02
