;Tarih;TP_UR_K04
0;1968;941944.0
1;1969;958207.0
2;1970;975868.0
3;1971;1018842.0
4;1972;1084758.0
5;1973;1109871.0
6;1974;1117768.0
7;1975;1154634.0
8;1976;1232750.0
9;1977;1243640.0
10;1978;1233165.0
11;1979;1202026.0
12;1980;1144739.0
13;1981;1170770.0
14;1982;1177245.0
15;1983;1196703.0
16;1984;1250251.0
17;1985;1271997.0
18;1986;1328231.0
19;1987;1427282.0
20;1988;1416888.0
21;1989;1409056.0
22;1990;1505110.0
23;1991;1481321.0
24;1992;1546592.0
25;1993;1641872.0
26;1994;1514346.0
27;1995;1606454.0
28;1996;1691943.0
29;1997;1838576.0
30;1998;1880016.0
31;1999;1741293.0
32;2000;1766124.0
33;2001;1570770.0
34;2002;1670893.0
35;2003;1741783.0
36;2004;1884802.0
37;2005;2021100.0
38;2006;2115037.0
